#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+--------------------+--------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)     | recorded(/ub)      |
+-------------+-------------------+------+------+--------------------+--------------------+
| 355374:7960 | 07/10/22 12:22:13 | 26   | 26   | 170121.563567233   | 107780.029980204   |
| 355381:7960 | 07/10/22 16:11:05 | 354  | 354  | 2559604.859785020  | 2117915.655251126  |
| 355418:7963 | 07/11/22 11:05:52 | 41   | 41   | 238113.227686308   | 230945.713299073   |
| 355419:7963 | 07/11/22 11:24:08 | 98   | 98   | 488436.743427713   | 476082.136885297   |
| 355429:7965 | 07/11/22 14:43:03 | 48   | 48   | 369580.278476677   | 335498.338814469   |
| 355435:7966 | 07/11/22 17:21:08 | 43   | 43   | 340653.488677122   | 231712.724411262   |
| 355442:7966 | 07/11/22 18:14:11 | 22   | 22   | 182683.828823485   | 133208.109938922   |
| 355443:7966 | 07/11/22 18:25:07 | 240  | 240  | 2011363.507374913  | 1924873.845795197  |
| 355444:7966 | 07/11/22 19:59:14 | 153  | 153  | 1278668.800402678  | 1227123.809842227  |
| 355445:7966 | 07/11/22 21:00:53 | 242  | 242  | 1560671.137694764  | 1511504.645944186  |
| 355454:7967 | 07/12/22 01:37:54 | 80   | 80   | 524561.659143213   | 514128.581689683   |
| 355455:7967 | 07/12/22 02:14:05 | 39   | 39   | 251726.654755948   | 246657.895622079   |
| 355456:7967 | 07/12/22 02:34:24 | 501  | 501  | 3096778.616113108  | 3064076.713523000  |
| 355558:7969 | 07/13/22 00:56:21 | 286  | 286  | 12155115.820266405 | 11556874.842252247 |
| 355559:7969 | 07/13/22 02:50:34 | 161  | 161  | 7033651.061833819  | 6701859.700484352  |
| 355679:7978 | 07/14/22 16:58:45 | 59   | 59   | 1150255.584973348  | 1108648.335461206  |
| 355680:7978 | 07/14/22 17:24:25 | 1634 | 1634 | 49288762.645402297 | 47406619.839103699 |
| 355768:8007 | 07/18/22 03:28:57 | 45   | 45   | 1335986.517928194  | 1205866.877270212  |
| 355769:8007 | 07/18/22 03:48:39 | 541  | 541  | 16798549.605184872 | 15885153.000176301 |
+-------------+-------------------+------+------+--------------------+--------------------+
#Summary: 
+-------+------+------+------+---------------------+--------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)   | totrecorded(/ub)   |
+-------+------+------+------+---------------------+--------------------+
| 8     | 19   | 4613 | 4613 | 100835285.601517111 | 95986530.795744747 |
+-------+------+------+------+---------------------+--------------------+
#Check JSON:
#(run,ls) in json but not in results: []
