#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+--------------------+--------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)     | recorded(/ub)      |
+-------------+-------------------+------+------+--------------------+--------------------+
| 355374:7960 | 07/10/22 12:22:13 | 26   | 26   | 198847.552730118   | 125983.192445801   |
| 355381:7960 | 07/10/22 16:11:04 | 354  | 354  | 2620361.279016092  | 2168192.563802436  |
| 355418:7963 | 07/11/22 11:05:52 | 41   | 41   | 245273.032603914   | 237890.930801193   |
| 355419:7963 | 07/11/22 11:24:08 | 98   | 98   | 503166.481286969   | 490393.832532740   |
| 355429:7965 | 07/11/22 14:43:03 | 48   | 48   | 381705.613024386   | 346285.896375769   |
| 355435:7966 | 07/11/22 17:21:08 | 43   | 43   | 351798.482128097   | 239327.378729821   |
| 355442:7966 | 07/11/22 18:14:11 | 22   | 22   | 188763.821767653   | 137641.706859377   |
| 355443:7966 | 07/11/22 18:25:06 | 240  | 240  | 2078399.978373791  | 1988996.829608132  |
| 355444:7966 | 07/11/22 19:59:13 | 153  | 153  | 1296094.842317621  | 1243983.633795686  |
| 355445:7966 | 07/11/22 21:00:52 | 242  | 242  | 1588233.110676849  | 1538088.730917955  |
| 355454:7967 | 07/12/22 01:37:54 | 80   | 80   | 538221.551817585   | 527514.092117522   |
| 355455:7967 | 07/12/22 02:14:05 | 39   | 39   | 258217.922313350   | 253018.938496283   |
| 355456:7967 | 07/12/22 02:34:24 | 501  | 501  | 3176594.686656922  | 3143046.880948152  |
| 355558:7969 | 07/13/22 00:56:21 | 286  | 286  | 12364538.640979383 | 11754851.692655610 |
| 355559:7969 | 07/13/22 02:50:34 | 161  | 161  | 7173611.654607005  | 6835116.271562966  |
| 355679:7978 | 07/14/22 16:58:45 | 59   | 59   | 1119141.032507521  | 1078718.625654289  |
| 355680:7978 | 07/14/22 17:24:25 | 1634 | 1634 | 48135572.205890380 | 46295633.140363254 |
| 355768:8007 | 07/18/22 03:28:57 | 45   | 45   | 1354529.137629047  | 1222612.315220166  |
| 355769:8007 | 07/18/22 03:48:39 | 541  | 541  | 17100950.833805151 | 16167899.652869089 |
+-------------+-------------------+------+------+--------------------+--------------------+
#Summary: 
+-------+------+------+------+---------------------+--------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)   | totrecorded(/ub)   |
+-------+------+------+------+---------------------+--------------------+
| 8     | 19   | 4613 | 4613 | 100674021.860131830 | 95795196.305756241 |
+-------+------+------+------+---------------------+--------------------+
#Check JSON:
#(run,ls) in json but not in results: []
