#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 355862:8016 | 07/19/22 18:12:02 | 13   | 13   | 787655.568086862    | 622396.718791586    |
| 355863:8016 | 07/19/22 18:19:43 | 14   | 14   | 834960.184384791    | 732968.639770904    |
| 355870:8017 | 07/19/22 23:02:43 | 36   | 36   | 1744196.425219328   | 1561198.677742156   |
| 355871:8017 | 07/19/22 23:17:54 | 5    | 5    | 165343.924782046    | 146692.484616001    |
| 355872:8017 | 07/19/22 23:24:45 | 1197 | 1197 | 77780664.789371595  | 69599522.219375700  |
| 355892:8018 | 07/20/22 10:25:02 | 184  | 184  | 11342367.517004192  | 10852353.423152657  |
| 355912:8019 | 07/20/22 14:18:53 | 158  | 158  | 10020106.382106517  | 9007156.935597910   |
| 355913:8019 | 07/20/22 15:22:09 | 101  | 101  | 6052925.691111727   | 5622060.795440853   |
| 355921:8020 | 07/20/22 18:50:01 | 398  | 398  | 24246504.764480188  | 22477144.166351821  |
| 355933:8022 | 07/21/22 02:07:38 | 370  | 370  | 709766.911416923    | 705150.531055977    |
| 355942:8023 | 07/21/22 06:46:45 | 173  | 173  | 982114.864169699    | 925126.078231574    |
| 355988:8027 | 07/21/22 23:03:32 | 37   | 37   | 2899679.852045416   | 2332683.290808603   |
| 355989:8027 | 07/21/22 23:23:47 | 23   | 23   | 2180343.396842841   | 1219666.456599565   |
| 355998:8027 | 07/22/22 01:35:50 | 29   | 29   | 2558721.805560978   | 2248065.267762638   |
| 355999:8027 | 07/22/22 01:51:16 | 9    | 9    | 775915.950157630    | 647321.065023312    |
| 356004:8027 | 07/22/22 04:04:14 | 19   | 19   | 1418192.251147181   | 1360802.985484207   |
| 356005:8027 | 07/22/22 04:14:46 | 185  | 185  | 12516367.777372384  | 12053283.057046339  |
| 356043:8030 | 07/22/22 18:00:07 | 65   | 65   | 6805798.861831725   | 5567402.775553455   |
| 356071:8033 | 07/23/22 12:43:15 | 151  | 151  | 16883847.648322962  | 14796934.443680393  |
| 356074:8033 | 07/23/22 15:21:04 | 26   | 26   | 3171726.813647242   | 2999361.643335940   |
| 356075:8033 | 07/23/22 15:57:05 | 115  | 115  | 13918022.593165886  | 12830108.062228348  |
| 356076:8033 | 07/23/22 16:56:56 | 150  | 150  | 18393206.743287362  | 16930768.021271944  |
| 356077:8033 | 07/23/22 17:58:32 | 448  | 448  | 49396105.820998795  | 47332725.947976299  |
| 356135:8043 | 07/25/22 11:06:59 | 24   | 24   | 2650313.254066275   | 2426195.388370559   |
| 356309:8057 | 07/27/22 17:56:02 | 95   | 95   | 9323740.723604843   | 8616169.160187177   |
| 356316:8058 | 07/27/22 21:40:02 | 125  | 125  | 8376655.567997939   | 8205882.035599127   |
| 356322:8059 | 07/28/22 01:35:29 | 15   | 15   | 1794604.831590773   | 1615887.994722920   |
| 356323:8059 | 07/28/22 01:45:01 | 599  | 599  | 70028585.180016384  | 66550501.381116398  |
| 356371:8062 | 07/28/22 16:46:33 | 13   | 13   | 1518048.173274325   | 1242261.208882077   |
| 356375:8063 | 07/28/22 19:04:41 | 63   | 63   | 8189392.812290448   | 6070470.102785862   |
| 356378:8063 | 07/28/22 20:10:25 | 287  | 287  | 42051420.970648743  | 40443221.017475903  |
| 356381:8063 | 07/28/22 22:10:46 | 1012 | 1012 | 113531490.417107671 | 111807880.956244826 |
| 356383:8063 | 07/29/22 06:04:41 | 30   | 30   | 2643478.620151699   | 2606476.025095298   |
| 356385:8063 | 07/29/22 06:26:48 | 27   | 27   | 2383008.823796444   | 2229549.588804097   |
| 356386:8063 | 07/29/22 06:41:01 | 105  | 105  | 7532575.062293180   | 7426443.621881709   |
| 356426:8067 | 07/29/22 13:50:07 | 22   | 22   | 3104228.267503070   | 2563759.554592534   |
| 356428:8067 | 07/29/22 14:11:31 | 267  | 267  | 42260871.998351730  | 40513687.721425258  |
| 356433:8067 | 07/29/22 17:20:28 | 277  | 277  | 44450340.829619497  | 42758541.302817412  |
| 356434:8067 | 07/29/22 19:22:54 | 10   | 10   | 1507414.144164484   | 1286072.725426351   |
| 356435:8067 | 07/29/22 19:31:00 | 4    | 4    | 599088.239653988    | 441028.992194556    |
| 356446:8068 | 07/29/22 22:05:30 | 572  | 572  | 89270504.798271060  | 86538082.225308597  |
| 356523:8076 | 07/31/22 18:51:41 | 801  | 801  | 150245662.153232515 | 147425892.017803043 |
| 356531:8076 | 08/01/22 02:10:14 | 51   | 51   | 8329550.931549929   | 8225471.410406885   |
| 356563:8078 | 08/01/22 14:49:17 | 268  | 268  | 47943310.866557479  | 46963928.435737602  |
| 356568:8079 | 08/01/22 18:52:46 | 17   | 17   | 2892935.211624302   | 2687436.963018379   |
| 356569:8079 | 08/01/22 19:05:00 | 217  | 217  | 40560324.979349725  | 39599959.730429970  |
| 356570:8079 | 08/01/22 20:47:19 | 93   | 93   | 18570304.957853351  | 18162141.468677614  |
| 356576:8081 | 08/02/22 05:11:07 | 165  | 165  | 24205394.228664987  | 23490418.477765523  |
| 356578:8081 | 08/02/22 06:39:29 | 800  | 800  | 145426210.572247207 | 142888022.846953660 |
| 356580:8081 | 08/02/22 12:21:24 | 48   | 48   | 7561086.673710006   | 7422059.935372132   |
| 356582:8081 | 08/02/22 13:25:57 | 96   | 96   | 14190357.177683420  | 14056623.124413053  |
| 356614:8083 | 08/02/22 18:26:15 | 45   | 45   | 8308311.579279849   | 7059239.604990853   |
| 356615:8083 | 08/02/22 18:53:13 | 1152 | 1152 | 207350102.274015665 | 203871379.129977435 |
| 356619:8083 | 08/03/22 03:31:02 | 137  | 137  | 19271913.269645691  | 19051767.879972391  |
| 356810:8094 | 08/05/22 02:20:11 | 112  | 112  | 24259456.139563043  | 23649129.293351993  |
| 356811:8094 | 08/05/22 03:13:28 | 40   | 40   | 12043701.874499863  | 11603185.106939035  |
| 356812:8094 | 08/05/22 03:35:55 | 103  | 103  | 29593690.925696988  | 28709987.327502731  |
| 356813:8094 | 08/05/22 04:22:45 | 47   | 47   | 12973845.962509999  | 12683850.514862997  |
| 356814:8094 | 08/05/22 04:48:51 | 605  | 605  | 142651576.409751922 | 140063065.710691094 |
| 356815:8094 | 08/05/22 09:16:31 | 85   | 85   | 16832363.849618517  | 16462508.861366654  |
| 356824:8094 | 08/05/22 10:39:04 | 57   | 57   | 8780682.764381099   | 8595656.438115027   |
| 356908:8098 | 08/06/22 01:30:07 | 23   | 23   | 6765416.039125660   | 6296426.668781862   |
| 356919:8099 | 08/06/22 03:56:44 | 81   | 81   | 19925807.608709291  | 19254837.439630918  |
| 356937:8100 | 08/06/22 14:02:16 | 109  | 109  | 26740035.367036030  | 25484761.125960846  |
| 356946:8102 | 08/06/22 19:52:43 | 115  | 115  | 34170180.989866875  | 32521025.517061617  |
