#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 359569:8210 | 09/29/22 14:40:17 | 76   | 76   | 1222601.711917613   | 1217175.614300979   |
| 359571:8210 | 09/29/22 15:29:19 | 147  | 147  | 2312246.857551182   | 2286183.783864758   |
| 359575:8210 | 09/29/22 16:41:25 | 78   | 78   | 1208021.391210777   | 1187912.509048631   |
| 359595:8211 | 09/30/22 00:53:50 | 273  | 273  | 6373334.856280719   | 6247711.339254555   |
| 359597:8211 | 09/30/22 02:45:13 | 94   | 94   | 2159208.029243574   | 2132121.301164420   |
| 359602:8212 | 09/30/22 05:24:24 | 73   | 73   | 5801352.197202276   | 5432577.970819860   |
| 359609:8212 | 09/30/22 08:00:32 | 24   | 24   | 1964625.390144513   | 1672407.394010944   |
| 359612:8212 | 09/30/22 08:31:57 | 12   | 12   | 947834.934830640    | 759440.004747671    |
| 359661:8214 | 09/30/22 14:54:53 | 81   | 81   | 9547366.845882531   | 9069424.645874048   |
| 359685:8216 | 09/30/22 22:05:59 | 132  | 132  | 21002926.291592218  | 20796878.069856506  |
| 359686:8216 | 09/30/22 23:11:45 | 934  | 934  | 114490792.531774774 | 113620681.038151458 |
| 359691:8220 | 10/01/22 10:46:50 | 121  | 121  | 38273860.133267194  | 36556873.020735905  |
| 359693:8220 | 10/01/22 12:12:09 | 602  | 602  | 167567996.437032312 | 161614661.879677057 |
| 359694:8220 | 10/01/22 16:13:37 | 1079 | 1079 | 220191919.276859671 | 215152464.871637523 |
| 359699:8221 | 10/02/22 02:39:50 | 1834 | 1834 | 416807102.797721326 | 404030010.748434722 |
| 359718:8222 | 10/02/22 20:52:32 | 358  | 358  | 122816931.596333295 | 117903597.844314352 |
| 359750:8223 | 10/03/22 11:38:36 | 135  | 135  | 49693604.698522002  | 47973843.600581780  |
| 359751:8223 | 10/03/22 13:00:20 | 988  | 988  | 315209788.042411864 | 302689932.192528605 |
| 359762:8225 | 10/03/22 23:15:14 | 221  | 221  | 82458439.656858683  | 78847343.954115331  |
| 359763:8225 | 10/04/22 00:48:18 | 454  | 454  | 154862151.342059016 | 149010660.655893475 |
| 359764:8225 | 10/04/22 04:05:26 | 1078 | 1078 | 262189996.463816047 | 253529984.700711131 |
| 359776:8226 | 10/04/22 13:35:49 | 329  | 329  | 211091.964328242    | 210229.127457237    |
| 359806:8228 | 10/04/22 22:42:28 | 366  | 366  | 148539974.646620929 | 141788202.516071916 |
| 359808:8228 | 10/05/22 01:14:08 | 41   | 41   | 15788140.161036642  | 14609542.044212276  |
| 359809:8228 | 10/05/22 01:32:58 | 42   | 42   | 15812994.934809783  | 14844274.471397161  |
| 359810:8228 | 10/05/22 01:51:08 | 167  | 167  | 59458258.920688495  | 56612349.590479538  |
| 359812:8228 | 10/05/22 03:09:00 | 215  | 215  | 69846408.795256019  | 66742566.287260912  |
| 359814:8228 | 10/05/22 04:49:10 | 366  | 366  | 104234975.108001649 | 100484772.070708334 |
| 359870:8230 | 10/05/22 19:06:37 | 6    | 6    | 2414264.474335569   | 2218061.035397679   |
| 359871:8230 | 10/05/22 19:13:55 | 227  | 227  | 103429403.337912232 | 97507731.182911620  |
| 359887:8232 | 10/06/22 05:08:20 | 473  | 473  | 313669.848518307    | 312441.806927612    |
| 359899:8233 | 10/06/22 10:25:21 | 286  | 286  | 8307218.556369799   | 7732093.473147529   |
| 359903:8233 | 10/06/22 12:28:03 | 12   | 12   | 315917.957429892    | 301667.530378529    |
| 359998:8236 | 10/07/22 16:18:31 | 1856 | 1856 | 586792059.070403814 | 565326834.441833496 |
