#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 359569:8210 | 09/29/22 14:40:16 | 76   | 76   | 1236172.492864551   | 1230686.702805796   |
| 359571:8210 | 09/29/22 15:29:19 | 147  | 147  | 2337433.198883867   | 2310117.357586466   |
| 359575:8210 | 09/29/22 16:41:24 | 78   | 78   | 1221048.459697128   | 1200724.225526879   |
| 359595:8211 | 09/30/22 00:53:50 | 273  | 273  | 6363163.939929285   | 6237557.691786117   |
| 359597:8211 | 09/30/22 02:45:13 | 94   | 94   | 2155532.399345416   | 2128380.065008461   |
| 359602:8212 | 09/30/22 05:24:23 | 73   | 73   | 5766411.443111194   | 5399101.198307288   |
| 359609:8212 | 09/30/22 08:00:32 | 24   | 24   | 1984598.141159580   | 1689414.764673122   |
| 359612:8212 | 09/30/22 08:31:57 | 12   | 12   | 957776.449892060    | 767408.662560236    |
| 359661:8214 | 09/30/22 14:54:53 | 81   | 81   | 9459055.107800702   | 8983996.072423978   |
| 359685:8216 | 09/30/22 22:05:59 | 132  | 132  | 20813951.040285673  | 20609750.539343651  |
| 359686:8216 | 09/30/22 23:11:45 | 934  | 934  | 113498493.275199845 | 112635916.851842672 |
| 359691:8220 | 10/01/22 10:46:50 | 121  | 121  | 37593882.255062506  | 35899596.889204696  |
| 359693:8220 | 10/01/22 12:12:09 | 602  | 602  | 165667437.824865520 | 159784681.828193963 |
| 359694:8220 | 10/01/22 16:13:38 | 1079 | 1079 | 218137457.100826770 | 213139884.423197120 |
| 359699:8221 | 10/02/22 02:39:50 | 1834 | 1834 | 412374760.648084819 | 399726473.674667656 |
| 359718:8222 | 10/02/22 20:52:32 | 358  | 358  | 120272089.747353047 | 115460559.374397814 |
| 359750:8223 | 10/03/22 11:38:36 | 135  | 135  | 48573581.125368632  | 46891472.167146437  |
| 359751:8223 | 10/03/22 13:00:20 | 987  | 987  | 308661175.222017884 | 296402618.983953893 |
| 359762:8225 | 10/03/22 23:15:14 | 221  | 221  | 80605240.395877093  | 77074141.989413977  |
| 359763:8225 | 10/04/22 00:48:18 | 454  | 454  | 145251937.179769605 | 139756531.333596587 |
| 359764:8225 | 10/04/22 04:05:26 | 1078 | 1078 | 250058986.448137552 | 241826868.728276640 |
| 359776:8226 | 10/04/22 13:35:49 | 329  | 329  | 212954.369806252    | 212083.831712865    |
