#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 367661:8784 | 05/17/23 22:24:43 | 317  | 317  | 115849752.117914796 | 108038585.508500129 |
| 367662:8784 | 05/18/23 00:29:53 | 18   | 18   | 8040429.353562141   | 7224045.054369204   |
| 367663:8784 | 05/18/23 00:38:47 | 1    | 1    | 443304.545514771    | 405404.087087116    |
| 367665:8784 | 05/18/23 00:51:18 | 271  | 271  | 120907428.172034770 | 112003470.301174402 |
| 367666:8784 | 05/18/23 02:39:54 | 82   | 82   | 36580602.709340945  | 33451515.567537319  |
| 367691:8786 | 05/18/23 12:45:42 | 156  | 156  | 47760650.784265853  | 43680219.366254218  |
| 367696:8786 | 05/18/23 14:31:37 | 1912 | 1912 | 655416739.961441875 | 624000388.321383595 |
| 367699:8786 | 05/19/23 03:14:54 | 151  | 151  | 29717190.356097087  | 28963162.517507933  |
| 367730:8794 | 05/19/23 17:40:18 | 515  | 515  | 203167131.042656511 | 189555572.361551046 |
| 367742:8796 | 05/20/23 03:16:40 | 405  | 405  | 159539694.942730308 | 152179979.854188412 |
| 367758:8804 | 05/21/23 03:47:38 | 716  | 716  | 288804695.243202865 | 274427651.500011683 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+------+------+----------------------+----------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+------+------+----------------------+----------------------+
| 5     | 11   | 4544 | 4544 | 1666227619.228762150 | 1573929994.439564943 |
+-------+------+------+------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
