#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 367770:8807 | 05/21/23 14:39:40 | 152  | 152  | 47587236.045610443  | 44628610.294160374  |
| 367771:8807 | 05/21/23 15:40:13 | 91   | 91   | 43742674.642502211  | 41000519.184227958  |
| 367772:8807 | 05/21/23 16:17:11 | 6    | 6    | 2882324.512339132   | 2262177.609406746   |
| 367790:8811 | 05/22/23 02:56:12 | 160  | 160  | 53744156.906161323  | 50065368.438223116  |
| 367831:8816 | 05/22/23 17:58:40 | 452  | 452  | 195575812.410830468 | 185241301.288257271 |
| 367836:8817 | 05/23/23 00:06:34 | 540  | 540  | 235389205.274198741 | 223658951.070352942 |
| 367838:8817 | 05/23/23 03:40:32 | 790  | 790  | 343054410.149069309 | 327539570.621852994 |
| 367840:8817 | 05/23/23 08:52:14 | 570  | 570  | 174543020.274265915 | 168204356.249960631 |
| 367881:8821 | 05/23/23 23:38:10 | 139  | 139  | 50284393.522039875  | 47636631.675119624  |
| 367883:8821 | 05/24/23 00:40:40 | 1049 | 1049 | 501997745.144747317 | 475771389.069695354 |
| 367884:8821 | 05/24/23 07:31:57 | 1011 | 1011 | 331903809.968268156 | 319698973.842585504 |
| 367902:8822 | 05/24/23 17:32:35 | 232  | 232  | 92492736.794292793  | 87149903.434679791  |
| 367904:8822 | 05/24/23 19:07:59 | 101  | 101  | 49355622.936893180  | 45352698.361204714  |
| 367905:8822 | 05/24/23 19:51:10 | 48   | 48   | 23342410.607683565  | 21667887.273833025  |
| 367906:8822 | 05/24/23 20:15:19 | 339  | 339  | 165488359.698682904 | 153512336.409627289 |
| 367907:8822 | 05/24/23 22:31:40 | 119  | 119  | 57951226.814671025  | 51800355.055535108  |
| 367908:8822 | 05/24/23 23:20:49 | 357  | 357  | 155235120.671713889 | 145795447.705659866 |
| 367910:8822 | 05/25/23 01:44:16 | 593  | 593  | 201123890.216677159 | 194205377.954405993 |
| 368223:8850 | 05/30/23 17:28:58 | 435  | 435  | 50807633.876938738  | 44281484.712342553  |
| 368224:8850 | 05/30/23 20:22:23 | 57   | 57   | 7059809.751863308   | 6569618.823901400   |
| 368229:8853 | 05/31/23 00:15:18 | 518  | 518  | 98822070.018214613  | 94112848.679145038  |
| 368318:8858 | 06/01/23 13:07:55 | 282  | 282  | 67817669.738292933  | 64367401.230132438  |
| 368320:8858 | 06/01/23 14:59:31 | 285  | 285  | 82469638.242947325  | 79162956.822463885  |
| 368321:8858 | 06/01/23 16:51:29 | 337  | 337  | 83649473.589092106  | 80032944.436366200  |
| 368332:8860 | 06/01/23 22:20:52 | 14   | 14   | 2440745.309442451   | 2353439.312993242   |
| 368333:8860 | 06/01/23 22:28:24 | 22   | 22   | 4278666.419297547   | 4093022.533431304   |
| 368343:8860 | 06/02/23 00:57:27 | 328  | 328  | 101443936.220137820 | 97021016.305467397  |
| 368382:8863 | 06/02/23 16:02:36 | 756  | 756  | 223664991.241299540 | 212251777.250726730 |
| 368384:8863 | 06/02/23 21:15:41 | 44   | 44   | 12122396.237487152  | 11441542.686754368  |
| 368388:8865 | 06/03/23 00:21:46 | 1429 | 1429 | 381833130.280883491 | 363727962.751310229 |
| 368389:8865 | 06/03/23 09:40:44 | 198  | 198  | 36166698.479004957  | 34953083.492339924  |
| 368400:8866 | 06/03/23 12:50:32 | 232  | 232  | 69213167.890827939  | 65193154.164050035  |
| 368410:8870 | 06/03/23 23:48:50 | 1453 | 1453 | 447267301.665329933 | 425059607.548728526 |
| 368412:8870 | 06/04/23 09:25:10 | 92   | 92   | 18675327.205730408  | 17958997.414749019  |
| 368423:8872 | 06/04/23 14:14:20 | 474  | 474  | 201746998.361030817 | 192324277.045213401 |
| 368451:8873 | 06/04/23 23:18:33 | 141  | 141  | 61046225.479375437  | 57396535.420284465  |
| 368453:8873 | 06/05/23 00:22:37 | 1    | 1    | 356265.456127616    | 265324.555147961    |
| 368454:8873 | 06/05/23 00:26:44 | 1165 | 1165 | 346935705.973411918 | 332993578.764913321 |
| 368489:8877 | 06/05/23 13:06:06 | 1537 | 1537 | 546334327.242837191 | 523836408.202988803 |
| 368546:8880 | 06/06/23 04:02:46 | 655  | 655  | 298041498.977170289 | 279657002.249793291 |
| 368547:8880 | 06/06/23 08:21:17 | 673  | 673  | 250573954.230096042 | 238002661.812239528 |
| 368548:8880 | 06/06/23 13:02:12 | 1038 | 1038 | 250306479.167262286 | 241376557.833414882 |
| 368566:8882 | 06/06/23 22:37:56 | 1195 | 1195 | 509401383.652205050 | 480724151.128452837 |
| 368567:8882 | 06/07/23 06:24:22 | 433  | 433  | 132886571.616845459 | 127044640.915414691 |
| 368609:8885 | 06/08/23 00:28:48 | 999  | 999  | 427637336.512448251 | 407978191.427910447 |
| 368611:8885 | 06/08/23 07:09:42 | 381  | 381  | 124163831.382880703 | 119535955.397772655 |
| 368613:8885 | 06/08/23 09:55:55 | 260  | 260  | 70449862.060818151  | 68088238.994854212  |
| 368636:8887 | 06/08/23 21:31:45 | 769  | 769  | 329328505.260674000 | 314473037.147510588 |
| 368669:8891 | 06/09/23 13:10:40 | 369  | 369  | 166394600.293679595 | 158199694.626672298 |
| 368670:8891 | 06/09/23 15:36:20 | 255  | 255  | 121453920.854242116 | 115527829.813800439 |
| 368672:8891 | 06/09/23 17:40:15 | 866  | 866  | 307409262.635714889 | 294793529.818116665 |
| 368674:8891 | 06/10/23 00:29:40 | 11   | 11   | 2913245.343700795   | 2520493.070481768   |
| 368675:8891 | 06/10/23 00:36:10 | 50   | 50   | 12463574.856805325  | 11187431.119177109  |
| 368676:8891 | 06/10/23 00:58:19 | 155  | 155  | 36671168.785447776  | 35372103.524695702  |
| 368678:8891 | 06/10/23 02:02:10 | 171  | 171  | 37499604.075289398  | 36324108.330215089  |
| 368684:8894 | 06/10/23 07:13:07 | 95   | 95   | 26577349.051143572  | 23930779.513485488  |
| 368685:8894 | 06/10/23 07:53:33 | 1481 | 1481 | 589114561.477153063 | 564583043.786795259 |
| 368723:8895 | 06/11/23 00:11:38 | 92   | 92   | 33844168.401343144  | 32626803.022046026  |
| 368724:8895 | 06/11/23 01:02:34 | 1199 | 1199 | 523753478.479852140 | 498359754.951692939 |
| 368746:8896 | 06/11/23 11:26:58 | 39   | 39   | 8725703.172874430   | 8038038.619559904   |
| 368749:8896 | 06/11/23 11:52:39 | 168  | 168  | 77017174.074750662  | 72261502.640092641  |
| 368753:8896 | 06/11/23 13:10:11 | 976  | 976  | 432825185.117094278 | 412122312.040149450 |
| 368762:8896 | 06/11/23 22:38:24 | 188  | 188  | 71382590.982684240  | 66987377.595348254  |
| 368764:8896 | 06/12/23 00:01:59 | 1    | 1    | 474742.329849399    | 424253.042250300    |
| 368765:8896 | 06/12/23 00:07:46 | 1375 | 1375 | 558366957.195535541 | 535603078.491762996 |
| 368822:8901 | 06/13/23 02:28:21 | 945  | 945  | 417289417.051610947 | 396945732.218857646 |
| 368823:8901 | 06/13/23 08:38:47 | 33   | 33   | 13652642.114024030  | 12086111.103048649  |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+-----------------------+-----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)     | totrecorded(/ub)      |
+-------+------+-------+-------+-----------------------+-----------------------+
| 26    | 67   | 31421 | 31421 | 11400465104.423416138 | 10849363251.927850723 |
+-------+------+-------+-------+-----------------------+-----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
