#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 370667:9066 | 07/14/23 08:12:11 | 96   | 96   | 38349497.494063407  | 36044532.828294180  |
| 370717:9067 | 07/15/23 01:10:34 | 119  | 119  | 38045594.049439274  | 36144154.023729138  |
| 370725:9068 | 07/15/23 05:14:17 | 411  | 411  | 183182569.609357506 | 173231820.575219393 |
| 370749:9070 | 07/15/23 17:21:13 | 1488 | 1488 | 660557598.713198781 | 629282319.364162445 |
| 370753:9070 | 07/16/23 03:18:43 | 249  | 249  | 77693511.790557861  | 74929403.685123309  |
| 370772:9072 | 07/16/23 07:59:39 | 1219 | 1219 | 572539855.474522352 | 544062038.223649979 |
| 370774:9072 | 07/16/23 16:07:34 | 159  | 159  | 61246128.029100172  | 56341664.325467758  |
| 370775:9072 | 07/16/23 17:11:41 | 168  | 168  | 58833660.712361865  | 54550387.371697120  |
| 370776:9072 | 07/16/23 18:19:32 | 326  | 326  | 100143189.060282320 | 96322311.278503850  |
| 370790:9073 | 07/16/23 22:51:10 | 23   | 23   | 3469007.907204463   | 3294088.274020521   |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+------+------+----------------------+----------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+------+------+----------------------+----------------------+
| 6     | 10   | 4258 | 4258 | 1794060612.840088129 | 1704202719.949867725 |
+-------+------+------+------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
