#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
273150:4915,64:64,05/11/16 20:24:04,STABLE BEAMS,6500,48974.082205503,4469.439730681,25.4,PXL
273150:4915,66:66,05/11/16 20:24:50,STABLE BEAMS,6500,48717.919292747,9607.147571725,25.3,PXL
273150:4915,67:67,05/11/16 20:25:13,STABLE BEAMS,6500,48973.682203514,13563.775118137,25.4,PXL
273150:4915,68:68,05/11/16 20:25:37,STABLE BEAMS,6500,48782.570487266,32295.720513879,25.3,PXL
273150:4915,69:69,05/11/16 20:26:00,STABLE BEAMS,6500,48910.580676205,47149.805861229,25.4,PXL
273150:4915,70:70,05/11/16 20:26:23,STABLE BEAMS,6500,48897.150093760,47030.046097787,25.4,PXL
273150:4915,71:71,05/11/16 20:26:47,STABLE BEAMS,6500,48839.047193894,47024.906959543,25.3,PXL
273150:4915,72:72,05/11/16 20:27:10,STABLE BEAMS,6500,48931.962696550,47116.595159796,25.4,PXL
273150:4915,73:73,05/11/16 20:27:33,STABLE BEAMS,6500,48927.117472356,47109.995104589,25.4,PXL
273150:4915,74:74,05/11/16 20:27:57,STABLE BEAMS,6500,48906.448324424,46434.329077256,25.4,PXL
273150:4915,75:75,05/11/16 20:28:20,STABLE BEAMS,6500,48906.935788016,47147.116974689,25.4,PXL
273158:4915,1:1,05/11/16 20:42:35,STABLE BEAMS,6500,22003.851414986,12265.911141509,11.4,PXL
273158:4915,2:2,05/11/16 20:42:59,STABLE BEAMS,6500,7884.286322852,7153.964830307,4.1,PXL
273158:4915,3:3,05/11/16 20:43:22,STABLE BEAMS,6500,47467.293756356,33.869195712,24.6,PXL
273158:4915,4:4,05/11/16 20:43:45,STABLE BEAMS,6500,49866.806149127,4627.147275662,25.9,PXL
273158:4915,5:5,05/11/16 20:44:08,STABLE BEAMS,6500,48937.901735947,4346.120927850,25.4,PXL
273158:4915,6:6,05/11/16 20:44:32,STABLE BEAMS,6500,49665.397177653,42865.744352789,25.8,PXL
273158:4915,7:7,05/11/16 20:44:55,STABLE BEAMS,6500,49567.285620470,37215.341790576,25.7,PXL
273158:4915,8:8,05/11/16 20:45:18,STABLE BEAMS,6500,49625.706388760,46461.076020350,25.8,PXL
273158:4915,9:9,05/11/16 20:45:42,STABLE BEAMS,6500,49495.685228305,46092.866753148,25.7,PXL
273158:4915,10:10,05/11/16 20:46:05,STABLE BEAMS,6500,49511.803736588,46101.662029212,25.7,PXL
273158:4915,11:11,05/11/16 20:46:28,STABLE BEAMS,6500,49552.474486904,46184.900798087,25.7,PXL
273158:4915,12:12,05/11/16 20:46:52,STABLE BEAMS,6500,49483.411445869,46067.561879754,25.7,PXL
273158:4915,13:13,05/11/16 20:47:15,STABLE BEAMS,6500,49513.456242556,46204.311033231,25.7,PXL
273158:4915,14:14,05/11/16 20:47:38,STABLE BEAMS,6500,49537.961202404,46339.840817191,25.7,PXL
273158:4915,15:15,05/11/16 20:48:02,STABLE BEAMS,6500,49719.663504025,46195.447650347,25.8,PXL
273158:4915,16:16,05/11/16 20:48:25,STABLE BEAMS,6500,49519.813268970,46120.844069809,25.7,PXL
273158:4915,17:17,05/11/16 20:48:48,STABLE BEAMS,6500,49309.441441876,34928.936678956,25.6,PXL
273158:4915,18:18,05/11/16 20:49:11,STABLE BEAMS,6500,49285.391797131,34476.531070078,25.6,PXL
273158:4915,19:19,05/11/16 20:49:35,STABLE BEAMS,6500,49206.206794751,34853.072767044,25.5,PXL
273158:4915,20:20,05/11/16 20:49:58,STABLE BEAMS,6500,49179.527517224,34080.028411634,25.5,PXL
273158:4915,21:21,05/11/16 20:50:21,STABLE BEAMS,6500,49233.072885334,35029.049104708,25.6,PXL
273158:4915,22:22,05/11/16 20:50:45,STABLE BEAMS,6500,49294.751406473,35133.661145649,25.6,PXL
273158:4915,23:23,05/11/16 20:51:08,STABLE BEAMS,6500,49260.351509878,34975.095134866,25.6,PXL
273158:4915,24:24,05/11/16 20:51:31,STABLE BEAMS,6500,49253.076111059,35041.094202288,25.6,PXL
273158:4915,25:25,05/11/16 20:51:55,STABLE BEAMS,6500,49099.463635761,34908.958978125,25.5,PXL
273158:4915,26:26,05/11/16 20:52:18,STABLE BEAMS,6500,49351.316560654,35142.578318757,25.6,PXL
273158:4915,27:27,05/11/16 20:52:41,STABLE BEAMS,6500,49278.492589136,35230.513980727,25.6,PXL
273158:4915,28:28,05/11/16 20:53:05,STABLE BEAMS,6500,49223.051705294,35159.795862994,25.5,PXL
273158:4915,29:29,05/11/16 20:53:28,STABLE BEAMS,6500,49066.870597229,34683.262225484,25.5,PXL
273158:4915,30:30,05/11/16 20:53:51,STABLE BEAMS,6500,49042.986628655,33707.399489541,25.5,PXL
273158:4915,31:31,05/11/16 20:54:15,STABLE BEAMS,6500,49166.926947024,35100.299925976,25.5,PXL
273158:4915,32:32,05/11/16 20:54:38,STABLE BEAMS,6500,49249.787133661,45870.805587396,25.6,PXL
273158:4915,33:33,05/11/16 20:55:01,STABLE BEAMS,6500,49400.353286382,46248.061246821,25.6,PXL
273158:4915,34:34,05/11/16 20:55:25,STABLE BEAMS,6500,49386.391972430,46073.410472277,25.6,PXL
273158:4915,35:35,05/11/16 20:55:48,STABLE BEAMS,6500,49287.230491606,46091.442237685,25.6,PXL
273158:4915,36:36,05/11/16 20:56:11,STABLE BEAMS,6500,49255.382361607,45996.179422049,25.6,PXL
273158:4915,37:37,05/11/16 20:56:34,STABLE BEAMS,6500,49294.347525789,45882.974026592,25.6,PXL
273158:4915,38:38,05/11/16 20:56:58,STABLE BEAMS,6500,49021.376914867,45894.974173326,25.4,PXL
273158:4915,39:39,05/11/16 20:57:21,STABLE BEAMS,6500,49243.153721244,46038.618673728,25.6,PXL
273158:4915,40:40,05/11/16 20:57:44,STABLE BEAMS,6500,49177.732366208,45946.015116685,25.5,PXL
273158:4915,41:41,05/11/16 20:58:08,STABLE BEAMS,6500,49256.721731898,46060.882207904,25.6,PXL
273158:4915,42:42,05/11/16 20:58:31,STABLE BEAMS,6500,49230.465508920,46007.070242066,25.6,PXL
273158:4915,43:43,05/11/16 20:58:54,STABLE BEAMS,6500,49222.076599277,45932.105249686,25.5,PXL
273158:4915,44:44,05/11/16 20:59:18,STABLE BEAMS,6500,49125.171059761,45956.978344733,25.5,PXL
273158:4915,45:45,05/11/16 20:59:41,STABLE BEAMS,6500,49148.537253875,45711.910606943,25.5,PXL
273158:4915,46:46,05/11/16 21:00:04,STABLE BEAMS,6500,49030.755375630,45810.437053764,25.4,PXL
273158:4915,47:47,05/11/16 21:00:28,STABLE BEAMS,6500,49057.424741263,45792.794135394,25.5,PXL
273158:4915,48:48,05/11/16 21:00:51,STABLE BEAMS,6500,49035.180906046,45869.838812629,25.4,PXL
273158:4915,49:49,05/11/16 21:01:14,STABLE BEAMS,6500,48980.187477175,45832.769237830,25.4,PXL
273158:4915,50:50,05/11/16 21:01:37,STABLE BEAMS,6500,49185.589771565,46081.047014646,25.5,PXL
273158:4915,51:51,05/11/16 21:02:01,STABLE BEAMS,6500,49050.486824755,45900.339388932,25.5,PXL
273158:4915,52:52,05/11/16 21:02:24,STABLE BEAMS,6500,48955.762082983,45908.288168189,25.4,PXL
273158:4915,53:53,05/11/16 21:02:47,STABLE BEAMS,6500,48992.184452953,45791.049485305,25.4,PXL
273158:4915,54:54,05/11/16 21:03:11,STABLE BEAMS,6500,48856.557884618,45671.093880081,25.4,PXL
273158:4915,55:55,05/11/16 21:03:34,STABLE BEAMS,6500,48928.365305660,45725.485522695,25.4,PXL
