#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
274335:4980,60:60,06/02/16 09:10:43,STABLE BEAMS,6500,167898.492767098,17568.224698495,25.3,PLTZERO
274335:4980,61:61,06/02/16 09:11:06,STABLE BEAMS,6500,167859.201283459,159047.590198866,25.3,PLTZERO
274335:4980,62:62,06/02/16 09:11:29,STABLE BEAMS,6500,167845.861223928,158472.913525614,25.3,PLTZERO
274335:4980,63:63,06/02/16 09:11:53,STABLE BEAMS,6500,167801.834854847,157747.183470290,25.3,PLTZERO
274335:4980,64:64,06/02/16 09:12:16,STABLE BEAMS,6500,167589.863880082,158503.964182641,25.3,PLTZERO
274335:4980,65:65,06/02/16 09:12:39,STABLE BEAMS,6500,167760.449130818,158854.115394851,25.2,PLTZERO
274335:4980,66:66,06/02/16 09:13:03,STABLE BEAMS,6500,167736.501035061,155735.547389611,25.2,PLTZERO
274335:4980,67:67,06/02/16 09:13:26,STABLE BEAMS,6500,167589.841035518,158677.463280758,25.2,PLTZERO
274335:4980,68:68,06/02/16 09:13:49,STABLE BEAMS,6500,167498.316623032,159132.956835957,25.2,PLTZERO
274335:4980,69:69,06/02/16 09:14:12,STABLE BEAMS,6500,167297.432021678,158646.127999119,25.2,PLTZERO
274335:4980,70:70,06/02/16 09:14:36,STABLE BEAMS,6500,167430.102989601,157842.270469140,25.2,PLTZERO
274335:4980,71:71,06/02/16 09:14:59,STABLE BEAMS,6500,167388.091371154,158694.115568885,25.2,PLTZERO
274335:4980,72:72,06/02/16 09:15:22,STABLE BEAMS,6500,167419.244362501,158037.976347819,25.2,PLTZERO
274335:4980,73:73,06/02/16 09:15:46,STABLE BEAMS,6500,167381.353157360,157796.741487241,25.2,PLTZERO
274335:4980,74:74,06/02/16 09:16:09,STABLE BEAMS,6500,122017.404580862,116912.184754827,25.2,PLTZERO
274335:4980,75:75,06/02/16 09:16:32,STABLE BEAMS,6500,81169.145761840,79677.477820828,8.2,PLTZERO
274335:4980,76:76,06/02/16 09:16:56,STABLE BEAMS,6500,142697.138897254,138376.848015495,15.3,PLTZERO
274335:4980,77:77,06/02/16 09:17:19,STABLE BEAMS,6500,162794.536152180,155165.332399470,25.1,PLTZERO
274335:4980,78:78,06/02/16 09:17:42,STABLE BEAMS,6500,125767.366948985,118607.099145325,22.1,PLTZERO
274335:4980,79:79,06/02/16 09:18:06,STABLE BEAMS,6500,67339.792745562,66191.753893889,15.0,PLTZERO
274335:4980,80:80,06/02/16 09:18:29,STABLE BEAMS,6500,82022.180177532,79297.863881860,8.0,PLTZERO
274335:4980,81:81,06/02/16 09:18:52,STABLE BEAMS,6500,38613.343704657,38080.251829488,3.0,PLTZERO
274335:4980,82:82,06/02/16 09:19:16,STABLE BEAMS,6500,116849.878539025,113997.369742302,8.7,PLTZERO
274335:4980,83:83,06/02/16 09:19:39,STABLE BEAMS,6500,158098.461292452,150847.238325530,25.1,PLTZERO
274335:4980,84:84,06/02/16 09:20:02,STABLE BEAMS,6500,88784.633685260,85708.686642231,20.1,PLTZERO
274335:4980,85:85,06/02/16 09:20:25,STABLE BEAMS,6500,34185.061209871,33719.838667925,10.0,PLTZERO
274335:4980,86:86,06/02/16 09:20:49,STABLE BEAMS,6500,154035.886458280,146692.160259258,6.7,PLTZERO
274335:4980,87:87,06/02/16 09:21:12,STABLE BEAMS,6500,166820.380424900,158692.897580680,25.1,PLTZERO
274335:4980,88:88,06/02/16 09:21:35,STABLE BEAMS,6500,166820.505836891,158037.156740827,25.1,PLTZERO
274335:4980,89:89,06/02/16 09:21:59,STABLE BEAMS,6500,166790.991593312,158553.943425370,25.1,PLTZERO
274335:4980,90:90,06/02/16 09:22:22,STABLE BEAMS,6500,166746.532809280,159145.966581749,25.1,PLTZERO
274335:4980,91:91,06/02/16 09:22:45,STABLE BEAMS,6500,166725.976431876,158264.038455415,25.1,PLTZERO
274335:4980,92:92,06/02/16 09:23:09,STABLE BEAMS,6500,166686.149965858,158861.149422432,25.1,PLTZERO
274335:4980,93:93,06/02/16 09:23:32,STABLE BEAMS,6500,166665.582399281,158314.791849117,25.1,PLTZERO
274335:4980,94:94,06/02/16 09:23:55,STABLE BEAMS,6500,166620.975591801,158615.248210103,25.1,PLTZERO
274335:4980,95:95,06/02/16 09:24:19,STABLE BEAMS,6500,166556.278855607,158777.182830731,25.1,PLTZERO
274335:4980,96:96,06/02/16 09:24:42,STABLE BEAMS,6500,166514.119213713,158441.100139896,25.1,PLTZERO
274335:4980,97:97,06/02/16 09:25:05,STABLE BEAMS,6500,166526.855990282,158474.233848140,25.1,PLTZERO
274335:4980,98:98,06/02/16 09:25:28,STABLE BEAMS,6500,166453.383678204,158340.709006380,25.1,PLTZERO
274335:4980,99:99,06/02/16 09:25:52,STABLE BEAMS,6500,166414.263062576,158560.795628873,25.1,PLTZERO
274335:4980,100:100,06/02/16 09:26:15,STABLE BEAMS,6500,166386.547245601,157967.588518026,25.1,PLTZERO
274335:4980,101:101,06/02/16 09:26:38,STABLE BEAMS,6500,166351.228384928,158648.643465287,25.0,PLTZERO
274335:4980,102:102,06/02/16 09:27:02,STABLE BEAMS,6500,166378.056294329,158342.917236480,25.0,PLTZERO
274335:4980,103:103,06/02/16 09:27:25,STABLE BEAMS,6500,166359.730758482,157809.762888422,25.1,PLTZERO
274335:4980,104:104,06/02/16 09:27:48,STABLE BEAMS,6500,166296.070186417,158629.009262303,25.0,PLTZERO
274335:4980,105:105,06/02/16 09:28:12,STABLE BEAMS,6500,166269.071409005,158618.378148407,25.0,PLTZERO
274335:4980,106:106,06/02/16 09:28:35,STABLE BEAMS,6500,166263.061657057,157872.774721506,25.0,PLTZERO
274335:4980,107:107,06/02/16 09:28:58,STABLE BEAMS,6500,166180.187874678,158395.047831008,25.0,PLTZERO
274335:4980,108:108,06/02/16 09:29:22,STABLE BEAMS,6500,166127.089649711,157241.630949498,25.0,PLTZERO
274335:4980,109:109,06/02/16 09:29:45,STABLE BEAMS,6500,166093.739850546,157930.710166235,25.0,PLTZERO
274335:4980,110:110,06/02/16 09:30:08,STABLE BEAMS,6500,166075.095656349,156082.283805797,25.0,PLTZERO
274335:4980,111:111,06/02/16 09:30:32,STABLE BEAMS,6500,166051.967167584,158322.941297475,25.0,PLTZERO
274335:4980,112:112,06/02/16 09:30:55,STABLE BEAMS,6500,166015.680676474,156174.491224110,25.0,PLTZERO
274335:4980,113:113,06/02/16 09:31:18,STABLE BEAMS,6500,165973.839692929,157679.254228364,25.0,PLTZERO
274335:4980,114:114,06/02/16 09:31:41,STABLE BEAMS,6500,165902.825968719,158523.587196451,25.0,PLTZERO
274335:4980,115:115,06/02/16 09:32:05,STABLE BEAMS,6500,165905.557758916,158549.310874248,25.0,PLTZERO
274335:4980,116:116,06/02/16 09:32:28,STABLE BEAMS,6500,165832.859364703,158634.973558233,25.0,PLTZERO
274335:4980,117:117,06/02/16 09:32:51,STABLE BEAMS,6500,165815.342246673,158268.693851101,25.0,PLTZERO
274335:4980,118:118,06/02/16 09:33:15,STABLE BEAMS,6500,165779.920818573,157830.888281942,25.0,PLTZERO
274335:4980,119:119,06/02/16 09:33:38,STABLE BEAMS,6500,165686.893793269,157390.032264237,25.0,PLTZERO
274335:4980,120:120,06/02/16 09:34:01,STABLE BEAMS,6500,165673.212463932,158028.062273486,25.0,PLTZERO
274335:4980,121:121,06/02/16 09:34:25,STABLE BEAMS,6500,165594.288226849,158000.323845055,24.9,PLTZERO
274335:4980,122:122,06/02/16 09:34:48,STABLE BEAMS,6500,165424.806974610,158002.622987193,24.9,PLTZERO
