#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
275918:5052,1:1,06/29/16 09:29:21,STABLE BEAMS,6500,151983.684260563,145402.327533170,22.6,HFOC
275918:5052,2:2,06/29/16 09:29:44,STABLE BEAMS,6500,152448.841299220,148119.524250703,22.5,HFOC
275918:5052,3:3,06/29/16 09:30:07,STABLE BEAMS,6500,152515.677731823,147810.622394464,22.5,HFOC
275918:5052,4:4,06/29/16 09:30:31,STABLE BEAMS,6500,152417.164747775,148082.589020611,22.5,HFOC
275918:5052,5:5,06/29/16 09:30:54,STABLE BEAMS,6500,152320.871183001,148008.160733484,22.5,HFOC
275918:5052,6:6,06/29/16 09:31:17,STABLE BEAMS,6500,151903.803815322,147594.872509307,22.5,HFOC
275918:5052,7:7,06/29/16 09:31:40,STABLE BEAMS,6500,151943.413957311,147631.443391922,22.4,HFOC
275918:5052,8:8,06/29/16 09:32:04,STABLE BEAMS,6500,152258.496433509,147755.828310322,22.5,HFOC
275918:5052,9:9,06/29/16 09:32:27,STABLE BEAMS,6500,152247.262269758,147923.818372025,22.5,HFOC
275918:5052,10:10,06/29/16 09:32:50,STABLE BEAMS,6500,152072.579450280,147412.130920401,22.5,HFOC
275918:5052,11:11,06/29/16 09:33:14,STABLE BEAMS,6500,151979.643570121,147502.938293324,22.5,HFOC
275918:5052,12:12,06/29/16 09:33:37,STABLE BEAMS,6500,151940.135995560,147294.951130700,22.5,HFOC
275918:5052,13:13,06/29/16 09:34:00,STABLE BEAMS,6500,152001.622604370,147693.522094520,22.5,HFOC
275918:5052,14:14,06/29/16 09:34:24,STABLE BEAMS,6500,151728.734036912,145361.465369239,22.5,HFOC
275918:5052,15:15,06/29/16 09:34:47,STABLE BEAMS,6500,151516.102900884,147055.913077941,22.4,HFOC
275918:5052,16:16,06/29/16 09:35:10,STABLE BEAMS,6500,151487.988702695,147233.578045384,22.4,HFOC
275918:5052,17:17,06/29/16 09:35:34,STABLE BEAMS,6500,151512.779250006,147069.218870626,22.4,HFOC
275918:5052,18:18,06/29/16 09:35:57,STABLE BEAMS,6500,151310.972474233,147069.651518686,22.4,HFOC
275918:5052,19:19,06/29/16 09:36:20,STABLE BEAMS,6500,150854.796146316,146642.249317112,22.3,HFOC
275918:5052,20:20,06/29/16 09:36:44,STABLE BEAMS,6500,150562.102507863,146388.220801666,22.3,HFOC
275918:5052,21:21,06/29/16 09:37:07,STABLE BEAMS,6500,150876.046718720,146673.584365644,22.3,HFOC
275918:5052,22:22,06/29/16 09:37:30,STABLE BEAMS,6500,151483.094371524,147248.978311567,22.4,HFOC
275918:5052,23:23,06/29/16 09:37:53,STABLE BEAMS,6500,151169.958345378,146929.103838519,22.3,HFOC
275918:5052,24:24,06/29/16 09:38:17,STABLE BEAMS,6500,151503.719049510,147243.162039085,22.4,HFOC
