#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
276831:5096,64:64,07/15/16 07:47:46,STABLE BEAMS,6500,222727.802725068,20002.483483799,32.9,PXL
276831:5096,65:65,07/15/16 07:48:09,STABLE BEAMS,6500,222673.429758154,138818.638261395,32.9,PXL
276831:5096,66:66,07/15/16 07:48:32,STABLE BEAMS,6500,222010.443012069,215279.307213731,32.8,PXL
276831:5096,67:67,07/15/16 07:48:56,STABLE BEAMS,6500,223121.230413061,216071.244887855,33.0,PXL
276831:5096,68:68,07/15/16 07:49:19,STABLE BEAMS,6500,222692.257922977,215866.683586996,32.9,PXL
276831:5096,69:69,07/15/16 07:49:42,STABLE BEAMS,6500,221961.461137977,214129.326956021,32.8,PXL
276831:5096,70:70,07/15/16 07:50:06,STABLE BEAMS,6500,222451.962335745,214846.566120941,32.9,PXL
276831:5096,71:71,07/15/16 07:50:29,STABLE BEAMS,6500,222792.590022487,215738.856715403,32.9,PXL
276831:5096,72:72,07/15/16 07:50:52,STABLE BEAMS,6500,222571.068970674,215784.145397626,32.9,PXL
276831:5096,73:73,07/15/16 07:51:16,STABLE BEAMS,6500,222189.708830723,215467.820411447,32.9,PXL
276831:5096,74:74,07/15/16 07:51:39,STABLE BEAMS,6500,220169.173536201,212991.278621045,32.6,PXL
276831:5096,75:75,07/15/16 07:52:02,STABLE BEAMS,6500,222025.690511296,215027.719965888,32.8,PXL
276831:5096,76:76,07/15/16 07:52:25,STABLE BEAMS,6500,221666.951405321,208914.977529315,32.8,PXL
276831:5096,77:77,07/15/16 07:52:49,STABLE BEAMS,6500,221475.794480932,214554.236960526,32.7,PXL
276831:5096,78:78,07/15/16 07:53:12,STABLE BEAMS,6500,220364.131449443,204439.181104402,32.6,PXL
276831:5096,79:79,07/15/16 07:53:35,STABLE BEAMS,6500,220650.668920137,212736.616443894,32.6,PXL
276831:5096,80:80,07/15/16 07:53:59,STABLE BEAMS,6500,220826.373182653,210933.949264401,32.7,PXL
276831:5096,81:81,07/15/16 07:54:22,STABLE BEAMS,6500,218715.397691488,211970.088496668,32.3,PXL
276831:5096,82:82,07/15/16 07:54:45,STABLE BEAMS,6500,216760.507439535,209092.729039449,32.0,PXL
276831:5096,83:83,07/15/16 07:55:09,STABLE BEAMS,6500,218005.666957360,211618.332677334,32.2,PXL
276831:5096,84:84,07/15/16 07:55:32,STABLE BEAMS,6500,206070.143104155,200211.002407666,30.5,PXL
276831:5096,85:85,07/15/16 07:55:55,STABLE BEAMS,6500,214471.817620979,204554.996711613,31.7,PXL
276831:5096,86:86,07/15/16 07:56:19,STABLE BEAMS,6500,217201.805115378,207621.860400731,32.1,PXL
276831:5096,87:87,07/15/16 07:56:42,STABLE BEAMS,6500,220533.348186679,213932.489075592,32.6,PXL
276831:5096,88:88,07/15/16 07:57:05,STABLE BEAMS,6500,221172.723944259,212646.755054737,32.7,PXL
276831:5096,89:89,07/15/16 07:57:28,STABLE BEAMS,6500,142222.284186405,138955.625568502,21.0,PXL
276831:5096,90:90,07/15/16 07:57:52,STABLE BEAMS,6500,100627.492719958,99022.127345735,14.9,PXL
276831:5096,91:91,07/15/16 07:58:15,STABLE BEAMS,6500,186203.801450919,181475.407995780,27.5,PXL
276831:5096,92:92,07/15/16 07:58:38,STABLE BEAMS,6500,211036.977545794,204767.801177910,31.2,PXL
276831:5096,93:93,07/15/16 07:59:02,STABLE BEAMS,6500,151750.059694757,148607.234726672,22.4,PXL
276831:5096,94:94,07/15/16 07:59:25,STABLE BEAMS,6500,70381.078345602,69400.035333255,10.4,PXL
276831:5096,95:95,07/15/16 07:59:48,STABLE BEAMS,6500,103296.315621859,101417.146279725,15.3,PXL
276831:5096,96:96,07/15/16 08:00:12,STABLE BEAMS,6500,45699.874215463,45140.681190658,6.8,PXL
276831:5096,97:97,07/15/16 08:00:35,STABLE BEAMS,6500,151436.772651538,148328.486765224,22.4,PXL
276831:5096,98:98,07/15/16 08:00:58,STABLE BEAMS,6500,200067.415997194,194478.506242387,29.6,PXL
276831:5096,99:99,07/15/16 08:01:22,STABLE BEAMS,6500,104030.342270061,102164.432870528,15.4,PXL
276831:5096,100:100,07/15/16 08:01:45,STABLE BEAMS,6500,29160.712080711,28830.811168205,4.3,PXL
276831:5096,101:101,07/15/16 08:02:08,STABLE BEAMS,6500,211236.098722281,204983.644377271,31.2,PXL
276831:5096,102:102,07/15/16 08:02:32,STABLE BEAMS,6500,219466.018630575,212994.234389513,32.4,PXL
276831:5096,103:103,07/15/16 08:02:55,STABLE BEAMS,6500,219123.845351206,212681.678909550,32.4,PXL
276831:5096,104:104,07/15/16 08:03:18,STABLE BEAMS,6500,219202.648967334,212468.090082200,32.4,PXL
276831:5096,105:105,07/15/16 08:03:41,STABLE BEAMS,6500,219343.812351264,212832.151672748,32.4,PXL
276831:5096,106:106,07/15/16 08:04:05,STABLE BEAMS,6500,219504.730258991,213007.305602301,32.5,PXL
276831:5096,107:107,07/15/16 08:04:28,STABLE BEAMS,6500,219709.199643753,213193.815364502,32.5,PXL
276831:5096,108:108,07/15/16 08:04:51,STABLE BEAMS,6500,219197.687460190,212444.428734879,32.4,PXL
276831:5096,109:109,07/15/16 08:05:15,STABLE BEAMS,6500,219750.506954065,213270.517277934,32.5,PXL
276831:5096,110:110,07/15/16 08:05:38,STABLE BEAMS,6500,219174.958021229,210837.162744064,32.4,PXL
276831:5096,111:111,07/15/16 08:06:01,STABLE BEAMS,6500,219250.202363389,212578.230786122,32.4,PXL
276831:5096,112:112,07/15/16 08:06:25,STABLE BEAMS,6500,219534.034017151,212573.889945327,32.5,PXL
276831:5096,113:113,07/15/16 08:06:48,STABLE BEAMS,6500,218849.411623936,211883.829897019,32.4,PXL
276831:5096,114:114,07/15/16 08:07:11,STABLE BEAMS,6500,218778.957216985,212356.975036036,32.3,PXL
276831:5096,115:115,07/15/16 08:07:35,STABLE BEAMS,6500,218913.327225851,211964.071704149,32.4,PXL
276831:5096,116:116,07/15/16 08:07:58,STABLE BEAMS,6500,218998.538560408,212042.689809167,32.4,PXL
276831:5096,117:117,07/15/16 08:08:21,STABLE BEAMS,6500,218069.217461267,211416.260961559,32.2,PXL
276831:5096,118:118,07/15/16 08:08:45,STABLE BEAMS,6500,218227.291972516,211306.081292805,32.3,PXL
276831:5096,119:119,07/15/16 08:09:08,STABLE BEAMS,6500,217800.832400251,211187.999877873,32.2,PXL
276831:5096,120:120,07/15/16 08:09:31,STABLE BEAMS,6500,218742.586766213,212138.100571810,32.3,PXL
276831:5096,121:121,07/15/16 08:09:54,STABLE BEAMS,6500,218056.800408786,210347.877070822,32.2,PXL
276831:5096,122:122,07/15/16 08:10:18,STABLE BEAMS,6500,218357.137454475,211489.800677675,32.3,PXL
276831:5096,123:123,07/15/16 08:10:41,STABLE BEAMS,6500,218146.587183411,211822.255430580,32.3,PXL
276831:5096,124:124,07/15/16 08:11:04,STABLE BEAMS,6500,217123.999156385,208209.443284488,32.1,PXL
276831:5096,125:125,07/15/16 08:11:28,STABLE BEAMS,6500,216662.534240172,207601.286364605,32.0,PXL
276831:5096,126:126,07/15/16 08:11:51,STABLE BEAMS,6500,217336.728543541,207256.177801231,32.1,PXL
276831:5096,127:127,07/15/16 08:12:14,STABLE BEAMS,6500,216945.478348062,207582.198215667,32.1,PXL
276831:5096,128:128,07/15/16 08:12:38,STABLE BEAMS,6500,216824.525147763,207015.182525332,32.1,PXL
276831:5096,129:129,07/15/16 08:13:01,STABLE BEAMS,6500,216359.964553698,206541.103639088,32.0,PXL
276831:5096,130:130,07/15/16 08:13:24,STABLE BEAMS,6500,216889.896189072,207078.503478981,32.1,PXL
