#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
299368:5962,39:39,07/18/17 16:10:10,STABLE BEAMS,6500,330568.542365881,19821.424329591,41.2,AVG
299368:5962,42:42,07/18/17 16:11:20,STABLE BEAMS,6500,325411.692194636,43673.054141307,40.6,AVG
299368:5962,43:43,07/18/17 16:11:43,STABLE BEAMS,6500,321164.692033987,82909.023026041,40.0,AVG
299368:5962,44:44,07/18/17 16:12:06,STABLE BEAMS,6500,327993.384285943,199403.148633299,40.9,AVG
299368:5962,45:45,07/18/17 16:12:30,STABLE BEAMS,6500,308210.204444204,290207.879471175,38.4,AVG
299368:5962,46:46,07/18/17 16:12:53,STABLE BEAMS,6500,321429.008295555,197248.721481461,40.1,AVG
299368:5962,47:47,07/18/17 16:13:16,STABLE BEAMS,6500,330422.416416286,146166.757789176,41.2,AVG
299368:5962,48:48,07/18/17 16:13:40,STABLE BEAMS,6500,334888.251177486,126061.037996543,41.7,AVG
299368:5962,49:49,07/18/17 16:14:03,STABLE BEAMS,6500,334987.391920814,314131.810053230,41.8,AVG
299368:5962,50:50,07/18/17 16:14:26,STABLE BEAMS,6500,185840.872136660,108628.871989430,23.2,AVG
299368:5962,51:51,07/18/17 16:14:50,STABLE BEAMS,6500,84506.701752557,83723.959974047,10.5,AVG
299368:5962,52:52,07/18/17 16:15:13,STABLE BEAMS,6500,277327.426985937,168119.310677943,34.6,AVG
299368:5962,53:53,07/18/17 16:15:36,STABLE BEAMS,6500,292400.167399678,280825.012821559,36.5,AVG
299368:5962,54:54,07/18/17 16:15:59,STABLE BEAMS,6500,117599.476967240,116386.939971132,14.7,AVG
299368:5962,55:55,07/18/17 16:16:23,STABLE BEAMS,6500,126453.703186350,122618.330755282,15.8,AVG
299368:5962,56:56,07/18/17 16:16:46,STABLE BEAMS,6500,67122.910189650,66761.017428141,8.4,AVG
299368:5962,57:57,07/18/17 16:17:09,STABLE BEAMS,6500,206265.041524157,201817.952955355,25.7,AVG
299368:5962,58:58,07/18/17 16:17:33,STABLE BEAMS,6500,320423.071253688,305260.531875989,39.9,AVG
299368:5962,59:59,07/18/17 16:17:56,STABLE BEAMS,6500,198685.054518593,194606.052495125,24.8,AVG
299368:5962,60:60,07/18/17 16:18:19,STABLE BEAMS,6500,80752.983318604,53955.698450470,10.1,AVG
299368:5962,61:61,07/18/17 16:18:43,STABLE BEAMS,6500,333441.801019473,310231.617945108,41.6,AVG
299368:5962,62:62,07/18/17 16:19:06,STABLE BEAMS,6500,333691.046862381,231235.053042000,41.6,AVG
299368:5962,63:63,07/18/17 16:19:29,STABLE BEAMS,6500,333474.466414165,295407.478034718,41.6,AVG
299368:5962,64:64,07/18/17 16:19:53,STABLE BEAMS,6500,333321.421825347,312482.780810874,41.6,AVG
299368:5962,65:65,07/18/17 16:20:16,STABLE BEAMS,6500,331097.223841653,69299.136325171,41.3,AVG
299368:5962,66:66,07/18/17 16:20:39,STABLE BEAMS,6500,333047.839529104,246855.753396765,41.5,AVG
299368:5962,67:67,07/18/17 16:21:03,STABLE BEAMS,6500,333107.755224513,320358.376143091,41.5,AVG
299368:5962,68:68,07/18/17 16:21:26,STABLE BEAMS,6500,332711.243534915,319623.171307374,41.5,AVG
299368:5962,69:69,07/18/17 16:21:49,STABLE BEAMS,6500,332509.733505359,310073.505933933,41.5,AVG
299368:5962,70:70,07/18/17 16:22:12,STABLE BEAMS,6500,332698.086931215,273799.787048238,41.5,AVG
299368:5962,71:71,07/18/17 16:22:36,STABLE BEAMS,6500,332236.354012894,228395.165929057,41.4,AVG
299368:5962,72:72,07/18/17 16:22:59,STABLE BEAMS,6500,332072.337040373,318107.712931438,41.4,AVG
299368:5962,73:73,07/18/17 16:23:22,STABLE BEAMS,6500,331794.337351499,181024.329468392,41.4,AVG
299368:5962,74:74,07/18/17 16:23:46,STABLE BEAMS,6500,331039.606589058,314338.296808974,41.3,AVG
299368:5962,75:75,07/18/17 16:24:09,STABLE BEAMS,6500,331487.292431920,318740.917306765,41.3,AVG
299368:5962,76:76,07/18/17 16:24:32,STABLE BEAMS,6500,331328.669573673,318780.162619931,41.3,AVG
299368:5962,77:77,07/18/17 16:24:56,STABLE BEAMS,6500,331171.594551155,317263.487003466,41.3,AVG
299368:5962,78:78,07/18/17 16:25:19,STABLE BEAMS,6500,331130.231904797,214052.965153943,41.3,AVG
