#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+-----+------+---------------------+---------------------+
| run:fill    | time              | nls | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+-----+------+---------------------+---------------------+
| 357538:8132 | 08/15/22 20:40:25 | 6   | 6    | 1550560.723012610   | 847640.101433332    |
| 357542:8132 | 08/15/22 20:57:04 | 150 | 150  | 55554358.184653908  | 50630815.961388692  |
| 357550:8132 | 08/15/22 22:37:56 | 29  | 29   | 10308821.774322132  | 9562004.329332693   |
| 357610:8136 | 08/17/22 05:35:09 | 120 | 120  | 28935250.895793773  | 27616959.418397211  |
| 357611:8136 | 08/17/22 06:50:58 | 198 | 198  | 55742345.600546628  | 53661954.578732215  |
| 357612:8136 | 08/17/22 09:35:16 | 267 | 267  | 58743754.881837018  | 56655230.791242748  |
| 357613:8136 | 08/17/22 14:24:22 | 56  | 56   | 10119228.549657544  | 9918229.240149027   |
| 357688:8142 | 08/19/22 01:20:08 | 158 | 158  | 58712805.924230210  | 54236777.714474082  |
| 357696:8143 | 08/19/22 07:02:18 | 192 | 192  | 70334788.101280048  | 66737900.205529056  |
| 357697:8143 | 08/19/22 09:24:42 | 25  | 25   | 8867912.542962309   | 8037078.485983824   |
| 357698:8143 | 08/19/22 10:00:36 | 20  | 20   | 6785202.906769066   | 6460527.325633561   |
| 357699:8143 | 08/19/22 10:23:44 | 16  | 16   | 5283617.515914873   | 5055821.737418850   |
| 357700:8143 | 08/19/22 10:40:21 | 407 | 407  | 115371729.211738050 | 112757875.928328663 |
| 357701:8143 | 08/19/22 15:36:54 | 204 | 204  | 45887523.489204191  | 44938657.715502061  |
| 357705:8143 | 08/19/22 18:48:46 | 143 | 143  | 28396387.985963963  | 27781736.045158233  |
| 357706:8143 | 08/19/22 20:11:19 | 107 | 107  | 17634972.881247114  | 17174331.595440824  |
| 357720:8144 | 08/19/22 23:22:18 | 46  | 46   | 13998070.988926971  | 13040951.372593030  |
| 357732:8146 | 08/20/22 10:01:55 | 87  | 87   | 30806315.074153822  | 26937333.851342749  |
| 357734:8146 | 08/20/22 11:05:53 | 212 | 212  | 81917440.071252644  | 76362724.705536306  |
| 357735:8146 | 08/20/22 13:02:37 | 539 | 539  | 163259780.845739841 | 157070097.819656283 |
| 357754:8147 | 08/20/22 22:52:58 | 51  | 51   | 16728799.430675767  | 14395732.864006612  |
| 357756:8147 | 08/20/22 23:47:21 | 158 | 158  | 57796727.336073160  | 54659211.162254989  |
| 357757:8147 | 08/21/22 02:33:32 | 1   | 1    | 331124.016449792    | 204601.689921216    |
| 357758:8147 | 08/21/22 02:44:43 | 12  | 12   | 3881264.267585947   | 3731408.306510281   |
| 357759:8147 | 08/21/22 03:36:01 | 7   | 7    | 2140122.696379468   | 2072288.465911107   |
| 357766:8148 | 08/21/22 07:28:09 | 45  | 45   | 17667023.902031843  | 15553994.750486255  |
| 357777:8148 | 08/21/22 14:05:35 | 24  | 24   | 6624495.527633755   | 6332827.463296133   |
| 357778:8148 | 08/21/22 14:47:57 | 119 | 119  | 29708566.194479585  | 28449223.653703898  |
| 357779:8148 | 08/21/22 17:05:46 | 41  | 41   | 9453277.324055169   | 9108151.235152768   |
| 357781:8148 | 08/21/22 17:46:32 | 5   | 5    | 1110080.606188387   | 1041638.690572048   |
| 357802:8149 | 08/21/22 20:59:37 | 56  | 56   | 19432348.346328475  | 17862912.078514535  |
| 357803:8149 | 08/21/22 22:07:45 | 64  | 64   | 22846409.511691350  | 21633215.336149301  |
| 357804:8149 | 08/21/22 23:07:15 | 16  | 16   | 5738707.435868547   | 5192276.629828895   |
| 357805:8149 | 08/21/22 23:23:51 | 22  | 22   | 7662505.556255582   | 7011640.506569095   |
| 357806:8149 | 08/21/22 23:53:44 | 33  | 33   | 9596495.375752307   | 9053068.171561660   |
| 357807:8149 | 08/22/22 00:20:46 | 84  | 84   | 27665039.291677564  | 26576209.670384347  |
| 357808:8149 | 08/22/22 01:57:54 | 7   | 7    | 2129014.154052785   | 1867696.860633565   |
| 357809:8149 | 08/22/22 02:08:35 | 9   | 9    | 2748766.568438733   | 2655595.706521290   |
| 357812:8149 | 08/22/22 02:23:37 | 15  | 15   | 4497528.305838020   | 4371046.978052687   |
| 357813:8149 | 08/22/22 02:46:56 | 105 | 105  | 29386323.129561730  | 27762762.391343188  |
| 357814:8149 | 08/22/22 04:42:19 | 69  | 69   | 17355611.641979858  | 16000527.336660087  |
| 357815:8149 | 08/22/22 06:08:38 | 292 | 292  | 60131577.080591343  | 58700187.400011018  |
| 357898:8151 | 08/23/22 02:26:33 | 152 | 152  | 53385328.625482671  | 49803587.221434668  |
| 357899:8151 | 08/23/22 04:29:12 | 178 | 178  | 51758121.742229640  | 49442902.132235922  |
| 357900:8151 | 08/23/22 08:38:20 | 134 | 134  | 28973577.470254395  | 27507839.849014908  |
+-------------+-------------------+-----+------+---------------------+---------------------+
#Summary: 
+-------+------+------+------+----------------------+----------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+------+------+----------------------+----------------------+
| 10    | 45   | 4681 | 4681 | 1356959703.686762810 | 1286475195.474004030 |
+-------+------+------+------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
