#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 273150:4915 | 05/11/16 20:24:04 | 11   | 11   | 537767.496434234    | 388948.878169310    |
| 273158:4915 | 05/11/16 20:43:22 | 1277 | 1277 | 53912518.180073678  | 50622091.575638257  |
| 273302:4919 | 05/13/16 02:13:38 | 459  | 459  | 17147625.694361597  | 16450121.688711043  |
| 273402:4924 | 05/14/16 01:49:19 | 193  | 193  | 7022182.029614426   | 6643307.564186101   |
| 273403:4924 | 05/14/16 03:05:27 | 53   | 53   | 1935112.535374691   | 1837158.138518297   |
| 273404:4924 | 05/14/16 03:31:50 | 18   | 18   | 652558.366087247    | 616224.627878690    |
| 273405:4924 | 05/14/16 03:42:09 | 25   | 25   | 903321.743319811    | 840322.708623296    |
| 273406:4924 | 05/14/16 03:56:09 | 112  | 112  | 3983421.852727681   | 3803280.846723095   |
| 273408:4924 | 05/14/16 04:52:04 | 6    | 6    | 210151.190344281    | 181778.152487775    |
| 273409:4924 | 05/14/16 04:56:41 | 309  | 309  | 10587761.908622565  | 9512812.343981128   |
| 273410:4924 | 05/14/16 06:59:49 | 90   | 90   | 2996130.377081342   | 2753035.643350653   |
| 273411:4924 | 05/14/16 07:38:50 | 29   | 29   | 791341.055174783    | 741045.041765075    |
| 273425:4925 | 05/14/16 11:17:57 | 672  | 672  | 28380698.244051289  | 26984921.440923221  |
| 273426:4925 | 05/14/16 15:44:51 | 60   | 60   | 2196994.442779711   | 2055525.457868257   |
| 273446:4926 | 05/14/16 20:06:55 | 33   | 33   | 2311589.575976619   | 2161349.142845311   |
| 273447:4926 | 05/14/16 20:26:09 | 412  | 412  | 27527997.059234526  | 26207846.429698009  |
| 273448:4926 | 05/14/16 23:11:51 | 391  | 391  | 24032201.346729860  | 22865029.086843371  |
| 273449:4926 | 05/15/16 01:50:28 | 208  | 208  | 12046139.518751070  | 11498144.811465450  |
| 273450:4926 | 05/15/16 03:19:37 | 647  | 647  | 34124287.246912770  | 32675809.536896866  |
| 273492:4930 | 05/16/16 09:07:35 | 267  | 267  | 12877682.764413260  | 12326825.929924671  |
| 273493:4930 | 05/16/16 10:55:49 | 230  | 230  | 10869087.985912640  | 10446198.961020436  |
| 273494:4930 | 05/16/16 12:28:40 | 192  | 192  | 8782866.218272891   | 8498378.186052362   |
| 273502:4935 | 05/16/16 20:00:07 | 992  | 992  | 49173130.576947242  | 47354006.413206980  |
| 273503:4935 | 05/17/16 02:31:25 | 598  | 598  | 26370329.989859585  | 25558231.333575521  |
| 273554:4942 | 05/18/16 05:30:44 | 361  | 361  | 28067088.949246574  | 26915315.708305944  |
| 273555:4942 | 05/18/16 07:55:51 | 173  | 173  | 12672391.167428987  | 12263026.037725493  |
| 273725:4947 | 05/20/16 02:37:26 | 2463 | 2463 | 161417801.543680340 | 156042131.728202224 |
| 273728:4947 | 05/20/16 19:02:26 | 99   | 99   | 5085243.857672970   | 4886301.409119685   |
