#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 273150:4915 | 05/11/16 20:24:04 | 11   | 11   | 529687.303952459    | 383204.642956130    |
| 273158:4915 | 05/11/16 20:43:22 | 1276 | 1276 | 53332439.952385731  | 50076464.149759986  |
| 273302:4919 | 05/13/16 02:13:38 | 459  | 459  | 16891613.444717597  | 16204774.834422320  |
| 273402:4924 | 05/14/16 01:49:19 | 193  | 193  | 6922515.356706918   | 6549429.313036075   |
| 273403:4924 | 05/14/16 03:05:28 | 53   | 53   | 1909314.195522767   | 1813393.156439178   |
| 273404:4924 | 05/14/16 03:31:50 | 18   | 18   | 643895.387752319    | 608061.760041517    |
| 273405:4924 | 05/14/16 03:42:09 | 25   | 25   | 891123.314888677    | 829931.197980527    |
| 273406:4924 | 05/14/16 03:56:09 | 112  | 112  | 3929706.664051413   | 3751947.140256278   |
| 273408:4924 | 05/14/16 04:52:04 | 6    | 6    | 208018.116075294    | 179910.686194197    |
| 273409:4924 | 05/14/16 04:56:42 | 309  | 309  | 10483730.614159711  | 9417038.394585412   |
| 273410:4924 | 05/14/16 06:59:49 | 90   | 90   | 2968451.700635802   | 2727800.545322947   |
| 273411:4924 | 05/14/16 07:38:50 | 29   | 29   | 789018.020226965    | 738158.247785570    |
| 273425:4925 | 05/14/16 11:17:57 | 672  | 672  | 27781084.006028593  | 26414235.049331106  |
| 273426:4925 | 05/14/16 15:44:50 | 60   | 60   | 2156214.268859784   | 2021069.149576925   |
| 273446:4926 | 05/14/16 20:06:56 | 33   | 33   | 2236442.601649153   | 2092097.832411853   |
| 273447:4926 | 05/14/16 20:26:10 | 412  | 412  | 26700287.709589589  | 25422768.653579220  |
| 273448:4926 | 05/14/16 23:11:52 | 391  | 391  | 23442375.029850978  | 22305021.416276790  |
| 273449:4926 | 05/15/16 01:50:28 | 208  | 208  | 11804826.093894407  | 11268444.334862534  |
| 273450:4926 | 05/15/16 03:19:38 | 647  | 647  | 33636651.384519733  | 32211001.130337059  |
| 273492:4930 | 05/16/16 09:07:34 | 267  | 267  | 12087012.687204720  | 11569597.856842713  |
| 273493:4930 | 05/16/16 10:55:49 | 230  | 230  | 10215671.725892708  | 9817885.517584490   |
| 273494:4930 | 05/16/16 12:28:42 | 192  | 192  | 8216537.841449363   | 7951505.686275526   |
| 273502:4935 | 05/16/16 20:00:07 | 992  | 992  | 46095241.656676777  | 44390011.166899920  |
| 273503:4935 | 05/17/16 02:31:27 | 598  | 598  | 24850229.153881066  | 24085300.869107191  |
| 273554:4942 | 05/18/16 05:30:44 | 361  | 361  | 26029202.801645320  | 24962164.164522953  |
| 273555:4942 | 05/18/16 07:55:51 | 173  | 173  | 11795967.241884295  | 11414840.443612231  |
| 273725:4947 | 05/20/16 02:37:26 | 2463 | 2463 | 155151725.989136457 | 149982146.913815886 |
| 273728:4947 | 05/20/16 19:02:26 | 99   | 99   | 4876825.133257649   | 4685481.880959618   |
| 273730:4947 | 05/20/16 19:47:48 | 2804 | 2804 | 108134845.064312696 | 105164867.171865761 |
| 274094:4953 | 05/27/16 02:21:04 | 225  | 225  | 9691148.090840710   | 9324648.371820560   |
| 274146:4956 | 05/27/16 22:11:21 | 64   | 64   | 4946257.250946950   | 4695100.809033666   |
| 274157:4958 | 05/28/16 11:50:04 | 426  | 426  | 38713498.897937112  | 36745596.398151487  |
| 274159:4958 | 05/28/16 14:43:47 | 43   | 43   | 3704933.726688179   | 3282094.621770734   |
| 274160:4958 | 05/28/16 15:02:52 | 207  | 207  | 17312690.049137276  | 16601912.014462607  |
| 274161:4958 | 05/28/16 16:26:17 | 516  | 516  | 40333259.890807681  | 38952830.729870811  |
| 274172:4960 | 05/29/16 00:45:19 | 65   | 65   | 6460826.043738892   | 5716986.571275778   |
| 274198:4961 | 05/29/16 20:00:35 | 111  | 111  | 12067843.348079842  | 11107140.250784440  |
| 274199:4961 | 05/29/16 20:45:20 | 623  | 623  | 63317012.480570033  | 60819659.752723232  |
