#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 275657:5038 | 06/24/16 03:32:32 | 105  | 105  | 20120952.027883708  | 18443209.755200978  |
| 275658:5038 | 06/24/16 04:16:07 | 337  | 337  | 63491048.594753921  | 60096076.846977904  |
| 275659:5038 | 06/24/16 06:31:38 | 17   | 17   | 3062350.978733999   | 2957970.429442710   |
| 275757:5043 | 06/25/16 03:45:06 | 17   | 17   | 3764625.327740617   | 3363168.671443962   |
| 275758:5043 | 06/25/16 03:59:02 | 4    | 4    | 873964.727795305    | 800307.761275489    |
| 275759:5043 | 06/25/16 04:05:32 | 6    | 6    | 1304463.597816531   | 1208223.703280742   |
| 275761:5043 | 06/25/16 04:24:16 | 9    | 9    | 1920413.621263559   | 1681830.828795038   |
| 275767:5043 | 06/25/16 05:31:36 | 4    | 4    | 807141.944617386    | 712074.913983337    |
| 275772:5043 | 06/25/16 06:28:17 | 56   | 56   | 10865080.217832800  | 10451059.191387735  |
| 275773:5043 | 06/25/16 06:53:33 | 7    | 7    | 1337159.257827023   | 1193548.299814458   |
| 275774:5043 | 06/25/16 07:01:55 | 312  | 312  | 58175836.059715979  | 55616597.703995250  |
| 275776:5043 | 06/25/16 09:11:23 | 140  | 140  | 24737333.675788183  | 23487065.373200927  |
| 275777:5043 | 06/25/16 10:12:24 | 300  | 300  | 50384698.777489878  | 48382200.483400121  |
| 275778:5043 | 06/25/16 12:13:15 | 305  | 305  | 47888530.595844947  | 46162238.693691693  |
| 275781:5043 | 06/25/16 14:30:06 | 29   | 29   | 4347047.490977913   | 4195174.629728499   |
| 275782:5043 | 06/25/16 14:44:49 | 762  | 762  | 104492652.970191315 | 100581909.385128066 |
| 275832:5045 | 06/26/16 17:18:04 | 367  | 367  | 78293500.642783433  | 73405156.956037000  |
| 275833:5045 | 06/26/16 19:45:07 | 251  | 251  | 49150493.774992391  | 47373753.849594280  |
| 275834:5045 | 06/26/16 21:26:02 | 297  | 297  | 54510747.632223718  | 52459222.160271704  |
| 275835:5045 | 06/26/16 23:24:23 | 13   | 13   | 2293465.907927831   | 2089769.315297825   |
| 275836:5045 | 06/26/16 23:32:00 | 1293 | 1293 | 197504659.648008943 | 188526499.349783570 |
| 275837:5045 | 06/27/16 07:59:11 | 715  | 715  | 86791850.379460886  | 84175664.734220952  |
| 275841:5045 | 06/27/16 13:17:37 | 50   | 50   | 5533925.892971217   | 5386021.692828749   |
| 275846:5045 | 06/27/16 13:53:32 | 6    | 6    | 655104.750669489    | 605371.499100694    |
| 275847:5045 | 06/27/16 13:59:22 | 2263 | 2263 | 205471944.701710492 | 200568283.349316418 |
| 275886:5048 | 06/28/16 08:40:35 | 45   | 45   | 9882466.210350186   | 9056675.625175502   |
| 275887:5048 | 06/28/16 09:06:36 | 48   | 48   | 10251499.704497376  | 9297092.199369162   |
| 275890:5048 | 06/28/16 09:27:45 | 1393 | 1393 | 247481112.500964254 | 237643512.122203231 |
| 275911:5052 | 06/29/16 01:49:35 | 379  | 379  | 77648740.104333743  | 74358623.093164757  |
| 275912:5052 | 06/29/16 04:21:23 | 289  | 289  | 54630613.921993494  | 52522090.498985790  |
| 275913:5052 | 06/29/16 06:19:55 | 475  | 475  | 81427342.679539517  | 77387909.133667722  |
| 275918:5052 | 06/29/16 09:29:20 | 361  | 361  | 56345165.675621331  | 54417576.432948694  |
| 275920:5052 | 06/29/16 11:56:25 | 459  | 459  | 64373902.236612581  | 61815812.692317516  |
| 275921:5052 | 06/29/16 14:59:30 | 22   | 22   | 2970446.654612582   | 2714342.948995732   |
| 275922:5052 | 06/29/16 15:13:10 | 3    | 3    | 402095.003294345    | 276799.965494559    |
| 275923:5052 | 06/29/16 15:17:42 | 126  | 126  | 16652110.084055180  | 16052317.369624475  |
| 275931:5052 | 06/29/16 16:34:22 | 89   | 89   | 11329902.587122556  | 11009937.101309923  |
| 275963:5056 | 06/30/16 01:02:54 | 91   | 91   | 21097372.009052545  | 19993048.341415711  |
| 276064:5059 | 06/30/16 19:18:44 | 22   | 22   | 4786591.864096917   | 109686.739514923    |
| 276092:5060 | 07/01/16 02:14:32 | 76   | 76   | 15951989.356888620  | 14927815.110386934  |
| 276095:5060 | 07/01/16 02:56:43 | 5    | 5    | 1107064.628375987   | 218454.287921961    |
| 276097:5060 | 07/01/16 03:07:31 | 507  | 507  | 104680330.395855814 | 100454353.210583240 |
| 276242:5069 | 07/02/16 14:05:34 | 1664 | 1664 | 289308784.107748985 | 275434190.639469266 |
| 276243:5069 | 07/03/16 00:56:20 | 610  | 610  | 83548759.813932523  | 78803895.859952316  |
| 276244:5069 | 07/03/16 05:04:17 | 1200 | 1200 | 138578650.970461547 | 133636510.752460033 |
| 276282:5071 | 07/03/16 18:15:01 | 1068 | 1068 | 217079658.540810704 | 208243301.161170274 |
| 276283:5071 | 07/04/16 01:14:13 | 1085 | 1085 | 175297039.196936637 | 168603350.497012883 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 10    | 47   | 17682 | 17682 | 2762610631.444178581 | 2640899695.360342979 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
