#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 275657:5038 | 06/24/16 03:32:31 | 105  | 105  | 18225564.774811562  | 16698164.290835189  |
| 275658:5038 | 06/24/16 04:16:08 | 337  | 337  | 57701456.660711676  | 54618939.436841927  |
| 275659:5038 | 06/24/16 06:31:38 | 17   | 17   | 2790027.671753968   | 2694912.044003648   |
| 275757:5043 | 06/25/16 03:45:05 | 17   | 17   | 3453378.390723679   | 3085041.806184097   |
| 275758:5043 | 06/25/16 03:59:02 | 4    | 4    | 803245.010120836    | 735565.623381790    |
| 275759:5043 | 06/25/16 04:05:31 | 6    | 6    | 1200290.657822979   | 1111911.390193634   |
| 275761:5043 | 06/25/16 04:24:16 | 9    | 9    | 1767577.610844065   | 1548141.472609652   |
| 275767:5043 | 06/25/16 05:31:36 | 4    | 4    | 743929.571468085    | 656380.352427636    |
| 275772:5043 | 06/25/16 06:28:17 | 56   | 56   | 9999471.243142541   | 9618543.258542228   |
| 275773:5043 | 06/25/16 06:53:33 | 7    | 7    | 1232129.789829844   | 1100058.046928188   |
| 275774:5043 | 06/25/16 07:01:55 | 312  | 312  | 53602371.907205939  | 51243761.805627249  |
| 275776:5043 | 06/25/16 09:11:22 | 140  | 140  | 22859731.279421352  | 21704622.314266045  |
| 275777:5043 | 06/25/16 10:12:23 | 300  | 300  | 46632544.227822922  | 44779647.720596194  |
| 275778:5043 | 06/25/16 12:13:15 | 305  | 305  | 44402823.786999933  | 42803058.770100720  |
| 275781:5043 | 06/25/16 14:30:08 | 29   | 29   | 4038577.082493904   | 3899715.614337887   |
| 275782:5043 | 06/25/16 14:44:48 | 762  | 762  | 97371991.174245417  | 93726322.348417789  |
| 275832:5045 | 06/26/16 17:18:04 | 367  | 367  | 71469394.886591554  | 67007892.107561558  |
| 275833:5045 | 06/26/16 19:45:08 | 251  | 251  | 45053363.047026210  | 43426551.889874913  |
| 275834:5045 | 06/26/16 21:26:02 | 297  | 297  | 49855923.880758025  | 47963192.434044786  |
| 275835:5045 | 06/26/16 23:24:23 | 13   | 13   | 2139721.917200117   | 1940035.244194585   |
| 275836:5045 | 06/26/16 23:32:01 | 1292 | 1292 | 185087515.628796667 | 176666646.365621954 |
| 275837:5045 | 06/27/16 07:59:13 | 715  | 715  | 81050520.799644440  | 78608179.237756848  |
| 275841:5045 | 06/27/16 13:17:38 | 50   | 50   | 5257264.441641890   | 5112269.363442471   |
| 275846:5045 | 06/27/16 13:53:32 | 6    | 6    | 622395.979775466    | 570609.331130452    |
| 275847:5045 | 06/27/16 13:59:23 | 2263 | 2263 | 194958528.709920645 | 190306837.199310660 |
| 275886:5048 | 06/28/16 08:40:35 | 45   | 45   | 9020355.773174897   | 8265684.481147373   |
| 275887:5048 | 06/28/16 09:06:36 | 48   | 48   | 9388135.238720009   | 8507283.910234023   |
| 275890:5048 | 06/28/16 09:27:45 | 1393 | 1393 | 229454233.127497494 | 220340905.350638270 |
| 275911:5052 | 06/29/16 01:49:35 | 379  | 379  | 71404902.849807858  | 68368524.543136060  |
| 275912:5052 | 06/29/16 04:21:24 | 289  | 289  | 50603475.888548419  | 48642778.205236867  |
| 275913:5052 | 06/29/16 06:19:55 | 475  | 475  | 76019089.790819794  | 72250683.121296674  |
| 275918:5052 | 06/29/16 09:29:21 | 361  | 361  | 52817241.504182927  | 51017596.194481142  |
| 275920:5052 | 06/29/16 11:56:25 | 459  | 459  | 60629986.643756166  | 58221287.557119317  |
| 275921:5052 | 06/29/16 14:59:31 | 22   | 22   | 2798924.706587062   | 2553177.765809982   |
| 275922:5052 | 06/29/16 15:13:10 | 3    | 3    | 379668.998328831    | 261506.556956168    |
| 275923:5052 | 06/29/16 15:17:42 | 126  | 126  | 15707872.504330182  | 15140486.991470387  |
| 275931:5052 | 06/29/16 16:34:22 | 89   | 89   | 10699338.889831448  | 10403079.057905652  |
| 275963:5056 | 06/30/16 01:02:54 | 91   | 91   | 18786344.148089208  | 17797004.900834285  |
| 276064:5059 | 06/30/16 19:18:43 | 22   | 22   | 4362339.309557077   | 99660.881993098     |
| 276092:5060 | 07/01/16 02:14:32 | 76   | 76   | 14617682.344456505  | 13605931.326918228  |
| 276095:5060 | 07/01/16 02:56:44 | 5    | 5    | 994140.576902357    | 196070.745752122    |
| 276097:5060 | 07/01/16 03:07:31 | 507  | 507  | 94213545.436545610  | 90409260.280444697  |
| 276242:5069 | 07/02/16 14:05:35 | 1664 | 1664 | 263878326.844493598 | 251232624.170724243 |
| 276243:5069 | 07/03/16 00:56:20 | 610  | 610  | 76713462.273805067  | 72353563.347691134  |
| 276244:5069 | 07/03/16 05:04:17 | 1200 | 1200 | 127796712.479035303 | 123244848.541981459 |
| 276282:5071 | 07/03/16 18:15:01 | 1068 | 1068 | 195210962.950511217 | 187258583.112864584 |
| 276283:5071 | 07/04/16 01:14:13 | 1085 | 1085 | 159457738.761114359 | 153369976.047676086 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 10    | 47   | 17681 | 17681 | 2547274221.170869350 | 2435167516.560543537 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: [(275836, 1179)]
