#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 276315:5072 | 07/04/16 11:19:05 | 178  | 178  | 33053328.855393767  | 31306144.050216407  |
| 276317:5072 | 07/04/16 12:33:38 | 136  | 136  | 24789772.319645658  | 23903296.787608165  |
| 276318:5072 | 07/04/16 13:30:32 | 568  | 568  | 92881378.128626227  | 89703458.837952822  |
| 276327:5072 | 07/04/16 17:27:44 | 60   | 60   | 9161339.535544638   | 8936608.441729132   |
| 276352:5073 | 07/04/16 21:20:19 | 38   | 38   | 7528260.646052936   | 6960649.883023285   |
| 276355:5073 | 07/04/16 21:39:48 | 33   | 33   | 5869895.193168948   | 5624081.801636105   |
| 276357:5073 | 07/04/16 22:00:35 | 74   | 74   | 14216535.319263589  | 13610958.555637669  |
| 276361:5073 | 07/04/16 22:36:17 | 826  | 826  | 141896541.341729134 | 136491661.417702109 |
| 276363:5073 | 07/05/16 04:07:36 | 1481 | 1481 | 198899490.225713938 | 190213846.559450775 |
| 276384:5073 | 07/05/16 13:47:06 | 1116 | 1116 | 115679234.548048705 | 112374999.790582076 |
| 276437:5076 | 07/06/16 02:58:47 | 2129 | 2129 | 343761818.349280536 | 330509523.608338356 |
| 276454:5076 | 07/06/16 18:08:16 | 527  | 527  | 62548594.898172520  | 60744665.787583306  |
| 276458:5076 | 07/07/16 02:00:22 | 341  | 341  | 32297983.377662633  | 31558345.893457979  |
| 276495:5078 | 07/07/16 11:20:58 | 182  | 182  | 41624467.474522807  | 39724383.944043502  |
| 276501:5078 | 07/07/16 12:47:40 | 2544 | 2544 | 434313960.672145247 | 418557225.476950467 |
| 276502:5078 | 07/08/16 05:21:18 | 740  | 740  | 91072687.251583606  | 88340222.537610278  |
| 276525:5080 | 07/08/16 14:15:18 | 2805 | 2805 | 436315556.735155761 | 421719949.898215652 |
| 276527:5080 | 07/09/16 08:34:42 | 214  | 214  | 23875381.275114626  | 23127145.498069927  |
| 276528:5080 | 07/09/16 10:01:49 | 391  | 391  | 40522995.799130052  | 39479611.113075957  |
| 276542:5083 | 07/09/16 16:32:23 | 784  | 784  | 162870297.448723406 | 154924496.133183599 |
| 276543:5083 | 07/09/16 21:39:41 | 948  | 948  | 160079046.759929538 | 154313914.255711347 |
| 276544:5083 | 07/10/16 03:53:47 | 160  | 160  | 23789758.358385958  | 22850823.150056079  |
| 276545:5083 | 07/10/16 04:59:25 | 212  | 212  | 29468115.210204735  | 28469709.463741474  |
| 276581:5085 | 07/10/16 12:24:16 | 366  | 366  | 80533466.759580880  | 77318214.111292586  |
| 276582:5085 | 07/10/16 14:52:29 | 871  | 871  | 162107333.744075775 | 156580768.680669159 |
| 276583:5085 | 07/10/16 20:34:29 | 52   | 52   | 8601783.314975794   | 8157958.871894738   |
| 276584:5085 | 07/10/16 20:59:18 | 2    | 2    | 328226.297664613    | 194389.750460906    |
| 276585:5085 | 07/10/16 21:31:21 | 242  | 242  | 37886716.165924110  | 36299460.480923839  |
| 276586:5085 | 07/10/16 23:10:32 | 751  | 751  | 104063429.361930326 | 100653752.223220229 |
| 276587:5085 | 07/11/16 04:13:22 | 1006 | 1006 | 115151534.885226667 | 111036627.819336653 |
| 276653:5091 | 07/12/16 00:12:31 | 479  | 479  | 93564456.038909093  | 90169115.101582527  |
| 276655:5091 | 07/12/16 03:26:27 | 1106 | 1106 | 179063582.225085020 | 168152162.569940746 |
| 276659:5091 | 07/12/16 10:39:14 | 252  | 252  | 34204862.683732346  | 31276724.994896855  |
| 276775:5093 | 07/12/16 21:26:20 | 1165 | 1165 | 222078295.491158962 | 210692911.424277633 |
| 276776:5093 | 07/13/16 05:02:29 | 1823 | 1823 | 247027708.535127908 | 238633407.473167002 |
| 276794:5093 | 07/13/16 17:05:19 | 885  | 885  | 90045760.454486817  | 87751012.087594926  |
| 276807:5095 | 07/14/16 03:24:10 | 155  | 155  | 32838849.614694182  | 30992166.797682863  |
| 276808:5095 | 07/14/16 04:28:59 | 875  | 875  | 166709981.846424222 | 160297698.648961782 |
| 276810:5095 | 07/14/16 10:15:45 | 287  | 287  | 47261002.310661465  | 45278371.001099728  |
| 276811:5095 | 07/14/16 12:15:34 | 2562 | 2562 | 313857000.439378202 | 304139281.518147707 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 10    | 40   | 29366 | 29366 | 4461840429.892234802 | 4291069746.440726757 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
