#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 276831:5096 | 07/15/16 07:47:46 | 2634 | 2634 | 420195260.954108894 | 404186093.023841321 |
| 276832:5096 | 07/16/16 01:12:13 | 67   | 67   | 7771634.313095684   | 7538155.032420128   |
| 276834:5096 | 07/16/16 01:42:10 | 719  | 719  | 76124404.517374903  | 73217176.781227544  |
| 276870:5097 | 07/16/16 11:02:01 | 3407 | 3407 | 552492039.889784813 | 532262550.081192851 |
| 276935:5101 | 07/17/16 23:39:55 | 828  | 828  | 182259351.209980011 | 172654821.015736520 |
| 276940:5102 | 07/18/16 08:13:36 | 144  | 144  | 34321965.753856905  | 29025450.951503281  |
| 276946:5102 | 07/18/16 09:56:36 | 27   | 27   | 6236469.333288746   | 4299742.149991796   |
| 276947:5102 | 07/18/16 10:11:19 | 132  | 132  | 29577729.073425528  | 24873114.273723997  |
| 276948:5102 | 07/18/16 11:09:47 | 474  | 474  | 96567443.962485850  | 86854899.201001063  |
| 276950:5102 | 07/18/16 14:16:45 | 2353 | 2353 | 340675434.082446516 | 326195781.331437469 |
| 277069:5105 | 07/19/16 17:52:15 | 309  | 309  | 79982099.155166596  | 76408142.669072747  |
| 277070:5105 | 07/19/16 19:54:11 | 1058 | 1058 | 219842089.051195890 | 208687485.916215301 |
| 277071:5105 | 07/20/16 02:48:37 | 171  | 171  | 29568979.681274921  | 26613802.569796395  |
| 277072:5105 | 07/20/16 04:01:41 | 466  | 466  | 72665499.540163785  | 70132685.936171010  |
| 277073:5105 | 07/20/16 07:09:53 | 90   | 90   | 13273836.797219791  | 12867860.521632537  |
| 277076:5105 | 07/20/16 07:55:58 | 1037 | 1037 | 132706715.931407645 | 127332787.754194140 |
| 277087:5105 | 07/20/16 17:49:22 | 988  | 988  | 90155085.388563409  | 87060089.978904977  |
| 277094:5106 | 07/21/16 04:03:56 | 584  | 584  | 138647764.790139288 | 133062583.355034664 |
| 277096:5106 | 07/21/16 07:56:14 | 2085 | 2085 | 336654368.434185684 | 323779499.518938959 |
| 277112:5106 | 07/21/16 21:29:34 | 155  | 155  | 18210637.399154197  | 17565889.334797982  |
| 277126:5107 | 07/22/16 01:36:48 | 18   | 18   | 4513459.305028678   | 1989960.969727050   |
| 277127:5107 | 07/22/16 01:46:10 | 902  | 902  | 193692899.027110964 | 186194940.568116546 |
| 277148:5108 | 07/22/16 10:31:04 | 616  | 616  | 135428975.490152836 | 129584054.568884954 |
| 277166:5109 | 07/22/16 18:10:23 | 354  | 354  | 75180406.087892741  | 71423448.381369203  |
| 277168:5109 | 07/22/16 20:34:53 | 2219 | 2219 | 333819192.255371153 | 322020885.435722411 |
| 277180:5110 | 07/23/16 13:37:57 | 141  | 141  | 34065290.098627783  | 31605772.175298728  |
| 277194:5111 | 07/23/16 18:25:08 | 1938 | 1938 | 390541525.162392795 | 371051725.366960526 |
| 277305:5116 | 07/25/16 01:23:14 | 683  | 683  | 164878863.000469178 | 156008009.315918237 |
| 277420:5117 | 07/25/16 19:45:01 | 260  | 260  | 65221445.329530470  | 61594036.863261223  |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 13    | 29   | 24859 | 24859 | 4275270865.014894485 | 4076091445.042093754 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
