#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 278769:5197 | 08/13/16 06:38:56 | 30   | 30   | 7888305.507261386   | 7290296.385074393   |
| 278801:5198 | 08/13/16 14:43:37 | 38   | 38   | 10235697.246540386  | 7893317.208088920   |
| 278802:5198 | 08/13/16 15:01:05 | 17   | 17   | 4075930.338384726   | 1725288.659772189   |
| 278803:5198 | 08/13/16 15:10:53 | 318  | 318  | 78158455.257516399  | 72262552.465536237  |
| 278804:5198 | 08/13/16 17:20:06 | 4    | 4    | 921217.558981019    | 755142.510826128    |
| 278805:5198 | 08/13/16 17:23:57 | 277  | 277  | 60414314.846751928  | 56675732.965746358  |
| 278808:5198 | 08/13/16 19:25:19 | 1793 | 1793 | 283077268.241121948 | 272532778.043266475 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+------+------+---------------------+---------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)   | totrecorded(/ub)    |
+-------+------+------+------+---------------------+---------------------+
| 2     | 7    | 2477 | 2477 | 444771188.996557832 | 419135108.238310695 |
+-------+------+------+------+---------------------+---------------------+
#Check JSON:
#(run,ls) in json but not in results: []
