#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 278820:5199 | 08/14/16 11:00:51 | 1517 | 1517 | 301316068.762315452 | 289436861.836598158 |
| 278821:5199 | 08/14/16 21:34:57 | 35   | 35   | 5236019.870266252   | 4667482.059965229   |
| 278822:5199 | 08/14/16 21:52:47 | 1627 | 1627 | 199018809.894178063 | 192814294.877958536 |
| 278873:5205 | 08/15/16 23:25:45 | 60   | 60   | 11377664.767124459  | 2032904.329823425   |
| 278874:5205 | 08/15/16 23:51:53 | 477  | 477  | 87891891.784713328  | 82659432.330731049  |
| 278875:5205 | 08/16/16 03:01:20 | 833  | 833  | 121406045.597602710 | 116011100.562736377 |
| 278923:5206 | 08/16/16 12:16:32 | 413  | 413  | 104061633.467519701 | 99646041.291129455  |
| 278957:5209 | 08/16/16 21:31:36 | 149  | 149  | 38154003.549281821  | 36574296.408357650  |
| 278962:5210 | 08/17/16 01:08:31 | 341  | 341  | 82632823.823714748  | 76813044.620582238  |
| 278963:5210 | 08/17/16 03:24:57 | 175  | 175  | 39176889.554818168  | 37662842.448313393  |
| 278969:5211 | 08/17/16 07:16:52 | 1388 | 1388 | 298808604.154903173 | 285828796.696358740 |
| 278975:5211 | 08/17/16 16:23:16 | 848  | 848  | 126820421.135092720 | 121101529.228643939 |
| 278976:5211 | 08/17/16 21:58:16 | 20   | 20   | 2678462.011220858   | 2577859.926619127   |
| 278986:5213 | 08/18/16 04:02:59 | 129  | 129  | 34035976.041881777  | 31910669.238816287  |
| 279024:5219 | 08/18/16 22:31:53 | 301  | 301  | 52734373.595740862  | 50088375.620859750  |
| 279029:5219 | 08/19/16 02:19:40 | 260  | 260  | 40451141.244185857  | 38452134.927425757  |
| 279071:5222 | 08/19/16 15:40:07 | 174  | 174  | 23702022.739716273  | 22788490.894289847  |
| 279080:5223 | 08/19/16 22:42:50 | 157  | 157  | 13339324.720417887  | 12876333.281534664  |
| 279115:5229 | 08/20/16 22:08:09 | 407  | 407  | 88522114.158073127  | 85189739.153871268  |
| 279116:5229 | 08/21/16 01:36:03 | 448  | 448  | 95442823.419202864  | 91582775.946960673  |
| 279479:5247 | 08/25/16 04:33:24 | 105  | 105  | 6335006.515165520   | 5993889.314888237   |
| 279588:5251 | 08/25/16 21:08:11 | 1160 | 1160 | 239315561.700392634 | 230879394.482619524 |
| 279653:5253 | 08/26/16 14:05:52 | 181  | 181  | 45532341.485920452  | 43879144.232407376  |
| 279654:5253 | 08/26/16 15:21:58 | 1246 | 1246 | 251198776.498768002 | 243089494.684072793 |
| 279656:5253 | 08/26/16 23:49:40 | 43   | 43   | 6794934.242700947   | 5736805.688806801   |
| 279658:5253 | 08/27/16 01:35:19 | 712  | 712  | 96909137.619551703  | 94227309.685961366  |
| 279667:5254 | 08/27/16 09:08:23 | 966  | 966  | 218139225.584432900 | 210966707.655641317 |
| 279681:5256 | 08/27/16 21:57:02 | 28   | 28   | 7338150.842251495   | 6746151.220260077   |
| 279682:5256 | 08/27/16 22:11:02 | 33   | 33   | 8697552.824556682   | 7864511.045810254   |
| 279683:5256 | 08/27/16 22:32:16 | 26   | 26   | 6778241.696616351   | 6434360.364523622   |
| 279684:5256 | 08/27/16 22:46:58 | 22   | 22   | 5610400.260361074   | 5362301.941254381   |
| 279685:5256 | 08/27/16 23:07:12 | 209  | 209  | 50816047.947004132  | 49187553.836560056  |
| 279691:5257 | 08/28/16 03:41:26 | 43   | 43   | 10360994.376538901  | 9765373.368748792   |
| 279694:5257 | 08/28/16 04:03:09 | 2235 | 2235 | 422637126.546627522 | 410524767.765299261 |
| 279715:5258 | 08/28/16 22:01:34 | 621  | 621  | 144521870.619398445 | 138882193.053402662 |
| 279716:5258 | 08/29/16 02:17:06 | 1653 | 1653 | 267561029.981176257 | 260669427.701037019 |
| 279760:5261 | 08/29/16 20:21:24 | 662  | 662  | 161968443.787045032 | 156636246.231228709 |
| 279766:5261 | 08/30/16 01:08:36 | 1689 | 1689 | 278885486.290022969 | 270889643.050819874 |
| 279767:5261 | 08/30/16 12:08:03 | 776  | 776  | 92636863.447406352  | 90583908.406325102  |
| 279794:5264 | 08/30/16 23:41:02 | 1024 | 1024 | 232460795.924785197 | 225486946.739216149 |
| 279823:5265 | 08/31/16 10:00:39 | 335  | 335  | 85329203.984098464  | 82750018.811691925  |
| 279841:5266 | 08/31/16 15:23:17 | 2040 | 2040 | 396657811.091066837 | 384216979.056320906 |
