#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 278820:5199 | 08/14/16 11:00:52 | 1517 | 1517 | 299388994.539088786 | 287580218.185004115 |
| 278821:5199 | 08/14/16 21:34:58 | 35   | 35   | 5175254.581910412   | 4611758.520260377   |
| 278822:5199 | 08/14/16 21:52:48 | 1627 | 1627 | 195829703.521519780 | 189724216.453029513 |
| 278873:5205 | 08/15/16 23:25:46 | 60   | 60   | 11395453.151383923  | 2012170.727756745   |
| 278874:5205 | 08/15/16 23:51:54 | 477  | 477  | 87347306.764985308  | 82142606.263622135  |
| 278875:5205 | 08/16/16 03:01:21 | 833  | 833  | 120442190.677986935 | 115088005.080081910 |
| 278923:5206 | 08/16/16 12:16:33 | 413  | 413  | 103255455.414578855 | 98881487.114251301  |
| 278957:5209 | 08/16/16 21:31:37 | 149  | 149  | 37843041.618738860  | 36288211.027633078  |
| 278962:5210 | 08/17/16 01:08:32 | 341  | 341  | 82193132.388743073  | 76386869.647578120  |
| 278963:5210 | 08/17/16 03:24:58 | 175  | 175  | 38927227.515186869  | 37428178.674976468  |
| 278969:5211 | 08/17/16 07:16:53 | 1388 | 1388 | 297017892.283830166 | 284107315.948463559 |
| 278975:5211 | 08/17/16 16:23:17 | 848  | 848  | 125599155.050253332 | 119935613.725590870 |
| 278976:5211 | 08/17/16 21:58:17 | 20   | 20   | 2645822.298178136   | 2550279.109712945   |
| 278986:5213 | 08/18/16 04:03:00 | 129  | 129  | 33702920.538545318  | 31606691.051903538  |
| 279024:5219 | 08/18/16 22:31:54 | 301  | 301  | 52338495.538020201  | 49722296.930792496  |
| 279029:5219 | 08/19/16 02:19:42 | 260  | 260  | 39991591.255238138  | 38016732.441976763  |
| 279071:5222 | 08/19/16 15:40:07 | 174  | 174  | 23618439.782267246  | 22701025.326172639  |
| 279080:5223 | 08/19/16 22:42:51 | 157  | 157  | 13094260.806798849  | 12624985.385531226  |
| 279115:5229 | 08/20/16 22:08:10 | 407  | 407  | 87971980.568725362  | 84666662.281444818  |
| 279116:5229 | 08/21/16 01:36:04 | 448  | 448  | 94868042.911146238  | 91044986.125481158  |
| 279479:5247 | 08/25/16 04:33:24 | 105  | 105  | 6484905.947413949   | 6139568.949984255   |
| 279588:5251 | 08/25/16 21:08:12 | 1160 | 1160 | 237990796.027297437 | 229610033.215674669 |
| 279653:5253 | 08/26/16 14:05:53 | 181  | 181  | 45217161.884969085  | 43557304.247810371  |
| 279654:5253 | 08/26/16 15:21:58 | 1246 | 1246 | 249444924.687775582 | 241393320.298909724 |
| 279656:5253 | 08/26/16 23:49:41 | 43   | 43   | 6721936.030029190   | 5674487.830555729   |
| 279658:5253 | 08/27/16 01:35:20 | 712  | 712  | 95660744.850761145  | 93009565.066839337  |
| 279667:5254 | 08/27/16 09:08:24 | 966  | 966  | 216621211.955038399 | 209474853.170054823 |
| 279681:5256 | 08/27/16 21:57:03 | 28   | 28   | 7288750.684521348   | 6676736.839498190   |
| 279682:5256 | 08/27/16 22:11:02 | 33   | 33   | 8620774.490818705   | 7779786.046687941   |
| 279683:5256 | 08/27/16 22:32:16 | 26   | 26   | 6700046.442502761   | 6345290.215028101   |
| 279684:5256 | 08/27/16 22:47:00 | 22   | 22   | 5544120.279175177   | 5283743.973314508   |
| 279685:5256 | 08/27/16 23:07:12 | 209  | 209  | 50293800.326340184  | 48694639.320631772  |
| 279691:5257 | 08/28/16 03:41:27 | 43   | 43   | 10247051.707232794  | 9628620.614509033   |
| 279694:5257 | 08/28/16 04:03:10 | 2235 | 2235 | 416133732.933172762 | 404202553.558206081 |
| 279715:5258 | 08/28/16 22:01:35 | 621  | 621  | 143779017.586033612 | 138190389.759939641 |
| 279716:5258 | 08/29/16 02:17:07 | 1653 | 1653 | 265380059.029251367 | 258553290.599176764 |
| 279760:5261 | 08/29/16 20:21:24 | 662  | 662  | 160755513.556110173 | 155474600.772719264 |
| 279766:5261 | 08/30/16 01:08:37 | 1689 | 1689 | 276198945.729192972 | 268295316.972483605 |
