#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 281613:5331 | 09/25/16 06:03:32 | 791  | 791  | 11406932.294227948  | 9854509.957434956   |
| 281639:5338 | 09/26/16 07:45:13 | 132  | 132  | 20460171.191886660  | 19206349.049190830  |
| 281641:5338 | 09/26/16 09:34:34 | 319  | 319  | 41453981.714300528  | 39703344.758381382  |
| 281686:5339 | 09/26/16 16:25:01 | 20   | 20   | 5586858.065034417   | 5298400.447007613   |
| 281691:5339 | 09/26/16 16:48:30 | 14   | 14   | 3799516.882963067   | 3623780.599961938   |
| 281693:5339 | 09/26/16 16:57:00 | 2191 | 2191 | 392769987.857179165 | 379849391.661385536 |
| 281707:5340 | 09/27/16 09:47:29 | 967  | 967  | 229582922.692636937 | 220142035.142404348 |
| 281726:5340 | 09/27/16 16:14:38 | 288  | 288  | 51582677.663454719  | 49834009.181786589  |
| 281727:5340 | 09/27/16 18:10:03 | 1605 | 1605 | 209736411.549669683 | 203808378.519682974 |
| 281797:5345 | 09/28/16 12:04:48 | 2052 | 2052 | 416945918.178305566 | 401981324.461655200 |
| 281975:5351 | 09/30/16 03:23:12 | 215  | 215  | 59112936.870518498  | 54587500.972320288  |
| 281976:5351 | 09/30/16 04:48:03 | 2166 | 2166 | 356897526.973665535 | 343304198.236064255 |
| 282033:5352 | 09/30/16 21:30:43 | 36   | 36   | 9057362.935804106   | 8351861.766185753   |
| 282034:5352 | 09/30/16 21:48:05 | 33   | 33   | 9442516.142871274   | 8733301.256192399   |
| 282035:5352 | 09/30/16 22:03:01 | 40   | 40   | 11061057.820296282  | 9514642.291615102   |
| 282037:5352 | 09/30/16 22:24:14 | 1862 | 1862 | 349099352.604246020 | 334932327.739931226 |
| 282092:5355 | 10/02/16 13:49:37 | 2185 | 2185 | 408019230.162881017 | 394935066.162448227 |
| 282708:5391 | 10/09/16 08:39:30 | 8    | 8    | 2529322.482374353   | 2144558.253207104   |
| 282710:5391 | 10/09/16 08:49:08 | 3    | 3    | 887641.715171167    | 350703.732535675    |
| 282712:5391 | 10/09/16 09:00:13 | 60   | 60   | 17728019.816574115  | 16882291.500976536  |
| 282730:5393 | 10/09/16 12:41:53 | 76   | 76   | 22550754.895232085  | 20631795.437935535  |
| 282731:5393 | 10/09/16 13:13:59 | 172  | 172  | 50887274.693405055  | 48048286.491912313  |
| 282732:5393 | 10/09/16 14:23:16 | 69   | 69   | 19028956.609434281  | 18281461.829511214  |
| 282733:5393 | 10/09/16 14:52:26 | 177  | 177  | 45351658.347848706  | 43632313.666405760  |
| 282734:5393 | 10/09/16 16:03:11 | 327  | 327  | 73898232.816470712  | 71211183.625756338  |
| 282735:5393 | 10/09/16 18:12:39 | 1819 | 1819 | 279923305.718717039 | 272048476.858123422 |
| 282800:5394 | 10/10/16 14:17:15 | 377  | 377  | 98335385.816151261  | 94644854.940415785  |
| 282807:5394 | 10/10/16 16:48:03 | 326  | 326  | 75265041.711688206  | 71321820.380053341  |
| 282814:5394 | 10/10/16 18:58:58 | 1843 | 1843 | 287645140.748729885 | 278819558.371706128 |
| 282842:5395 | 10/11/16 10:34:00 | 80   | 80   | 24793098.380255718  | 23797366.045978785  |
| 282917:5401 | 10/12/16 01:27:07 | 74   | 74   | 19114676.244527556  | 18171728.428863019  |
| 282918:5401 | 10/12/16 02:00:22 | 51   | 51   | 13589616.260896437  | 13025008.550115174  |
| 282919:5401 | 10/12/16 02:23:36 | 243  | 243  | 60010505.303491771  | 57863735.170866340  |
| 282922:5401 | 10/12/16 05:09:33 | 131  | 131  | 27647991.906895529  | 25785002.109718394  |
| 282923:5401 | 10/12/16 06:04:20 | 222  | 222  | 43532329.906308837  | 41474294.635922708  |
| 282924:5401 | 10/12/16 07:34:42 | 1    | 1    | 181857.549698338    | 170220.963942256    |
| 283042:5405 | 10/12/16 22:38:59 | 6    | 6    | 1619611.895882071   | 1435533.013284894   |
| 283043:5405 | 10/12/16 22:44:16 | 517  | 517  | 123243091.373801813 | 117972506.173354208 |
| 283049:5406 | 10/13/16 05:05:17 | 12   | 12   | 3942168.809921490   | 3171816.897288618   |
| 283050:5406 | 10/13/16 05:13:23 | 212  | 212  | 62784775.797913283  | 58639570.178467758  |
| 283052:5406 | 10/13/16 06:45:19 | 111  | 111  | 30542613.067015093  | 29110576.114737656  |
| 283059:5406 | 10/13/16 08:00:56 | 450  | 450  | 104072263.660872549 | 99841264.047337562  |
| 283270:5416 | 10/14/16 18:39:48 | 1833 | 1833 | 398710519.227178931 | 385521210.241691470 |
| 283283:5416 | 10/15/16 06:37:08 | 1744 | 1744 | 204092607.040226817 | 199136155.601961315 |
| 283305:5418 | 10/15/16 21:41:13 | 7    | 7    | 2177227.454942611   | 1407942.072295662   |
| 283306:5418 | 10/15/16 21:46:57 | 289  | 289  | 81207958.260219678  | 77780642.791889548  |
| 283307:5418 | 10/15/16 23:43:44 | 454  | 454  | 105901112.163869083 | 101384034.143608168 |
| 283308:5418 | 10/16/16 02:46:26 | 970  | 970  | 171941747.751597017 | 165580589.542536467 |
| 283353:5421 | 10/16/16 19:55:17 | 743  | 743  | 200302690.972881734 | 193296966.299444437 |
| 283358:5421 | 10/17/16 00:50:19 | 981  | 981  | 183392537.992236018 | 174193231.035041839 |
| 283359:5421 | 10/17/16 07:15:19 | 428  | 428  | 62846962.736401901  | 61358758.100646697  |
| 283407:5423 | 10/17/16 21:54:07 | 33   | 33   | 11067050.091529706  | 9938878.671626415   |
| 283408:5423 | 10/17/16 22:10:43 | 2344 | 2344 | 478118051.602032900 | 461816465.203924537 |
| 283416:5423 | 10/18/16 14:57:30 | 243  | 243  | 28272256.267591834  | 21898481.903725941  |
| 283453:5424 | 10/18/16 19:07:49 | 455  | 455  | 130170528.329276666 | 124741121.080179825 |
| 283469:5426 | 10/19/16 01:09:36 | 1    | 1    | 336328.438912822    | 31461.128783839     |
