#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 281613:5331 | 09/25/16 06:03:33 | 791  | 791  | 10995691.737919707  | 9489933.754301753   |
| 281639:5338 | 09/26/16 07:45:15 | 132  | 132  | 20553170.475532018  | 19289385.691902917  |
| 281641:5338 | 09/26/16 09:34:34 | 319  | 319  | 41324055.575584024  | 39576657.987330988  |
| 281686:5339 | 09/26/16 16:25:02 | 20   | 20   | 5587507.007472089   | 5282408.226745558   |
| 281691:5339 | 09/26/16 16:48:30 | 14   | 14   | 3799569.188521640   | 3607005.370684920   |
| 281693:5339 | 09/26/16 16:57:02 | 2191 | 2191 | 391960060.692008197 | 379061163.787275016 |
| 281707:5340 | 09/27/16 09:47:30 | 967  | 967  | 228231933.665462852 | 218848705.719196588 |
| 281726:5340 | 09/27/16 16:14:38 | 288  | 288  | 51187657.955750771  | 49449116.094418176  |
| 281727:5340 | 09/27/16 18:10:04 | 1605 | 1605 | 206264092.307765216 | 200437252.786286473 |
| 281797:5345 | 09/28/16 12:04:49 | 2052 | 2052 | 412327441.769029140 | 397535330.451576650 |
| 281975:5351 | 09/30/16 03:23:13 | 215  | 215  | 58650350.312178783  | 54084407.304955378  |
| 281976:5351 | 09/30/16 04:48:03 | 2166 | 2166 | 352339912.446939230 | 338891186.244379818 |
| 282033:5352 | 09/30/16 21:30:44 | 36   | 36   | 8985874.873236261   | 8276293.931917395   |
| 282034:5352 | 09/30/16 21:48:05 | 33   | 33   | 9409445.224238681   | 8690099.856562205   |
| 282035:5352 | 09/30/16 22:03:02 | 40   | 40   | 11061239.967360500  | 9499631.626213763   |
| 282037:5352 | 09/30/16 22:24:15 | 1862 | 1862 | 345463385.092280269 | 331437692.287215292 |
| 282092:5355 | 10/02/16 13:49:38 | 2185 | 2185 | 403906899.601143718 | 390957899.144058645 |
| 282708:5391 | 10/09/16 08:39:31 | 8    | 8    | 2545670.154227787   | 2158690.755955213   |
| 282710:5391 | 10/09/16 08:49:08 | 3    | 3    | 933947.591384196    | 352544.781930981    |
| 282712:5391 | 10/09/16 09:00:13 | 60   | 60   | 17669294.145378545  | 16825574.725621991  |
| 282730:5393 | 10/09/16 12:41:53 | 76   | 76   | 22783173.545634564  | 20831308.952472258  |
| 282731:5393 | 10/09/16 13:13:59 | 172  | 172  | 51040421.864570305  | 48194774.068955809  |
| 282732:5393 | 10/09/16 14:23:16 | 69   | 69   | 19015389.602291167  | 18268678.070467424  |
| 282733:5393 | 10/09/16 14:52:27 | 177  | 177  | 45301976.569666959  | 43581029.747375391  |
| 282734:5393 | 10/09/16 16:03:11 | 327  | 327  | 73726406.831099346  | 71045057.940339416  |
| 282735:5393 | 10/09/16 18:12:40 | 1819 | 1819 | 277761049.155993521 | 269943712.142818272 |
| 282800:5394 | 10/10/16 14:17:15 | 377  | 377  | 98206987.115518272  | 94509672.179890841  |
| 282807:5394 | 10/10/16 16:48:03 | 326  | 326  | 74965568.574316338  | 71034957.362430856  |
| 282814:5394 | 10/10/16 18:58:58 | 1843 | 1843 | 284758912.811566710 | 276016667.908469081 |
| 282842:5395 | 10/11/16 10:34:00 | 80   | 80   | 24679968.166735239  | 23688094.914855786  |
| 282917:5401 | 10/12/16 01:27:07 | 74   | 74   | 18974273.253661666  | 18031742.612449098  |
| 282918:5401 | 10/12/16 02:00:23 | 51   | 51   | 13486710.324886193  | 12930662.942084881  |
| 282919:5401 | 10/12/16 02:23:36 | 243  | 243  | 59447255.932857476  | 57321275.695201829  |
| 282922:5401 | 10/12/16 05:09:33 | 131  | 131  | 27345787.131396741  | 25500162.816324931  |
| 282923:5401 | 10/12/16 06:04:20 | 222  | 222  | 43014881.745428853  | 40969149.113990858  |
| 282924:5401 | 10/12/16 07:34:43 | 1    | 1    | 179480.432827927    | 167989.243028612    |
| 283042:5405 | 10/12/16 22:38:59 | 6    | 6    | 1416790.429530307   | 1255067.004560943   |
| 283043:5405 | 10/12/16 22:44:17 | 517  | 517  | 119369555.207874134 | 114263515.735218748 |
| 283049:5406 | 10/13/16 05:05:17 | 12   | 12   | 3900691.751346023   | 3136916.813404694   |
| 283050:5406 | 10/13/16 05:13:25 | 212  | 212  | 61844998.952754900  | 57737136.469939120  |
| 283052:5406 | 10/13/16 06:45:20 | 111  | 111  | 30082485.172080528  | 28666098.026720446  |
| 283059:5406 | 10/13/16 08:00:56 | 450  | 450  | 102893152.041256517 | 98698778.908405453  |
| 283270:5416 | 10/14/16 18:39:48 | 1833 | 1833 | 406475699.322889328 | 393007456.114968419 |
| 283283:5416 | 10/15/16 06:37:09 | 1744 | 1744 | 203949161.631448239 | 198991468.257103026 |
| 283305:5418 | 10/15/16 21:41:13 | 7    | 7    | 2269218.725339099   | 1467050.366440830   |
| 283306:5418 | 10/15/16 21:46:57 | 289  | 289  | 83198569.486336201  | 79680308.927765742  |
| 283307:5418 | 10/15/16 23:43:44 | 454  | 454  | 107520141.585913062 | 102934510.364630759 |
| 283308:5418 | 10/16/16 02:46:26 | 970  | 970  | 172708136.202478915 | 166317572.819439560 |
| 283353:5421 | 10/16/16 19:55:17 | 743  | 743  | 203709139.585062891 | 196566602.375584811 |
| 283358:5421 | 10/17/16 00:50:20 | 981  | 981  | 183906141.308493018 | 174694243.281374961 |
| 283359:5421 | 10/17/16 07:15:19 | 428  | 428  | 62443918.084220156  | 60964734.002953254  |
| 283407:5423 | 10/17/16 21:54:07 | 33   | 33   | 11520228.761750778  | 10341095.214793226  |
| 283408:5423 | 10/17/16 22:10:43 | 2344 | 2344 | 478448062.977740109 | 462106884.064093888 |
| 283416:5423 | 10/18/16 14:57:31 | 243  | 243  | 27622449.357562453  | 21389422.535688482  |
| 283453:5424 | 10/18/16 19:07:49 | 455  | 455  | 132325792.578161895 | 126772079.706731424 |
| 283469:5426 | 10/19/16 01:09:36 | 1    | 1    | 346160.493085864    | 32391.263660153     |
| 283478:5427 | 10/19/16 04:13:19 | 894  | 894  | 229069532.719661295 | 220597520.340592831 |
| 283548:5433 | 10/19/16 22:58:39 | 144  | 144  | 28009157.167076617  | 27087529.468582463  |
| 283680:5437 | 10/21/16 03:17:52 | 81   | 81   | 20369320.546334296  | 19576914.513026223  |
| 283681:5437 | 10/21/16 03:56:07 | 17   | 17   | 4149262.350916896   | 3940845.064790759   |
| 283682:5437 | 10/21/16 04:08:38 | 384  | 384  | 84879428.428842992  | 82320724.928058431  |
| 283685:5437 | 10/21/16 06:39:38 | 314  | 314  | 21623013.700032666  | 20509144.873711314  |
| 283820:5439 | 10/21/16 20:48:18 | 1482 | 1482 | 273885964.633984327 | 264965547.716213107 |
| 283830:5439 | 10/22/16 06:27:26 | 722  | 722  | 106468881.958349288 | 103572645.728344217 |
| 283834:5439 | 10/22/16 11:11:28 | 81   | 81   | 10333507.843865287  | 9076818.961081248   |
| 283835:5439 | 10/22/16 11:45:28 | 111  | 111  | 13061763.239599034  | 11378246.555379296  |
| 283865:5441 | 10/22/16 17:30:09 | 1177 | 1177 | 280778312.581623912 | 271419155.672837794 |
| 283876:5442 | 10/23/16 03:38:50 | 657  | 657  | 176283589.356985688 | 169705929.614719510 |
| 283877:5442 | 10/23/16 07:59:53 | 1496 | 1496 | 256967764.302271992 | 248939732.931919813 |
