#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 303824:6239 | 09/24/17 02:56:57 | 487  | 487  | 80896616.921195611  | 78315441.022381216  |
| 303825:6239 | 09/24/17 07:38:22 | 180  | 180  | 24091019.022371218  | 23642117.720989663  |
| 303832:6240 | 09/24/17 11:12:03 | 1860 | 1860 | 343620824.217575610 | 333589786.436601400 |
| 303838:6241 | 09/25/17 01:48:14 | 1962 | 1962 | 407561165.329136789 | 394600216.853526473 |
| 303885:6243 | 09/25/17 19:09:19 | 1991 | 1991 | 430700729.470384657 | 415089152.755245686 |
| 303948:6245 | 09/26/17 12:47:20 | 1624 | 1624 | 380302820.607258260 | 365100917.171826899 |
| 303998:6247 | 09/27/17 07:04:50 | 258  | 258  | 81670238.451328471  | 76324917.252979428  |
| 303999:6247 | 09/27/17 08:51:44 | 744  | 744  | 185839586.649295926 | 179139890.165691584 |
| 304000:6247 | 09/27/17 13:43:21 | 56   | 56   | 11194652.117122052  | 10978181.620023498  |
| 304062:6252 | 09/27/17 20:37:26 | 1960 | 1960 | 398495769.946222782 | 385649663.868915200 |
| 304119:6253 | 09/28/17 12:28:48 | 71   | 71   | 23571263.106133379  | 21525742.374915730  |
| 304120:6253 | 09/28/17 13:00:39 | 248  | 248  | 76675699.231327280  | 72556460.390383765  |
| 304125:6253 | 09/28/17 14:40:13 | 1769 | 1769 | 350612364.515693903 | 341363339.313165724 |
| 304144:6255 | 09/29/17 05:27:56 | 2579 | 2579 | 560770585.973139167 | 538113231.872970223 |
| 304158:6258 | 09/30/17 06:34:03 | 1920 | 1920 | 385958639.534797072 | 374034611.904093683 |
| 304169:6259 | 09/30/17 22:12:02 | 1682 | 1682 | 355017903.512868941 | 341251981.534884751 |
| 304170:6259 | 10/01/17 09:08:29 | 614  | 614  | 77248870.867580265  | 75796223.291371480  |
| 304199:6261 | 10/01/17 18:52:33 | 3    | 3    | 949117.516766903    | 42262.421100410     |
| 304200:6261 | 10/01/17 18:55:58 | 321  | 321  | 93301388.726690605  | 88513007.589501128  |
| 304204:6262 | 10/01/17 23:41:29 | 553  | 553  | 163576508.168190688 | 153749806.916404366 |
| 304209:6263 | 10/02/17 05:33:50 | 425  | 425  | 133004896.397598222 | 122831681.403417930 |
| 304291:6266 | 10/02/17 17:40:13 | 22   | 22   | 5845281.239694890   | 3295949.780052534   |
| 304292:6266 | 10/02/17 17:51:42 | 1810 | 1810 | 380594765.799557209 | 359371278.068101525 |
| 304333:6268 | 10/03/17 11:50:17 | 1580 | 1580 | 384236528.576021910 | 368642835.865810037 |
| 304354:6269 | 10/04/17 03:18:00 | 214  | 214  | 72398512.984804422  | 68302118.861840323  |
| 304366:6271 | 10/04/17 09:20:22 | 1818 | 1818 | 437750910.875224590 | 421266148.440998971 |
| 304446:6272 | 10/05/17 00:46:48 | 65   | 65   | 23130554.999283578  | 19004656.772043269  |
| 304447:6272 | 10/05/17 01:17:37 | 1643 | 1643 | 389452429.423232675 | 371873795.360570908 |
| 304451:6272 | 10/05/17 12:14:42 | 54   | 54   | 7965043.750593998   | 7491895.517660742   |
| 304505:6275 | 10/05/17 18:53:16 | 23   | 23   | 8096430.156824498   | 7697022.266103733   |
| 304506:6275 | 10/05/17 19:04:51 | 370  | 370  | 124786138.319132775 | 119667654.433466539 |
| 304507:6275 | 10/05/17 21:32:17 | 234  | 234  | 69212940.711681992  | 50757205.154343307  |
| 304508:6275 | 10/05/17 23:07:04 | 1324 | 1324 | 257010037.097368628 | 250242942.667478204 |
| 304562:6276 | 10/06/17 12:30:34 | 792  | 792  | 235635808.252286613 | 222628268.820626289 |
| 304616:6278 | 10/06/17 22:15:31 | 939  | 939  | 267808404.735265553 | 253412278.361172318 |
| 304625:6279 | 10/07/17 07:35:53 | 461  | 461  | 154743976.421424180 | 136456546.000502229 |
