#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 305044:6297 | 10/13/17 21:00:45 | 218  | 218  | 71576279.521901667  | 67132643.532383174  |
| 305045:6297 | 10/13/17 23:11:07 | 871  | 871  | 211072599.629500747 | 202352037.929366410 |
| 305046:6297 | 10/14/17 04:51:45 | 683  | 683  | 111406155.964469835 | 108548625.698405862 |
| 305059:6298 | 10/14/17 11:45:00 | 509  | 509  | 172401261.299130678 | 157786385.551952809 |
| 305062:6298 | 10/14/17 15:13:17 | 5    | 5    | 1683914.802700613   | 1305638.199055909   |
| 305063:6298 | 10/14/17 15:18:15 | 35   | 35   | 11546876.141894294  | 9565484.581130987   |
| 305064:6298 | 10/14/17 15:34:27 | 2044 | 2044 | 391544311.309109807 | 380018945.369230211 |
| 305081:6300 | 10/15/17 09:06:21 | 1037 | 1037 | 328276305.347096741 | 310280476.618849158 |
| 305112:6303 | 10/15/17 23:07:00 | 1455 | 1455 | 419299791.753938973 | 400956803.567667127 |
| 305113:6303 | 10/16/17 08:40:46 | 59   | 59   | 11402734.210545171  | 10930751.747637745  |
| 305114:6303 | 10/16/17 09:05:22 | 520  | 520  | 86224758.669750318  | 84126740.883045658  |
| 305178:6304 | 10/16/17 17:19:50 | 51   | 51   | 17760021.039127275  | 16839214.813733418  |
| 305179:6304 | 10/16/17 17:41:42 | 16   | 16   | 5573585.422542299   | 3856497.282410685   |
| 305180:6304 | 10/16/17 17:50:42 | 5    | 5    | 1728826.452260616   | 554953.777853693    |
| 305181:6304 | 10/16/17 17:55:03 | 7    | 7    | 2465673.729892795   | 585574.170973269    |
| 305182:6304 | 10/16/17 18:00:34 | 5    | 5    | 1738957.953983426   | 951367.479758699    |
| 305183:6304 | 10/16/17 18:04:56 | 262  | 262  | 91001336.771343693  | 77442132.864697784  |
| 305184:6304 | 10/16/17 19:50:14 | 4    | 4    | 1373728.429422997   | 103732.079774467    |
| 305186:6304 | 10/16/17 19:58:49 | 414  | 414  | 127430342.554311469 | 120084270.037620813 |
| 305188:6304 | 10/16/17 23:07:05 | 1002 | 1002 | 204476365.372562945 | 198329647.094890028 |
| 305202:6305 | 10/17/17 08:18:29 | 636  | 636  | 216469355.267933518 | 207087927.348831028 |
| 305204:6305 | 10/17/17 13:20:31 | 1225 | 1225 | 261996716.794177473 | 253720600.413529009 |
| 305207:6306 | 10/17/17 23:34:03 | 1020 | 1020 | 329573360.358632982 | 316685855.258079410 |
| 305208:6306 | 10/18/17 06:15:41 | 372  | 372  | 86604555.859093487  | 83056035.872094154  |
| 305234:6307 | 10/18/17 11:00:15 | 41   | 41   | 14318486.924758416  | 12655353.681680869  |
| 305236:6307 | 10/18/17 11:28:42 | 20   | 20   | 6968178.137242128   | 6483683.369341463   |
| 305237:6307 | 10/18/17 11:42:18 | 1141 | 1141 | 352499272.304560781 | 336391633.287260354 |
| 305247:6308 | 10/18/17 23:58:28 | 371  | 371  | 129358989.307012782 | 122425910.963670209 |
| 305248:6308 | 10/19/17 02:26:29 | 950  | 950  | 271283559.305006921 | 257625594.037494928 |
| 305252:6308 | 10/19/17 09:09:00 | 548  | 548  | 97354286.682702407  | 95039739.195908695  |
| 305282:6309 | 10/19/17 15:28:19 | 133  | 133  | 46409666.260126457  | 44344542.274479777  |
| 305310:6311 | 10/19/17 20:28:01 | 391  | 391  | 136231015.458329022 | 129151322.576439232 |
| 305311:6311 | 10/19/17 23:03:23 | 150  | 150  | 49717054.303201512  | 47386625.108981960  |
| 305312:6311 | 10/20/17 00:05:08 | 226  | 226  | 72089837.230222419  | 68271225.960125163  |
| 305313:6311 | 10/20/17 01:35:47 | 733  | 733  | 176940907.630977273 | 170164196.838293761 |
| 305314:6311 | 10/20/17 06:25:45 | 404  | 404  | 70088391.809890926  | 68334405.715385392  |
| 305336:6312 | 10/20/17 12:11:09 | 203  | 203  | 70077216.173069090  | 66202888.425539806  |
| 305338:6312 | 10/20/17 13:32:38 | 101  | 101  | 34662969.930997327  | 33111038.669540796  |
| 305341:6312 | 10/20/17 14:14:05 | 499  | 499  | 159094614.113891959 | 151780462.942976058 |
| 305349:6312 | 10/20/17 17:29:36 | 16   | 16   | 4429553.841075589   | 3880846.146478321   |
| 305350:6312 | 10/20/17 17:43:01 | 15   | 15   | 4064653.168215293   | 3820111.002957915   |
| 305351:6312 | 10/20/17 17:51:38 | 867  | 867  | 184753526.354892999 | 178341011.121887773 |
| 305358:6313 | 10/21/17 02:01:05 | 150  | 150  | 52412278.262574703  | 48578472.010224372  |
| 305364:6314 | 10/21/17 05:43:21 | 92   | 92   | 31821405.426064692  | 30414384.803553384  |
| 305365:6314 | 10/21/17 06:21:12 | 822  | 822  | 260786144.428951979 | 248985048.453089148 |
| 305366:6314 | 10/21/17 11:46:55 | 1240 | 1240 | 239607935.988060683 | 232430643.483933121 |
| 305376:6315 | 10/22/17 00:11:09 | 141  | 141  | 49270747.384937145  | 33358108.474768218  |
| 305377:6315 | 10/22/17 01:07:04 | 1522 | 1522 | 420001681.209869266 | 399386161.107697904 |
| 305405:6317 | 10/22/17 18:15:49 | 529  | 529  | 181388704.494515210 | 160061259.023400843 |
| 305406:6317 | 10/22/17 21:45:00 | 1458 | 1458 | 328170351.236729145 | 316024203.943886518 |
| 305440:6318 | 10/23/17 10:50:33 | 252  | 252  | 87559472.123406053  | 83253339.543009028  |
| 305441:6318 | 10/23/17 12:36:13 | 121  | 121  | 38085371.876311973  | 36615177.435832419  |
| 305516:6323 | 10/23/17 23:42:58 | 551  | 551  | 186036326.719177127 | 170811888.729253113 |
| 305517:6323 | 10/24/17 03:42:14 | 121  | 121  | 37407440.445408702  | 33973948.155488767  |
| 305518:6323 | 10/24/17 04:48:59 | 1133 | 1133 | 242659355.866571784 | 233807313.259218335 |
| 305586:6324 | 10/24/17 17:46:56 | 583  | 583  | 198929569.974403441 | 186610578.866396517 |
| 305588:6324 | 10/24/17 21:59:32 | 112  | 112  | 34882204.284758076  | 33303812.625963356  |
| 305589:6324 | 10/24/17 22:47:21 | 691  | 691  | 170274055.955886543 | 162878243.194854707 |
| 305590:6324 | 10/25/17 03:17:26 | 1004 | 1004 | 155970995.943106592 | 151936421.080215275 |
| 305636:6325 | 10/25/17 13:27:50 | 2325 | 2325 | 548328089.995555758 | 525219670.817102909 |
| 305766:6337 | 10/27/17 04:37:33 | 848  | 847  | 277111802.687252343 | 263961475.377792090 |
| 305809:6341 | 10/27/17 23:20:38 | 142  | 142  | 48880030.954780206  | 45952441.325762019  |
