#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 305044:6297 | 10/13/17 21:00:46 | 218  | 218  | 71644398.854709834  | 67148491.924849615  |
| 305045:6297 | 10/13/17 23:11:08 | 871  | 871  | 212169296.352960318 | 203388311.410465986 |
| 305046:6297 | 10/14/17 04:51:46 | 683  | 683  | 112509684.715453833 | 109632629.948533267 |
| 305059:6298 | 10/14/17 11:45:00 | 509  | 509  | 172416261.624147058 | 157761006.690310359 |
| 305062:6298 | 10/14/17 15:13:19 | 5    | 5    | 1684349.707660330   | 1285533.239377169   |
| 305063:6298 | 10/14/17 15:18:16 | 35   | 35   | 11553611.750803238  | 9557454.602261048   |
| 305064:6298 | 10/14/17 15:34:28 | 2044 | 2044 | 394395749.173932672 | 382794542.202797055 |
| 305081:6300 | 10/15/17 09:06:22 | 1037 | 1037 | 328618746.159543812 | 310606982.052615881 |
| 305112:6303 | 10/15/17 23:07:00 | 1455 | 1455 | 419894626.029685020 | 401511838.898441672 |
| 305113:6303 | 10/16/17 08:40:47 | 59   | 59   | 11483671.518039197  | 10996611.592357237  |
| 305114:6303 | 10/16/17 09:05:23 | 520  | 520  | 87006308.391239136  | 84888704.219312072  |
| 305178:6304 | 10/16/17 17:19:51 | 50   | 50   | 17392698.872665528  | 16396021.482749239  |
| 305179:6304 | 10/16/17 17:41:43 | 16   | 16   | 5565578.709133526   | 3830089.447933192   |
| 305180:6304 | 10/16/17 17:50:43 | 5    | 5    | 1725928.715345406   | 524752.164908589    |
| 305181:6304 | 10/16/17 17:55:04 | 7    | 7    | 2461188.727653638   | 582039.440441350    |
| 305182:6304 | 10/16/17 18:00:34 | 5    | 5    | 1735853.643176944   | 921171.200477484    |
| 305183:6304 | 10/16/17 18:04:57 | 262  | 262  | 90874977.023960650  | 77312134.304865330  |
| 305184:6304 | 10/16/17 19:50:15 | 4    | 4    | 1371801.623652246   | 102204.981707133    |
| 305186:6304 | 10/16/17 19:58:50 | 414  | 414  | 127546068.074771523 | 120166294.934004232 |
| 305188:6304 | 10/16/17 23:07:05 | 1002 | 1002 | 205788927.331662655 | 199602544.336198777 |
| 305202:6305 | 10/17/17 08:18:29 | 636  | 636  | 216243179.504569352 | 206848565.747188121 |
| 305204:6305 | 10/17/17 13:20:31 | 1225 | 1225 | 263461502.824284464 | 255182166.918108851 |
| 305207:6306 | 10/17/17 23:34:04 | 1020 | 1020 | 329518969.400925040 | 316614612.742471457 |
| 305208:6306 | 10/18/17 06:15:42 | 372  | 372  | 87023947.037684530  | 83462031.110406235  |
| 305234:6307 | 10/18/17 11:00:16 | 41   | 41   | 14297115.955269666  | 12615359.679379622  |
| 305236:6307 | 10/18/17 11:28:43 | 20   | 20   | 6958411.105522625   | 6485420.005189508   |
| 305237:6307 | 10/18/17 11:42:19 | 1141 | 1141 | 352674466.120952249 | 336556921.873096049 |
| 305247:6308 | 10/18/17 23:58:29 | 371  | 371  | 129169869.334340483 | 122246968.656306684 |
| 305248:6308 | 10/19/17 02:26:30 | 950  | 950  | 271738732.428075492 | 258042075.455499113 |
| 305252:6308 | 10/19/17 09:09:00 | 548  | 548  | 98171552.631633610  | 95834370.511280328  |
| 305282:6309 | 10/19/17 15:28:20 | 133  | 133  | 46341132.923951186  | 44298363.300107598  |
| 305310:6311 | 10/19/17 20:28:02 | 391  | 391  | 135972840.864306867 | 128884282.225107744 |
| 305311:6311 | 10/19/17 23:03:24 | 150  | 150  | 49688481.169667386  | 47335563.209779881  |
| 305312:6311 | 10/20/17 00:05:09 | 226  | 226  | 72098509.410059482  | 68260628.042841852  |
| 305313:6311 | 10/20/17 01:35:48 | 733  | 733  | 177690807.300879925 | 170873738.091482699 |
| 305314:6311 | 10/20/17 06:25:45 | 404  | 404  | 70701598.923880950  | 68933364.513887674  |
| 305336:6312 | 10/20/17 12:11:10 | 203  | 203  | 69987891.292828798  | 66097102.401932225  |
| 305338:6312 | 10/20/17 13:32:39 | 101  | 101  | 34622616.556464754  | 33057374.080015082  |
| 305341:6312 | 10/20/17 14:14:05 | 499  | 499  | 159129817.625324756 | 151793671.695378244 |
| 305349:6312 | 10/20/17 17:29:36 | 16   | 16   | 4440971.344393231   | 3874135.223703964   |
| 305350:6312 | 10/20/17 17:43:03 | 15   | 15   | 4075959.216818293   | 3816138.751355858   |
| 305351:6312 | 10/20/17 17:51:39 | 867  | 867  | 185858727.414138258 | 179397622.226150900 |
| 305358:6313 | 10/21/17 02:01:06 | 150  | 150  | 52333556.737342469  | 48505171.751754984  |
| 305364:6314 | 10/21/17 05:43:22 | 92   | 92   | 31779670.356479250  | 30374294.506991792  |
| 305365:6314 | 10/21/17 06:21:13 | 822  | 822  | 260829809.570470631 | 249011027.809208423 |
| 305366:6314 | 10/21/17 11:46:55 | 1240 | 1240 | 241259068.758764207 | 234036531.162091821 |
| 305376:6315 | 10/22/17 00:11:10 | 141  | 141  | 49146969.219184034  | 33276075.010684103  |
| 305377:6315 | 10/22/17 01:07:05 | 1522 | 1522 | 420397073.502723515 | 399747880.905576766 |
| 305405:6317 | 10/22/17 18:15:50 | 529  | 529  | 181002772.981061548 | 159718080.407336384 |
| 305406:6317 | 10/22/17 21:45:01 | 1458 | 1458 | 329375346.653929889 | 317190205.828417480 |
| 305440:6318 | 10/23/17 10:50:34 | 252  | 252  | 87349026.526801378  | 83029063.754981488  |
| 305441:6318 | 10/23/17 12:36:14 | 121  | 121  | 38023779.170178629  | 36553369.767097324  |
| 305516:6323 | 10/23/17 23:42:59 | 551  | 551  | 185687897.892779171 | 170496550.469405353 |
| 305517:6323 | 10/24/17 03:42:15 | 121  | 121  | 37395716.443048157  | 33958410.370489992  |
| 305518:6323 | 10/24/17 04:49:00 | 1133 | 1133 | 243801652.067809969 | 234914929.411957175 |
| 305586:6324 | 10/24/17 17:46:57 | 583  | 583  | 198516338.128213912 | 186216948.068476647 |
| 305588:6324 | 10/24/17 21:59:33 | 112  | 112  | 34882242.656651400  | 33286443.460167572  |
| 305589:6324 | 10/24/17 22:47:21 | 691  | 691  | 170780615.937918752 | 163352271.592272669 |
| 305590:6324 | 10/25/17 03:17:27 | 1004 | 1004 | 157260180.327568084 | 153195522.956415117 |
| 305636:6325 | 10/25/17 13:27:51 | 2325 | 2325 | 549691304.037167072 | 526497245.306542933 |
| 305766:6337 | 10/27/17 04:37:33 | 848  | 847  | 276741249.699036658 | 263624728.392872393 |
| 305809:6341 | 10/27/17 23:20:39 | 142  | 142  | 48771075.421803847  | 45867781.724297814  |
| 305814:6343 | 10/28/17 06:17:09 | 1828 | 1828 | 471107722.780803382 | 448842256.018072486 |
| 305821:6344 | 10/28/17 20:29:23 | 772  | 772  | 254702799.466221511 | 240083951.466724277 |
| 305832:6346 | 10/29/17 11:22:51 | 179  | 179  | 62261442.240526699  | 57877729.043612339  |
| 305840:6346 | 10/29/17 15:39:02 | 1137 | 1137 | 262287936.707056552 | 252267925.316803962 |
| 305842:6346 | 10/29/17 23:07:27 | 862  | 862  | 118945539.412546709 | 115950148.877585098 |
| 305862:6347 | 10/30/17 11:28:43 | 625  | 625  | 212244106.672518969 | 201772116.376748472 |
| 305898:6348 | 10/30/17 20:22:12 | 711  | 711  | 240634279.024925262 | 230261384.537226290 |
| 305902:6349 | 10/31/17 04:27:06 | 469  | 469  | 161180925.283360958 | 153845664.147358686 |
| 305967:6351 | 10/31/17 16:08:27 | 32   | 32   | 11072746.102632703  | 10514038.783245314  |
| 306029:6355 | 11/01/17 18:28:41 | 29   | 29   | 10066913.462751959  | 9124799.127577024   |
| 306030:6355 | 11/01/17 18:41:57 | 110  | 110  | 38199724.148059107  | 34817162.950232543  |
| 306036:6356 | 11/01/17 22:43:48 | 1    | 1    | 350222.261133973    | 52803.678121095     |
| 306037:6356 | 11/01/17 22:46:27 | 42   | 42   | 14617196.001416303  | 12149659.164224299  |
| 306038:6356 | 11/01/17 23:06:47 | 136  | 136  | 47311982.390033573  | 43986946.886122130  |
| 306041:6356 | 11/02/17 00:07:18 | 318  | 318  | 106524800.685946539 | 99671680.754154310  |
| 306042:6356 | 11/02/17 02:14:23 | 363  | 363  | 105466096.942215517 | 100134274.270306394 |
| 306048:6356 | 11/02/17 04:39:07 | 133  | 133  | 33788846.809631020  | 32080060.354707956  |
| 306049:6356 | 11/02/17 05:33:34 | 357  | 357  | 78949893.483243436  | 75552896.848322108  |
| 306051:6356 | 11/02/17 08:00:13 | 415  | 415  | 73133196.382614434  | 71118972.677017078  |
| 306091:6358 | 11/02/17 18:43:56 | 195  | 195  | 64302068.439168461  | 60424032.166420817  |
| 306092:6358 | 11/02/17 20:04:27 | 976  | 976  | 236416521.046354294 | 221438357.411835104 |
| 306095:6358 | 11/03/17 02:42:56 | 300  | 300  | 50761710.940283164  | 49437659.470774472  |
| 306121:6360 | 11/03/17 13:15:57 | 86   | 86   | 29923518.799200077  | 28549505.526455831  |
| 306122:6360 | 11/03/17 13:53:18 | 124  | 124  | 43137329.057420716  | 40472335.709176458  |
| 306125:6360 | 11/03/17 14:46:12 | 2988 | 2988 | 585454900.835573077 | 565071786.695939064 |
| 306126:6360 | 11/04/17 10:14:24 | 497  | 497  | 32056566.707857803  | 31412515.404048271  |
| 306134:6362 | 11/04/17 17:39:47 | 21   | 21   | 7285160.321266899   | 6931771.370054725   |
| 306135:6362 | 11/04/17 17:52:02 | 1095 | 1095 | 348542083.360402822 | 328858936.412128091 |
| 306138:6362 | 11/05/17 01:32:22 | 1298 | 1298 | 219359533.343853265 | 212678947.984968752 |
| 306139:6362 | 11/05/17 10:17:58 | 1112 | 1112 | 104594904.816606015 | 102618812.619837672 |
| 306153:6364 | 11/06/17 02:35:57 | 82   | 82   | 28503087.358852565  | 26342840.119430736  |
| 306154:6364 | 11/06/17 03:10:20 | 1231 | 1231 | 367182801.600750387 | 339243503.181861997 |
| 306155:6364 | 11/06/17 11:12:06 | 1440 | 1440 | 227023398.291414499 | 221027971.290051967 |
| 306169:6364 | 11/06/17 21:43:35 | 735  | 735  | 69043570.500105470  | 67015519.665225983  |
| 306170:6364 | 11/07/17 02:33:05 | 15   | 15   | 1226156.289173074   | 1144388.165717031   |
| 306171:6364 | 11/07/17 02:41:36 | 503  | 503  | 36816214.104721017  | 36193995.219498202  |
| 306418:6370 | 11/09/17 02:11:32 | 65   | 65   | 22547211.173243400  | 20702565.071960341  |
| 306419:6370 | 11/09/17 02:41:06 | 58   | 58   | 20067979.401418142  | 18345829.660570253  |
| 306420:6370 | 11/09/17 03:06:38 | 108  | 108  | 37138460.261187218  | 34098676.791064702  |
| 306422:6370 | 11/09/17 04:30:38 | 114  | 114  | 36381043.034027949  | 34603436.274724036  |
| 306423:6370 | 11/09/17 05:16:29 | 323  | 323  | 90780177.046070889  | 85775173.384243354  |
| 306432:6370 | 11/09/17 08:44:07 | 339  | 339  | 34774832.668493807  | 33790252.297081068  |
| 306454:6371 | 11/09/17 14:18:50 | 83   | 83   | 28708833.050205797  | 26739019.070640240  |
| 306455:6371 | 11/09/17 14:53:14 | 5    | 5    | 1743899.300291412   | 1595969.847004766   |
| 306456:6371 | 11/09/17 14:58:09 | 783  | 783  | 247292411.612057418 | 236568106.598359913 |
| 306457:6371 | 11/09/17 20:03:48 | 28   | 28   | 7229974.366610555   | 6681597.004036757   |
| 306458:6371 | 11/09/17 20:15:40 | 221  | 221  | 53605700.327236153  | 51560804.930744350  |
| 306459:6371 | 11/09/17 22:00:11 | 2272 | 2272 | 317224163.583190560 | 309932037.080598831 |
| 306460:6371 | 11/10/17 12:48:14 | 64   | 64   | 4210677.886047392   | 4048496.982703238   |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+-----------------------+-----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)     | totrecorded(/ub)      |
+-------+------+-------+-------+-----------------------+-----------------------+
| 37    | 111  | 58780 | 58779 | 14308913433.255821228 | 13615781682.877632141 |
+-------+------+-------+-------+-----------------------+-----------------------+
#Check JSON:
#(run,ls) in json but not in results: [(306459, 2273), (305178, 75)]
