#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 315257:6615 | 04/26/18 21:09:40 | 90   | 90   | 8301503.709167356   | 7929496.563703606   |
| 315259:6615 | 04/26/18 21:54:51 | 172  | 172  | 14285583.207564645  | 13918864.080893923  |
| 315264:6616 | 04/27/18 02:45:32 | 228  | 228  | 41077596.534235798  | 39704128.811378017  |
| 315265:6616 | 04/27/18 04:20:05 | 40   | 40   | 6809335.617366002   | 6454618.682766885   |
| 315267:6616 | 04/27/18 04:59:11 | 244  | 244  | 38219373.210543662  | 37143902.131202810  |
| 315270:6616 | 04/27/18 06:44:15 | 633  | 633  | 80765636.661390752  | 78982147.075397611  |
| 315322:6617 | 04/27/18 14:41:34 | 1328 | 1328 | 184163138.189403236 | 180062919.630844504 |
| 315339:6618 | 04/28/18 03:06:24 | 618  | 618  | 95692136.682923317  | 93349061.379238635  |
| 315357:6620 | 04/28/18 19:32:25 | 776  | 776  | 155879641.596257269 | 151930725.235824019 |
| 315361:6621 | 04/29/18 03:17:57 | 578  | 578  | 122060921.912737072 | 118280418.815049917 |
| 315363:6621 | 04/29/18 07:08:34 | 129  | 129  | 22161849.114914078  | 17891717.724871028  |
| 315365:6621 | 04/29/18 08:24:50 | 25   | 25   | 4268732.217889330   | 4138059.653552628   |
| 315366:6621 | 04/29/18 08:40:00 | 750  | 750  | 104072896.239148706 | 102461336.519005522 |
| 315420:6624 | 04/29/18 23:54:09 | 1707 | 1707 | 264161505.743787646 | 258566396.177751750 |
| 315488:6628 | 04/30/18 19:08:38 | 1062 | 1062 | 245075358.676456571 | 238348940.316604406 |
| 315489:6628 | 05/01/18 02:09:59 | 709  | 709  | 107728262.266131788 | 105892123.319302946 |
| 315490:6628 | 05/01/18 06:53:23 | 24   | 24   | 2554460.031921605   | 2521006.920102430   |
| 315506:6629 | 05/01/18 10:08:39 | 88   | 88   | 29450788.939766578  | 27983476.571164783  |
| 315509:6629 | 05/01/18 10:46:52 | 53   | 53   | 17685870.989459649  | 16981613.674655639  |
| 315510:6629 | 05/01/18 11:10:29 | 345  | 345  | 106813323.048667505 | 103173372.130429775 |
| 315512:6629 | 05/01/18 13:27:08 | 1122 | 1122 | 241306153.989072323 | 236873085.441196054 |
| 315543:6633 | 05/02/18 04:09:49 | 117  | 117  | 37860904.565996759  | 36886687.083221845  |
| 315555:6636 | 05/02/18 09:42:48 | 73   | 73   | 23302472.463636443  | 21969124.199158028  |
| 315556:6636 | 05/02/18 10:15:53 | 26   | 26   | 8976443.276341880   | 8395284.383237122   |
| 315557:6636 | 05/02/18 10:30:09 | 279  | 279  | 86273212.433447227  | 84135253.384344637  |
| 315640:6638 | 05/02/18 21:31:41 | 42   | 42   | 14924955.854017418  | 10512585.467107201  |
| 315641:6638 | 05/02/18 21:56:12 | 4    | 4    | 1524413.512726198   | 1237321.431729846   |
| 315642:6638 | 05/02/18 22:03:16 | 92   | 92   | 32715088.401302572  | 31431395.849127594  |
| 315644:6638 | 05/02/18 22:42:00 | 184  | 184  | 64786702.082494259  | 63160277.235413603  |
| 315645:6638 | 05/02/18 23:58:43 | 594  | 594  | 168273593.886163890 | 164302393.152922362 |
| 315646:6638 | 05/03/18 03:51:56 | 1033 | 1033 | 195446371.374148428 | 191965410.590463609 |
| 315647:6638 | 05/03/18 10:38:46 | 58   | 58   | 8667561.237657515   | 8018222.744567793   |
| 315648:6638 | 05/03/18 11:04:01 | 110  | 110  | 15513783.381148070  | 15226193.203938326  |
| 315689:6639 | 05/03/18 14:58:22 | 1163 | 1163 | 351034126.407872736 | 341380283.722242534 |
| 315690:6639 | 05/03/18 22:35:38 | 654  | 654  | 123143265.934235051 | 120952358.030139998 |
| 315702:6640 | 05/04/18 08:08:15 | 75   | 75   | 24261906.768841721  | 22853257.766332768  |
| 315703:6640 | 05/04/18 08:40:27 | 541  | 541  | 162493051.570820302 | 158162956.891098291 |
| 315704:6640 | 05/04/18 12:15:58 | 61   | 61   | 15167132.644129146  | 14739086.275014209  |
| 315705:6640 | 05/04/18 12:42:46 | 700  | 700  | 135070366.233089745 | 132815288.612382680 |
| 315713:6641 | 05/04/18 19:35:25 | 1061 | 1061 | 365754044.398044825 | 353737206.773384511 |
| 315721:6642 | 05/05/18 05:08:14 | 545  | 545  | 203827428.421222806 | 196144515.723707676 |
| 315741:6643 | 05/05/18 11:57:43 | 59   | 59   | 25217811.070920356  | 23717345.740636658  |
| 315764:6645 | 05/05/18 15:48:29 | 223  | 223  | 96334960.502312809  | 92264225.378260329  |
| 315770:6646 | 05/06/18 02:20:23 | 294  | 294  | 126217608.653617471 | 121797651.124930501 |
| 315784:6648 | 05/06/18 11:07:00 | 172  | 172  | 71735035.117309853  | 68961431.232251495  |
| 315785:6648 | 05/06/18 12:23:07 | 303  | 303  | 109413795.147160113 | 106004136.078937992 |
| 315786:6648 | 05/06/18 14:25:10 | 72   | 72   | 22718539.063546326  | 21848285.279214166  |
| 315790:6648 | 05/06/18 18:12:51 | 920  | 920  | 176569625.776343822 | 173297835.421505988 |
| 315800:6650 | 05/07/18 06:55:20 | 611  | 611  | 222986191.989227712 | 215606592.173516631 |
| 315801:6650 | 05/07/18 10:57:12 | 344  | 344  | 101138786.059274435 | 98535193.297082722  |
| 315840:6654 | 05/07/18 21:19:16 | 1122 | 1122 | 364441939.946879447 | 354113911.245899141 |
| 315973:6659 | 05/08/18 23:33:11 | 876  | 876  | 293816208.644809902 | 286295411.290820301 |
| 315974:6659 | 05/09/18 05:17:09 | 71   | 71   | 19080287.667758826  | 18532307.686860844  |
| 316058:6662 | 05/09/18 20:47:16 | 361  | 361  | 141638641.710084617 | 137198259.289094955 |
| 316059:6662 | 05/09/18 23:10:21 | 565  | 565  | 178071099.495826691 | 170422774.612727791 |
| 316060:6662 | 05/10/18 02:53:15 | 934  | 934  | 203643385.112221360 | 198365063.436726063 |
| 316061:6662 | 05/10/18 09:00:15 | 36   | 36   | 6254626.817461659   | 6146938.698831860   |
| 316062:6662 | 05/10/18 10:24:04 | 4    | 4    | 709715.261565985    | 698285.157881607    |
| 316082:6663 | 05/10/18 12:45:58 | 371  | 371  | 145839976.483954608 | 141360753.607112348 |
| 316110:6666 | 05/10/18 21:22:27 | 210  | 210  | 84663261.748701334  | 81970170.818123177  |
| 316111:6666 | 05/10/18 22:46:45 | 45   | 45   | 16576198.627528805  | 15162073.530272288  |
| 316113:6666 | 05/10/18 23:16:41 | 62   | 62   | 21626808.349379525  | 20491413.653518792  |
| 316114:6666 | 05/10/18 23:42:59 | 1561 | 1561 | 377647738.174708962 | 367996897.026085496 |
| 316151:6672 | 05/11/18 16:55:23 | 1    | 1    | 429890.411500377    | 93017.560572586     |
| 316153:6672 | 05/11/18 17:03:13 | 770  | 770  | 263571828.083170742 | 256242639.110924274 |
| 316186:6674 | 05/12/18 03:00:17 | 41   | 41   | 15835451.650632972  | 15153805.115139488  |
| 316187:6674 | 05/12/18 03:18:33 | 1970 | 1970 | 534590854.944845140 | 512431783.440729439 |
| 316199:6675 | 05/12/18 18:55:11 | 1164 | 1164 | 416069318.102149665 | 401964284.849533498 |
| 316200:6675 | 05/13/18 02:29:14 | 9    | 9    | 2372999.807406730   | 2226191.918865483   |
| 316201:6675 | 05/13/18 02:36:34 | 491  | 491  | 114515885.952534422 | 110093664.843950748 |
| 316202:6675 | 05/13/18 05:53:19 | 403  | 403  | 77434461.110045776  | 75106417.580096424  |
| 316216:6677 | 05/13/18 11:57:38 | 440  | 440  | 178428458.674017549 | 171480474.656433344 |
| 316217:6677 | 05/13/18 15:05:03 | 264  | 264  | 91442477.451341748  | 88159460.648405984  |
| 316218:6677 | 05/13/18 16:52:47 | 1023 | 1023 | 253204762.545019686 | 245891794.356029183 |
| 316219:6677 | 05/13/18 23:33:19 | 283  | 283  | 50388155.232417777  | 48978611.516130581  |
| 316239:6681 | 05/14/18 05:52:32 | 589  | 589  | 217723473.286111176 | 209320577.238760024 |
| 316240:6681 | 05/14/18 09:45:29 | 1222 | 1222 | 293184839.908830583 | 283683861.562271297 |
| 316241:6681 | 05/14/18 17:44:39 | 325  | 325  | 55296361.288207658  | 53194570.684073359  |
| 316271:6683 | 05/15/18 00:23:54 | 86   | 86   | 32067477.797494546  | 29698354.641975593  |
| 316361:6688 | 05/15/18 17:14:35 | 195  | 195  | 29381633.665170409  | 27224812.440119412  |
| 316362:6688 | 05/15/18 18:35:04 | 450  | 450  | 58806442.401733629  | 56336977.963779137  |
| 316363:6688 | 05/15/18 21:30:58 | 47   | 47   | 4740190.200568718   | 4629411.688003170   |
| 316377:6690 | 05/16/18 01:56:02 | 22   | 22   | 3395448.454982252   | 2092159.418993375   |
| 316378:6690 | 05/16/18 02:06:22 | 29   | 29   | 6210418.337856323   | 3336672.804882288   |
| 316379:6690 | 05/16/18 02:20:12 | 70   | 70   | 14591106.639935840  | 8222157.395833625   |
| 316380:6690 | 05/16/18 02:51:00 | 1213 | 1213 | 180018239.008199602 | 175946436.039949030 |
| 316455:6693 | 05/16/18 19:16:25 | 36   | 36   | 9914479.484310562   | 9607183.901913378   |
| 316457:6693 | 05/16/18 19:38:28 | 1454 | 1454 | 335726475.956425607 | 326275938.491428673 |
| 316469:6694 | 05/17/18 07:48:25 | 629  | 629  | 215497243.432741731 | 208831662.707373559 |
| 316470:6694 | 05/17/18 11:54:09 | 476  | 476  | 121012239.674692124 | 116870246.417936906 |
| 316472:6694 | 05/17/18 15:00:34 | 333  | 333  | 69182663.293649703  | 67281447.577102527  |
| 316505:6696 | 05/18/18 00:24:11 | 1321 | 1321 | 415193402.604657531 | 401883815.207214177 |
| 316569:6700 | 05/19/18 02:15:13 | 1926 | 1926 | 510684580.137563586 | 496226000.768771410 |
| 316590:6702 | 05/19/18 20:55:25 | 510  | 510  | 195348630.460483551 | 189248931.626576513 |
| 316613:6706 | 05/20/18 07:52:22 | 193  | 193  | 32123857.221535709  | 31466211.354570895  |
| 316615:6706 | 05/20/18 09:12:45 | 338  | 338  | 50039803.436377563  | 49127397.050637327  |
| 316666:6709 | 05/20/18 21:51:33 | 976  | 976  | 289345879.323992312 | 279383149.710052073 |
| 316667:6709 | 05/21/18 04:15:41 | 197  | 197  | 43606535.439470783  | 42140302.826889984  |
| 316700:6710 | 05/21/18 11:45:22 | 301  | 301  | 118084630.582322404 | 114305225.490644589 |
| 316701:6710 | 05/21/18 14:12:33 | 474  | 474  | 149283392.605029970 | 143934331.464125782 |
| 316702:6710 | 05/21/18 17:21:19 | 388  | 388  | 98397594.631410807  | 95462416.796412140  |
| 316715:6711 | 05/22/18 01:10:33 | 13   | 13   | 3351276.333928575   | 3000556.876679812   |
| 316716:6711 | 05/22/18 01:30:21 | 174  | 174  | 67181759.405625775  | 61793306.522633053  |
| 316717:6711 | 05/22/18 02:44:00 | 190  | 190  | 65958856.969968624  | 63386388.654036269  |
| 316718:6711 | 05/22/18 04:00:35 | 348  | 348  | 103836248.086489528 | 99356940.322943181  |
| 316719:6711 | 05/22/18 06:17:36 | 131  | 131  | 34123429.196111932  | 32449668.884794649  |
| 316720:6711 | 05/22/18 07:16:06 | 182  | 182  | 43150901.123204418  | 41732332.896507204  |
| 316721:6711 | 05/22/18 08:29:42 | 15   | 15   | 3344681.009142038   | 3260094.405961941   |
| 316722:6711 | 05/22/18 08:45:58 | 747  | 747  | 139195624.333049357 | 134761086.932070404 |
| 316723:6711 | 05/22/18 13:38:48 | 64   | 64   | 9830608.732926155   | 9621164.764996057   |
| 316758:6712 | 05/22/18 16:43:00 | 1599 | 1599 | 472005570.858305097 | 455685588.214008570 |
| 316766:6714 | 05/23/18 05:50:20 | 2149 | 2149 | 579072649.018096566 | 561149415.069693327 |
| 316876:6719 | 05/24/18 23:17:15 | 594  | 594  | 231368926.515258789 | 216836583.460201621 |
| 316877:6719 | 05/25/18 03:18:15 | 400  | 400  | 116661957.752562776 | 112767732.517543897 |
| 316879:6719 | 05/25/18 06:01:35 | 154  | 154  | 38022698.005152509  | 36513339.922672033  |
| 316928:6724 | 05/25/18 17:30:22 | 149  | 149  | 45713747.583456196  | 44417541.092722341  |
| 316944:6729 | 05/26/18 14:25:41 | 1791 | 1791 | 510949534.182144225 | 492948217.589802623 |
| 316985:6731 | 05/27/18 20:04:08 | 470  | 470  | 177657545.087924600 | 172547627.005013555 |
| 316993:6733 | 05/28/18 03:32:50 | 210  | 210  | 79334145.253477931  | 74474367.905216515  |
| 316994:6733 | 05/28/18 04:58:46 | 14   | 14   | 5071516.057995975   | 4777139.314736179   |
| 316995:6733 | 05/28/18 05:06:29 | 623  | 623  | 191897012.422387749 | 186195823.866957098 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+-----------------------+-----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)     | totrecorded(/ub)      |
+-------+------+-------+-------+-----------------------+-----------------------+
| 50    | 121  | 58025 | 58025 | 15202763406.012784958 | 14702626784.241052628 |
+-------+------+-------+-------+-----------------------+-----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
