#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 315257:6615 | 04/26/18 21:09:40 | 90   | 90   | 8244873.940772002   | 7875652.224179375   |
| 315259:6615 | 04/26/18 21:54:51 | 172  | 172  | 14104982.700809270  | 13742036.744416399  |
| 315264:6616 | 04/27/18 02:45:32 | 228  | 228  | 40365265.384618334  | 39013231.325383157  |
| 315265:6616 | 04/27/18 04:20:05 | 40   | 40   | 6684785.192014730   | 6336632.793273773   |
| 315267:6616 | 04/27/18 04:59:11 | 244  | 244  | 37455391.379136853  | 36401502.019695707  |
| 315270:6616 | 04/27/18 06:44:15 | 633  | 633  | 78780551.126952231  | 77040478.895118579  |
| 315322:6617 | 04/27/18 14:41:34 | 1328 | 1328 | 180246109.119795442 | 176234017.624578178 |
| 315339:6618 | 04/28/18 03:06:24 | 618  | 618  | 93854358.218796015  | 91555168.596844465  |
| 315357:6620 | 04/28/18 19:32:25 | 776  | 776  | 152936914.934223354 | 149060878.205794752 |
| 315361:6621 | 04/29/18 03:17:58 | 578  | 578  | 119927982.755720451 | 116206005.272973418 |
| 315363:6621 | 04/29/18 07:08:35 | 129  | 129  | 21566634.503921617  | 17438497.401298676  |
| 315365:6621 | 04/29/18 08:24:51 | 25   | 25   | 4145223.908333634   | 4018066.749939996   |
| 315366:6621 | 04/29/18 08:40:01 | 750  | 750  | 101148681.882131264 | 99582111.695270628  |
| 315420:6624 | 04/29/18 23:54:09 | 1707 | 1707 | 257304228.251317501 | 251848623.357238442 |
| 315488:6628 | 04/30/18 19:08:38 | 1062 | 1062 | 238977577.921804339 | 232416899.881036669 |
| 315489:6628 | 05/01/18 02:09:59 | 709  | 709  | 103953994.883708760 | 102182394.917143360 |
| 315490:6628 | 05/01/18 06:53:23 | 24   | 24   | 2452247.425977467   | 2420044.329070451   |
| 315506:6629 | 05/01/18 10:08:40 | 88   | 88   | 28846960.060284600  | 27404614.819271334  |
| 315509:6629 | 05/01/18 10:46:52 | 53   | 53   | 17308219.763182819  | 16619079.377423715  |
| 315510:6629 | 05/01/18 11:10:29 | 345  | 345  | 104300683.100663692 | 100745731.813401267 |
