#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 317080:6737 | 05/28/18 20:40:32 | 26   | 26   | 8321827.223132810   | 7844298.336317750   |
| 317087:6738 | 05/28/18 23:14:11 | 738  | 738  | 252096735.363949090 | 243202203.144807458 |
| 317089:6738 | 05/29/18 04:46:51 | 999  | 999  | 220226757.321498990 | 212905926.220931590 |
| 317182:6741 | 05/30/18 09:15:46 | 1374 | 1374 | 421193241.529802978 | 406628819.642406821 |
| 317212:6744 | 05/31/18 02:42:17 | 139  | 139  | 53920867.992212199  | 51172810.638354510  |
| 317213:6744 | 05/31/18 03:40:05 | 375  | 375  | 130331447.054431841 | 125490000.373141795 |
| 317279:6747 | 05/31/18 17:11:10 | 466  | 466  | 68311782.680518165  | 65891594.341587238  |
| 317291:6749 | 06/01/18 02:53:28 | 803  | 803  | 286718983.682904303 | 277695512.990682781 |
| 317292:6749 | 06/01/18 08:08:05 | 330  | 330  | 87647374.882725999  | 85007136.459486991  |
| 317297:6749 | 06/01/18 11:34:35 | 697  | 697  | 127414941.892904863 | 123799397.679208308 |
| 317319:6751 | 06/01/18 19:42:33 | 136  | 136  | 55459482.838055275  | 52249349.217593923  |
| 317320:6751 | 06/01/18 20:37:54 | 1824 | 1824 | 478558107.335333407 | 462424520.438594759 |
| 317338:6752 | 06/02/18 10:48:26 | 40   | 40   | 15042884.495137846  | 13631195.455967806  |
| 317339:6752 | 06/02/18 11:06:14 | 165  | 165  | 68754006.877629831  | 66045924.319767676  |
| 317340:6752 | 06/02/18 12:17:48 | 417  | 417  | 147455838.272189260 | 140597437.599557102 |
| 317382:6755 | 06/03/18 16:34:21 | 70   | 70   | 27360876.307221986  | 24139661.509549409  |
| 317383:6755 | 06/03/18 17:05:19 | 58   | 58   | 23899689.015562024  | 22451450.796823934  |
| 317391:6757 | 06/04/18 03:21:59 | 8    | 8    | 3496548.267331330   | 2717313.796356796   |
| 317392:6757 | 06/04/18 03:27:44 | 1898 | 1898 | 505359347.639501095 | 490659735.246745646 |
| 317434:6759 | 06/04/18 22:48:32 | 210  | 210  | 81433275.815403178  | 78224511.451918155  |
| 317435:6759 | 06/05/18 00:15:36 | 1396 | 1396 | 374091933.968894064 | 360615502.513052821 |
| 317438:6759 | 06/05/18 09:20:20 | 307  | 307  | 51747091.350255013  | 49709793.306288488  |
| 317475:6761 | 06/05/18 18:13:47 | 68   | 68   | 27077772.052113023  | 25761373.804558966  |
| 317478:6761 | 06/05/18 18:47:21 | 23   | 23   | 8476481.824367708   | 7937305.209120202   |
| 317484:6761 | 06/05/18 19:51:18 | 523  | 523  | 165746311.124104261 | 160357101.107341081 |
| 317488:6761 | 06/05/18 23:26:30 | 844  | 844  | 186916937.303197235 | 181128943.934454083 |
| 317527:6763 | 06/06/18 22:52:12 | 1447 | 1447 | 466680818.003432989 | 452102222.173022389 |
| 317591:6768 | 06/08/18 07:07:54 | 292  | 292  | 115252826.377265424 | 111117504.101787210 |
| 317626:6770 | 06/08/18 20:45:30 | 2005 | 2005 | 546291028.991020918 | 528942858.064449728 |
| 317640:6772 | 06/09/18 13:47:48 | 796  | 796  | 270183998.511388242 | 261181149.981459409 |
| 317641:6772 | 06/09/18 19:02:09 | 1390 | 1390 | 276437381.396712899 | 268316146.844670683 |
| 317648:6773 | 06/10/18 06:27:56 | 92   | 92   | 36314129.234036952  | 33882197.848896161  |
| 317649:6773 | 06/10/18 07:08:12 | 619  | 619  | 199896396.605768085 | 193212899.866396278 |
| 317650:6773 | 06/10/18 11:10:27 | 1304 | 1304 | 264312622.553098768 | 255997533.866707623 |
| 317661:6774 | 06/10/18 21:56:59 | 1222 | 1222 | 387537581.953213930 | 375653568.585787475 |
| 317663:6774 | 06/11/18 06:27:15 | 858  | 858  | 157243448.493586689 | 153301914.508603245 |
| 317683:6776 | 06/11/18 16:18:33 | 320  | 320  | 122369111.730160519 | 117852703.811858386 |
| 317696:6778 | 06/12/18 00:00:42 | 645  | 645  | 237878016.752894670 | 228788626.047269076 |
| 318733:6850 | 06/26/18 22:28:18 | 33   | 33   | 2986112.498891388   | 2792261.079409292   |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 13680176.992679473  | 13229261.289870664  |
| 318872:6860 | 06/28/18 15:50:31 | 271  | 271  | 94888121.228001058  | 91855388.477789670  |
| 318874:6860 | 06/28/18 17:39:38 | 316  | 316  | 102970811.520473614 | 99566083.760025159  |
| 318876:6860 | 06/28/18 19:45:23 | 160  | 160  | 48736407.604584247  | 46587403.225886442  |
| 318877:6860 | 06/28/18 20:49:22 | 615  | 615  | 165062573.370540619 | 160549989.713436127 |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 16847324.027436458  | 16372093.675113166  |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 24    | 45   | 26430 | 26430 | 7402629431.955564499 | 7149590626.457053185 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
