#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 317080:6737 | 05/28/18 20:40:32 | 26   | 26   | 7886039.004373662   | 7430569.780033597   |
| 317087:6738 | 05/28/18 23:14:12 | 738  | 738  | 242760139.728635877 | 234153917.228760570 |
| 317089:6738 | 05/29/18 04:46:52 | 999  | 999  | 211761478.230368078 | 204729731.917858005 |
| 317182:6741 | 05/30/18 09:15:47 | 1374 | 1374 | 405015792.422728002 | 391006210.839904606 |
| 317212:6744 | 05/31/18 02:42:18 | 139  | 139  | 51906057.260354511  | 49255412.305473872  |
| 317213:6744 | 05/31/18 03:40:05 | 375  | 375  | 125352888.320246667 | 120693741.730246201 |
| 317279:6747 | 05/31/18 17:11:11 | 466  | 466  | 66614006.007351741  | 64332082.456433073  |
| 317291:6749 | 06/01/18 02:53:28 | 803  | 803  | 275933730.455238819 | 267213923.525535345 |
| 317292:6749 | 06/01/18 08:08:06 | 330  | 330  | 84205611.340711668  | 81673631.831296861  |
| 317297:6749 | 06/01/18 11:34:35 | 697  | 697  | 122303041.710352555 | 118834733.523476675 |
| 317319:6751 | 06/01/18 19:42:34 | 136  | 136  | 53465872.794892736  | 50383271.226843297  |
| 317320:6751 | 06/01/18 20:37:54 | 1824 | 1824 | 460046817.393054247 | 444545058.403773546 |
| 317338:6752 | 06/02/18 10:48:26 | 40   | 40   | 14496823.290949754  | 13101238.930049272  |
| 317339:6752 | 06/02/18 11:06:15 | 165  | 165  | 66256994.626740657  | 63630403.402159706  |
| 317340:6752 | 06/02/18 12:17:49 | 417  | 417  | 141812295.322087616 | 135204486.481161028 |
| 317382:6755 | 06/03/18 16:34:21 | 70   | 70   | 26365091.242125861  | 23254901.384569246  |
| 317383:6755 | 06/03/18 17:05:19 | 58   | 58   | 23037928.322622512  | 21649579.260909297  |
| 317391:6757 | 06/04/18 03:22:00 | 8    | 8    | 3367516.663688570   | 2627410.655319768   |
| 317392:6757 | 06/04/18 03:27:45 | 1898 | 1898 | 485771796.974947512 | 471633899.481732428 |
| 317434:6759 | 06/04/18 22:48:33 | 210  | 210  | 78621608.245905697  | 75522616.543636426  |
| 317435:6759 | 06/05/18 00:15:36 | 1396 | 1396 | 360183419.512149751 | 347196300.659317672 |
| 317438:6759 | 06/05/18 09:20:21 | 307  | 307  | 49730076.723110363  | 47770572.536068268  |
| 317475:6761 | 06/05/18 18:13:48 | 68   | 68   | 26040794.380946387  | 24777065.641954795  |
| 317478:6761 | 06/05/18 18:47:22 | 23   | 23   | 8147720.763746576   | 7610915.350023906   |
| 317484:6761 | 06/05/18 19:51:18 | 523  | 523  | 159252708.618134558 | 154115634.274745166 |
| 317488:6761 | 06/05/18 23:26:32 | 844  | 844  | 179418804.885630280 | 173890648.558512926 |
| 317527:6763 | 06/06/18 22:52:13 | 1447 | 1447 | 448252240.711404622 | 434267761.504597664 |
| 317591:6768 | 06/08/18 07:07:55 | 292  | 292  | 110950375.666846544 | 106962125.179601476 |
| 317626:6770 | 06/08/18 20:45:31 | 2005 | 2005 | 524628190.477949917 | 507957827.098736048 |
| 317640:6772 | 06/09/18 13:47:49 | 796  | 796  | 259542426.847123057 | 250898825.853577405 |
| 317641:6772 | 06/09/18 19:02:10 | 1390 | 1390 | 265107668.586823553 | 257334706.703080297 |
| 317648:6773 | 06/10/18 06:27:57 | 92   | 92   | 34919403.530422471  | 32582446.021779966  |
| 317649:6773 | 06/10/18 07:08:13 | 619  | 619  | 191954028.203875840 | 185577912.101112604 |
| 317650:6773 | 06/10/18 11:10:27 | 1304 | 1304 | 253526362.999175370 | 245569587.331601679 |
| 317661:6774 | 06/10/18 21:57:00 | 1222 | 1222 | 371817721.004594982 | 360408712.906247497 |
| 317663:6774 | 06/11/18 06:27:15 | 858  | 858  | 150682489.370070547 | 146907101.652237147 |
| 317683:6776 | 06/11/18 16:18:33 | 320  | 320  | 117535559.350944638 | 113188812.782109872 |
| 317696:6778 | 06/12/18 00:00:43 | 645  | 645  | 228534721.420448989 | 219814423.308387846 |
| 318733:6850 | 06/26/18 22:28:18 | 33   | 33   | 2877056.189530748   | 2690376.163778068   |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 13258133.405221671  | 12822714.443508171  |
| 318872:6860 | 06/28/18 15:50:31 | 271  | 271  | 90808851.299247146  | 87901766.721496254  |
| 318874:6860 | 06/28/18 17:39:39 | 316  | 316  | 98133252.618133917  | 94917432.238479137  |
| 318876:6860 | 06/28/18 19:45:23 | 160  | 160  | 46304416.230081849  | 44263059.870153666  |
| 318877:6860 | 06/28/18 20:49:22 | 615  | 615  | 155978080.639368296 | 151711507.905005991 |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 16224535.375534762  | 15766860.385976434  |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 24    | 45   | 26430 | 26430 | 7110790568.167894363 | 6867781918.101264000 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
