#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 320673:7005 | 08/01/18 02:33:01 | 867  | 867  | 65886258.184923999  | 64592146.478996143  |
| 320674:7005 | 08/01/18 08:11:46 | 599  | 599  | 34307291.724945143  | 33749177.024333350  |
| 320688:7006 | 08/01/18 15:24:06 | 599  | 599  | 163460544.996269584 | 158022104.452950567 |
| 320712:7008 | 08/02/18 02:45:01 | 204  | 204  | 71961798.483295754  | 69580333.273548394  |
| 320757:7013 | 08/02/18 14:37:56 | 332  | 332  | 120887148.005390659 | 116684511.683600515 |
| 320804:7017 | 08/03/18 07:27:51 | 1225 | 1225 | 330169852.900745690 | 319035301.523155630 |
| 320807:7017 | 08/03/18 15:28:46 | 2    | 2    | 377820.604925421    | 348395.368929697    |
| 320809:7017 | 08/03/18 15:43:13 | 716  | 716  | 109017319.973332927 | 106231066.901812747 |
| 320821:7018 | 08/03/18 23:57:32 | 181  | 181  | 62972025.453503892  | 60433374.668374777  |
| 320822:7018 | 08/04/18 01:09:16 | 522  | 522  | 154771050.759872615 | 149815328.919919938 |
| 320823:7018 | 08/04/18 04:34:31 | 360  | 360  | 82833703.238986775  | 80025689.040213078  |
| 320824:7018 | 08/04/18 06:55:49 | 1051 | 1051 | 168366963.347217828 | 164020607.432389289 |
| 320838:7020 | 08/04/18 17:31:12 | 263  | 263  | 96206942.867576733  | 92366779.323472694  |
| 320840:7020 | 08/04/18 19:20:14 | 466  | 466  | 145327556.701241165 | 139844677.955665469 |
| 320841:7020 | 08/04/18 22:26:03 | 205  | 205  | 52347911.738881283  | 50468420.047415748  |
| 320853:7024 | 08/05/18 06:48:20 | 327  | 327  | 121670755.126107544 | 118066391.878934264 |
| 320854:7024 | 08/05/18 08:59:06 | 124  | 124  | 41083138.050869510  | 39645198.872358091  |
| 320855:7024 | 08/05/18 09:50:43 | 565  | 565  | 151992267.802256048 | 146560086.153203726 |
| 320856:7024 | 08/05/18 13:36:28 | 159  | 159  | 34598946.943781793  | 33490997.432001583  |
| 320857:7024 | 08/05/18 14:39:57 | 272  | 272  | 54740676.963615939  | 52860041.679128394  |
| 320858:7024 | 08/05/18 16:27:33 | 230  | 230  | 39032636.162738353  | 37521219.349381745  |
| 320859:7024 | 08/05/18 18:00:16 | 40   | 40   | 5145834.665729946   | 4926686.567603274   |
| 320887:7026 | 08/05/18 22:38:34 | 272  | 272  | 107454194.647778362 | 104362438.706598595 |
| 320888:7026 | 08/06/18 00:26:10 | 123  | 123  | 42497113.660699785  | 40889051.004624501  |
| 320916:7031 | 08/06/18 09:12:39 | 24   | 24   | 7336276.236776692   | 6635054.689049782   |
| 320917:7031 | 08/06/18 09:25:17 | 1925 | 1925 | 492549199.799376905 | 477804517.870412052 |
| 320920:7031 | 08/06/18 21:56:15 | 178  | 178  | 24669321.448179189  | 24013498.016916793  |
| 320933:7033 | 08/07/18 03:29:36 | 171  | 171  | 54125958.814794183  | 51966170.682257153  |
| 320934:7033 | 08/07/18 04:38:31 | 824  | 824  | 217000788.933006793 | 210461750.050024420 |
| 320936:7033 | 08/07/18 10:01:22 | 395  | 395  | 80609067.812336177  | 78320294.019514993  |
| 320941:7033 | 08/07/18 12:39:42 | 93   | 93   | 16178968.606354352  | 15638136.091827760  |
| 320980:7035 | 08/07/18 15:52:40 | 99   | 99   | 39561989.870815903  | 38407873.291641951  |
| 320995:7036 | 08/07/18 19:28:55 | 175  | 175  | 26906905.157212853  | 25796132.110021532  |
| 320996:7036 | 08/07/18 20:42:30 | 376  | 376  | 50076867.314292781  | 48288003.724149443  |
| 321004:7037 | 08/08/18 01:47:42 | 142  | 142  | 48647590.212812714  | 46906845.108621903  |
| 321005:7037 | 08/08/18 02:48:15 | 57   | 57   | 19956680.404801104  | 19195962.348371323  |
| 321006:7037 | 08/08/18 03:15:04 | 162  | 162  | 54086487.736052521  | 51704609.051920913  |
| 321007:7037 | 08/08/18 04:19:56 | 827  | 827  | 209249866.743454367 | 202764244.933133930 |
| 321009:7037 | 08/08/18 09:43:25 | 77   | 77   | 15125993.238212684  | 14732991.379889943  |
| 321010:7037 | 08/08/18 10:16:22 | 340  | 340  | 59404188.324577548  | 57206849.307083726  |
| 321011:7037 | 08/08/18 12:32:48 | 209  | 209  | 31247776.832772359  | 28948924.434273202  |
| 321012:7037 | 08/08/18 13:58:30 | 46   | 46   | 5253631.428748677   | 4974461.103906659   |
| 321051:7039 | 08/09/18 03:17:54 | 1099 | 1099 | 323181375.034128666 | 311579164.808212578 |
| 321055:7039 | 08/09/18 10:35:36 | 758  | 758  | 133484668.579415426 | 130195896.409047917 |
| 321067:7040 | 08/09/18 18:21:44 | 596  | 596  | 180759296.607159734 | 174644676.082875073 |
| 321068:7040 | 08/09/18 22:16:40 | 705  | 705  | 151088675.286410719 | 147137442.092620254 |
| 321069:7040 | 08/10/18 02:54:15 | 313  | 313  | 51305665.629917689  | 49557953.023755394  |
| 321119:7042 | 08/10/18 15:12:52 | 168  | 168  | 62143105.398946524  | 58668900.047914416  |
| 321121:7042 | 08/10/18 16:22:06 | 45   | 45   | 16635765.530818924  | 15831596.858442076  |
| 321122:7042 | 08/10/18 16:42:10 | 385  | 385  | 125163199.856706426 | 120347054.369257718 |
| 321124:7042 | 08/10/18 19:20:25 | 814  | 814  | 191898262.492429614 | 185308786.113981903 |
| 321126:7042 | 08/11/18 01:03:45 | 493  | 493  | 81502902.148478627  | 78957726.577084154  |
| 321134:7043 | 08/11/18 08:39:55 | 38   | 38   | 8416372.491792051   | 8164377.491777051   |
| 321138:7043 | 08/11/18 09:33:42 | 723  | 723  | 146697293.256499887 | 141978286.010667861 |
| 321140:7043 | 08/11/18 14:25:01 | 798  | 798  | 119694312.712433934 | 116950317.998592466 |
| 321149:7045 | 08/11/18 22:25:55 | 1709 | 1709 | 449313878.446643412 | 436275151.769130826 |
| 321162:7047 | 08/12/18 14:33:33 | 34   | 34   | 11982507.459558383  | 11187174.047501639  |
| 321164:7047 | 08/12/18 14:50:40 | 65   | 65   | 27446900.924596716  | 26298411.734202493  |
| 321165:7047 | 08/12/18 15:19:23 | 2    | 2    | 806769.491603804    | 389900.963785956    |
| 321166:7047 | 08/12/18 15:42:32 | 10   | 10   | 3997497.107213986   | 3380966.664223366   |
| 321167:7047 | 08/12/18 15:51:01 | 923  | 923  | 284349538.968881130 | 275676040.853351593 |
| 321177:7048 | 08/13/18 03:40:20 | 438  | 438  | 165539235.664255977 | 160775535.555748254 |
| 321178:7048 | 08/13/18 06:57:22 | 74   | 74   | 23596284.922522478  | 23034674.270274270  |
| 321218:7052 | 08/13/18 12:13:49 | 899  | 899  | 292543274.086717129 | 282502603.106122792 |
| 321219:7052 | 08/13/18 18:10:44 | 930  | 930  | 186212148.619352669 | 181190276.435268044 |
| 321221:7052 | 08/14/18 00:13:21 | 40   | 40   | 6038631.728706579   | 5906224.449661143   |
| 321230:7053 | 08/14/18 03:33:41 | 81   | 81   | 32086696.112260703  | 22670579.751644913  |
| 321231:7053 | 08/14/18 04:09:24 | 58   | 58   | 24271601.032320879  | 14523788.059464972  |
| 321232:7053 | 08/14/18 04:36:11 | 24   | 24   | 9687359.498831714   | 6057973.096658435   |
| 321233:7053 | 08/14/18 04:47:55 | 727  | 727  | 238950289.906773239 | 231854178.556620061 |
| 321262:7054 | 08/14/18 12:50:07 | 4    | 4    | 1737804.296196350   | 1669136.650208603   |
| 321283:7055 | 08/14/18 15:05:56 | 309  | 309  | 124577387.087383285 | 119781940.863704175 |
| 321294:7055 | 08/14/18 17:35:51 | 62   | 62   | 22067690.383639831  | 20610643.883555911  |
| 321295:7055 | 08/14/18 18:01:35 | 749  | 749  | 212610004.668907970 | 205345851.701668322 |
| 321296:7055 | 08/14/18 22:55:44 | 67   | 67   | 14840352.568421671  | 14262793.534736190  |
| 321305:7056 | 08/15/18 02:02:21 | 2630 | 2630 | 622400121.943054318 | 602418019.019796848 |
| 321310:7056 | 08/15/18 19:38:21 | 172  | 172  | 16842335.439543534  | 16487902.774362555  |
| 321311:7056 | 08/15/18 20:48:28 | 10   | 10   | 941656.801092823    | 473243.775851218    |
| 321312:7056 | 08/15/18 20:55:17 | 761  | 761  | 61529770.807420336  | 60265791.323315322  |
| 321313:7056 | 08/16/18 01:55:17 | 408  | 408  | 26959446.655113257  | 26586117.847812269  |
| 321393:7058 | 08/17/18 05:32:36 | 144  | 144  | 54186495.644509181  | 51952014.294838838  |
| 321396:7058 | 08/17/18 06:29:54 | 1468 | 1468 | 377918881.360176563 | 364648272.384339035 |
| 321397:7058 | 08/17/18 16:06:23 | 365  | 365  | 53675227.198840134  | 52262679.265539318  |
| 321414:7061 | 08/17/18 21:14:10 | 1242 | 1242 | 395051861.321434379 | 380804424.170901299 |
| 321415:7061 | 08/18/18 05:21:19 | 802  | 802  | 145798850.677931160 | 141782813.592707813 |
| 321431:7063 | 08/18/18 13:51:46 | 151  | 151  | 58347867.845401965  | 55908396.701377630  |
| 321432:7063 | 08/18/18 14:54:29 | 46   | 46   | 17797245.453688834  | 16578098.947102785  |
| 321433:7063 | 08/18/18 15:15:09 | 124  | 124  | 45245363.199124530  | 42731868.439349405  |
| 321434:7063 | 08/18/18 16:07:00 | 637  | 637  | 186428117.098030359 | 180883529.847167253 |
| 321436:7063 | 08/18/18 20:20:52 | 710  | 710  | 142080158.496841460 | 138442511.809967816 |
| 321457:7065 | 08/19/18 07:38:11 | 1843 | 1843 | 501552950.840841889 | 482764913.388033628 |
| 321461:7065 | 08/19/18 19:38:10 | 149  | 149  | 21566372.545350954  | 21013158.570236370  |
| 321475:7069 | 08/20/18 01:30:43 | 2035 | 2035 | 490890348.650246024 | 474054871.083774745 |
| 321710:7078 | 08/23/18 13:20:08 | 52   | 52   | 18046407.176031206  | 17235540.356340207  |
| 321712:7078 | 08/23/18 13:42:14 | 260  | 260  | 92737212.927922398  | 89091154.537626207  |
| 321730:7080 | 08/23/18 21:10:55 | 281  | 281  | 110531954.727460325 | 103037215.338105127 |
| 321732:7080 | 08/23/18 23:11:27 | 1441 | 1441 | 368141678.835041344 | 354864506.082156062 |
| 321735:7080 | 08/24/18 08:33:27 | 146  | 146  | 24345311.277369939  | 23661371.887834996  |
| 321755:7083 | 08/24/18 13:48:50 | 687  | 687  | 221917602.422757566 | 214656712.469520599 |
| 321758:7083 | 08/24/18 18:21:07 | 184  | 184  | 46521748.215256996  | 45191829.016015999  |
| 321759:7083 | 08/24/18 19:36:44 | 10   | 10   | 2331113.060750949   | 2106981.835229069   |
| 321760:7083 | 08/24/18 19:44:52 | 855  | 855  | 158757050.603071690 | 154093321.738154173 |
| 321773:7087 | 08/25/18 12:11:58 | 75   | 75   | 28902735.772587966  | 27253786.378504455  |
| 321774:7087 | 08/25/18 12:43:49 | 131  | 131  | 51326065.764632434  | 48823030.833815947  |
| 321775:7087 | 08/25/18 13:36:11 | 47   | 47   | 17765875.577614091  | 17001141.159376804  |
| 321776:7087 | 08/25/18 13:57:38 | 41   | 41   | 15026135.236776374  | 14560506.204548614  |
| 321777:7087 | 08/25/18 14:14:59 | 279  | 279  | 93079566.914324179  | 86436677.897677779  |
| 321778:7087 | 08/25/18 16:04:44 | 134  | 134  | 39465327.498244181  | 38133264.616359420  |
| 321780:7087 | 08/25/18 17:04:57 | 541  | 541  | 129691785.233616054 | 125892364.588353187 |
| 321781:7087 | 08/25/18 20:36:14 | 676  | 676  | 116081991.688098148 | 111848328.976219311 |
