#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 355862:8016 | 07/19/22 18:12:03 | 13   | 13   | 792457.936351891    | 626192.872357047    |
| 355863:8016 | 07/19/22 18:19:43 | 14   | 14   | 840240.120156224    | 737607.595125206    |
| 355870:8017 | 07/19/22 23:02:43 | 36   | 36   | 1749608.392366863   | 1564059.844445625   |
| 355871:8017 | 07/19/22 23:17:54 | 5    | 5    | 167393.245906933    | 148624.034712361    |
| 355872:8017 | 07/19/22 23:24:45 | 1197 | 1197 | 77862176.274577186  | 69670631.119239599  |
| 355892:8018 | 07/20/22 10:25:02 | 184  | 184  | 11272113.973468564  | 10783757.451754566  |
| 355912:8019 | 07/20/22 14:18:53 | 158  | 158  | 10012808.130836250  | 9000125.923953792   |
| 355913:8019 | 07/20/22 15:22:09 | 106  | 106  | 6321537.797759512   | 5841850.587211050   |
| 355921:8020 | 07/20/22 18:50:02 | 403  | 403  | 24471964.984143939  | 22698629.767414253  |
| 355933:8022 | 07/21/22 02:07:39 | 370  | 370  | 694896.455843207    | 690376.531724583    |
| 355942:8023 | 07/21/22 06:46:45 | 187  | 187  | 1449025.658413247   | 1366195.793185613   |
| 355988:8027 | 07/21/22 23:03:32 | 44   | 44   | 3434926.142268976   | 2782140.432419013   |
| 355989:8027 | 07/21/22 23:23:47 | 24   | 24   | 2277843.896909147   | 1268137.782796171   |
| 355998:8027 | 07/22/22 01:35:51 | 35   | 35   | 3075828.954035050   | 2649536.834735011   |
| 355999:8027 | 07/22/22 01:51:17 | 9    | 9    | 774760.877629291    | 646332.238095558    |
| 356004:8027 | 07/22/22 04:04:14 | 19   | 19   | 1415493.953052747   | 1358212.866912756   |
| 356005:8027 | 07/22/22 04:14:46 | 186  | 186  | 12561127.111078681  | 12097352.002429822  |
| 356043:8030 | 07/22/22 18:00:07 | 65   | 65   | 6828245.874054575   | 5587473.649377341   |
| 356071:8033 | 07/23/22 12:43:15 | 155  | 155  | 17433971.678032156  | 15297014.888997249  |
| 356074:8033 | 07/23/22 15:21:04 | 26   | 26   | 3176619.313669784   | 3004375.600401152   |
| 356075:8033 | 07/23/22 15:57:05 | 125  | 125  | 15143257.071002392  | 13918013.568051780  |
| 356076:8033 | 07/23/22 16:56:57 | 152  | 152  | 18658814.482458953  | 17147607.909033496  |
| 356077:8033 | 07/23/22 17:58:32 | 472  | 472  | 51936093.739945181  | 49782857.231334321  |
| 356135:8043 | 07/25/22 11:06:59 | 26   | 26   | 2884945.554832179   | 2624847.510578055   |
| 356309:8057 | 07/27/22 17:56:02 | 124  | 124  | 11790413.412431704  | 10947991.975163680  |
| 356316:8058 | 07/27/22 21:40:02 | 141  | 141  | 9481466.327165412   | 9289954.581106912   |
| 356322:8059 | 07/28/22 01:35:06 | 19   | 19   | 2279702.322282056   | 2064845.756279108   |
| 356323:8059 | 07/28/22 01:45:01 | 649  | 649  | 75836396.541162357  | 72084168.859629214  |
| 356371:8062 | 07/28/22 16:46:34 | 16   | 16   | 1844580.793940792   | 1552839.720851334   |
| 356375:8063 | 07/28/22 19:04:41 | 68   | 68   | 8817905.240143292   | 6539210.646573382   |
| 356378:8063 | 07/28/22 20:10:25 | 295  | 295  | 43237585.058299601  | 41584402.398691483  |
| 356381:8063 | 07/28/22 22:10:47 | 1193 | 1193 | 133362630.242263928 | 131360426.659749418 |
| 356383:8063 | 07/29/22 06:04:41 | 33   | 33   | 2908269.300124911   | 2867925.397900480   |
| 356385:8063 | 07/29/22 06:26:25 | 30   | 30   | 2650307.683047091   | 2467943.302411533   |
| 356386:8063 | 07/29/22 06:41:02 | 122  | 122  | 8822512.719460251   | 8702745.605780439   |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+------+------+---------------------+---------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)   | totrecorded(/ub)    |
+-------+------+------+------+---------------------+---------------------+
| 16    | 35   | 6701 | 6701 | 576267921.259114265 | 540754408.940422297 |
+-------+------+------+------+---------------------+---------------------+
#Check JSON:
#(run,ls) in json but not in results: []
