#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 357538:8132 | 08/15/22 20:37:19 | 25   | 25   | 6593376.586281972   | 5419413.179885020   |
| 357542:8132 | 08/15/22 20:57:04 | 249  | 249  | 91326104.479218930  | 83355962.722855583  |
| 357550:8132 | 08/15/22 22:37:57 | 36   | 36   | 12845617.260588659  | 11725286.712600369  |
| 357610:8136 | 08/17/22 05:34:23 | 191  | 191  | 47949894.021921791  | 45113719.229367234  |
| 357611:8136 | 08/17/22 06:50:12 | 408  | 408  | 114384238.882096738 | 110069208.555395290 |
| 357612:8136 | 08/17/22 09:32:56 | 725  | 725  | 159539243.815129936 | 154004620.779617131 |
| 357613:8136 | 08/17/22 14:22:26 | 256  | 256  | 46660006.779151842  | 45516370.265632786  |
| 357688:8142 | 08/19/22 01:18:59 | 380  | 380  | 139184359.483731866 | 128937080.530362964 |
| 357696:8143 | 08/19/22 06:54:55 | 352  | 352  | 130067290.435109138 | 122713109.393476725 |
| 357697:8143 | 08/19/22 09:24:42 | 39   | 39   | 13919096.835079441  | 12615432.379643118  |
| 357698:8143 | 08/19/22 09:56:20 | 58   | 58   | 19844755.732243251  | 18510657.694391582  |
| 357699:8143 | 08/19/22 10:23:21 | 29   | 29   | 9601161.943571802   | 9171001.934258442   |
| 357700:8143 | 08/19/22 10:36:51 | 756  | 756  | 213736570.503543884 | 208161604.796236873 |
| 357701:8143 | 08/19/22 15:34:11 | 310  | 310  | 70298098.010320261  | 68960112.220352545  |
| 357705:8143 | 08/19/22 18:48:46 | 200  | 200  | 39532308.935066298  | 38450728.349418536  |
| 357706:8143 | 08/19/22 20:11:20 | 161  | 161  | 27413110.813304987  | 26815885.133770794  |
| 357720:8144 | 08/19/22 23:22:19 | 61   | 61   | 19033628.746461183  | 17747368.317946676  |
| 357732:8146 | 08/20/22 10:01:56 | 128  | 128  | 46757506.035411634  | 40799468.967517860  |
| 357734:8146 | 08/20/22 11:04:44 | 300  | 300  | 117044545.837274417 | 108465160.053833008 |
| 357735:8146 | 08/20/22 13:02:37 | 1123 | 1123 | 329174419.017723203 | 317745060.485420644 |
| 357754:8147 | 08/20/22 22:52:35 | 117  | 117  | 37817466.271916531  | 33259886.609060213  |
| 357756:8147 | 08/20/22 23:44:38 | 424  | 424  | 157397543.335171938 | 147894404.265636474 |
| 357757:8147 | 08/21/22 02:31:13 | 7    | 7    | 2349566.844278892   | 2110934.828038052   |
| 357758:8147 | 08/21/22 02:37:20 | 81   | 81   | 26514564.406776216  | 25170244.028509792  |
| 357759:8147 | 08/21/22 03:12:43 | 68   | 68   | 21368263.371632583  | 20434598.727622978  |
| 357766:8148 | 08/21/22 07:27:46 | 115  | 115  | 41358883.019128680  | 36685633.972069077  |
| 357777:8148 | 08/21/22 14:05:36 | 85   | 85   | 23829366.253657605  | 23178791.395875730  |
| 357778:8148 | 08/21/22 14:43:18 | 355  | 355  | 90389388.584347323  | 86924521.036419347  |
| 357779:8148 | 08/21/22 17:05:47 | 74   | 74   | 17302298.684959460  | 16779504.455170326  |
| 357781:8148 | 08/21/22 17:44:36 | 10   | 10   | 2241842.102498303   | 2078629.686490832   |
| 357802:8149 | 08/21/22 20:59:37 | 163  | 163  | 57091933.895486154  | 52879658.851766236  |
| 357803:8149 | 08/21/22 22:05:02 | 153  | 153  | 55703876.523715973  | 52558136.303941183  |
| 357804:8149 | 08/21/22 23:06:52 | 23   | 23   | 8399467.136220122   | 7676498.977726727   |
| 357805:8149 | 08/21/22 23:17:38 | 88   | 88   | 31252656.428699184  | 29522769.432085410  |
| 357806:8149 | 08/21/22 23:53:44 | 56   | 56   | 16791996.244825866  | 15570059.804107465  |
| 357807:8149 | 08/22/22 00:20:46 | 242  | 242  | 80859600.357925594  | 77760586.110987321  |
| 357808:8149 | 08/22/22 01:57:54 | 15   | 15   | 4659190.440667237   | 4306083.915416177   |
| 357809:8149 | 08/22/22 02:06:38 | 41   | 41   | 12705891.826766469  | 12018093.327567147  |
| 357812:8149 | 08/22/22 02:23:37 | 50   | 50   | 15217815.054731319  | 14521097.756409947  |
| 357813:8149 | 08/22/22 02:44:13 | 292  | 292  | 82912991.690823898  | 79167041.492085174  |
| 357814:8149 | 08/22/22 04:39:13 | 212  | 212  | 54551167.767482147  | 50887256.881501593  |
| 357815:8149 | 08/22/22 06:04:22 | 944  | 944  | 199162842.266438961 | 193992442.143232852 |
| 357898:8151 | 08/23/22 02:26:33 | 312  | 312  | 112016133.395458594 | 105071805.232133761 |
| 357899:8151 | 08/23/22 04:29:12 | 637  | 637  | 195384860.289352387 | 186117035.023289949 |
| 357900:8151 | 08/23/22 08:38:20 | 510  | 510  | 122135897.661303595 | 116595935.049676791 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 10    | 45   | 10861 | 10861 | 3124320838.007496357 | 2967458901.008803844 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
