#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 359569:8210 | 09/29/22 14:40:17 | 82   | 82   | 1319007.952256102   | 1313403.640083893   |
| 359571:8210 | 09/29/22 15:29:19 | 151  | 151  | 2374630.912938768   | 2348456.278119152   |
| 359575:8210 | 09/29/22 16:41:25 | 83   | 83   | 1285421.873253045   | 1265173.580023322   |
| 359595:8211 | 09/30/22 00:53:50 | 273  | 273  | 6373334.856280719   | 6247711.339254555   |
| 359597:8211 | 09/30/22 02:45:13 | 94   | 94   | 2159208.029243574   | 2132121.301164420   |
| 359602:8212 | 09/30/22 05:24:24 | 73   | 73   | 5801352.197202276   | 5432577.970819860   |
| 359609:8212 | 09/30/22 08:00:32 | 24   | 24   | 1964625.390144513   | 1672407.394010944   |
| 359612:8212 | 09/30/22 08:31:57 | 12   | 12   | 947834.934830640    | 759440.004747671    |
| 359661:8214 | 09/30/22 14:54:53 | 81   | 81   | 9547366.845882531   | 9069424.645874048   |
| 359685:8216 | 09/30/22 22:05:59 | 132  | 132  | 21002926.291592218  | 20796878.069856506  |
| 359686:8216 | 09/30/22 23:11:45 | 934  | 934  | 114490792.531774774 | 113620681.038151458 |
| 359691:8220 | 10/01/22 10:46:50 | 121  | 121  | 38273860.133267194  | 36556873.020735905  |
| 359693:8220 | 10/01/22 12:12:09 | 604  | 604  | 168139335.894912481 | 162173072.174611717 |
| 359694:8220 | 10/01/22 16:13:37 | 1080 | 1080 | 220390093.259938866 | 215346916.778824329 |
| 359699:8221 | 10/02/22 02:39:50 | 1856 | 1856 | 421583249.546012163 | 408576166.266481042 |
| 359718:8222 | 10/02/22 20:52:32 | 366  | 366  | 125625023.079196960 | 120624956.777211800 |
| 359750:8223 | 10/03/22 11:38:36 | 135  | 135  | 49693604.698522002  | 47973843.600581780  |
| 359751:8223 | 10/03/22 13:00:20 | 991  | 991  | 316412644.589167297 | 303855748.341982126 |
| 359762:8225 | 10/03/22 23:15:14 | 223  | 223  | 83234417.161811769  | 79604110.806673929  |
| 359763:8225 | 10/04/22 00:48:18 | 458  | 458  | 156282388.882693112 | 150338602.547074020 |
| 359764:8225 | 10/04/22 04:05:26 | 1082 | 1082 | 263143653.118616909 | 254408218.377132893 |
| 359776:8226 | 10/04/22 13:35:49 | 329  | 329  | 211091.964328242    | 210229.127457237    |
| 359806:8228 | 10/04/22 22:42:28 | 368  | 368  | 149408707.671417385 | 142621495.674620867 |
| 359808:8228 | 10/05/22 01:14:08 | 46   | 46   | 17719072.503046729  | 16455101.453029420  |
| 359809:8228 | 10/05/22 01:32:58 | 43   | 43   | 16190235.197758812  | 15207282.526931066  |
| 359810:8228 | 10/05/22 01:51:08 | 182  | 182  | 64924994.677890852  | 61839284.742027655  |
| 359812:8228 | 10/05/22 03:09:00 | 226  | 226  | 73467301.136351421  | 70240582.117229387  |
| 359814:8228 | 10/05/22 04:49:10 | 366  | 366  | 104234975.108001649 | 100484772.070708334 |
| 359870:8230 | 10/05/22 19:06:37 | 6    | 6    | 2414264.474335569   | 2218061.035397679   |
| 359871:8230 | 10/05/22 19:13:55 | 228  | 228  | 103901065.462211818 | 97958073.298213467  |
| 359887:8232 | 10/06/22 05:08:20 | 473  | 473  | 313669.848518307    | 312441.806927612    |
| 359899:8233 | 10/06/22 10:25:21 | 286  | 286  | 8307218.556369799   | 7732093.473147529   |
| 359903:8233 | 10/06/22 12:28:03 | 12   | 12   | 315917.957429892    | 301667.530378529    |
| 359998:8236 | 10/07/22 16:18:31 | 1891 | 1891 | 597604676.672228336 | 575817676.806793690 |
| 360017:8238 | 10/08/22 11:21:48 | 40   | 40   | 12133141.212371754  | 11509433.396038469  |
| 360019:8238 | 10/08/22 11:53:37 | 1487 | 1487 | 481756549.876580656 | 465555918.885125756 |
| 360075:8245 | 10/09/22 20:41:33 | 757  | 757  | 308286923.761196673 | 294996292.109583974 |
| 360090:8245 | 10/10/22 04:20:43 | 793  | 793  | 205439911.524519652 | 199082406.438594580 |
| 360116:8247 | 10/10/22 14:09:38 | 356  | 356  | 144223274.844502658 | 137741416.228549302 |
| 360125:8247 | 10/10/22 17:43:37 | 187  | 187  | 71127407.400186658  | 67838040.671294942  |
| 360126:8247 | 10/10/22 19:01:15 | 368  | 368  | 124430834.403010368 | 119319572.620959133 |
| 360127:8247 | 10/10/22 21:26:55 | 201  | 201  | 59941609.641609862  | 57739014.242974132  |
| 360128:8247 | 10/10/22 22:46:22 | 163  | 163  | 45383640.471498325  | 43967728.037764952  |
| 360130:8247 | 10/11/22 00:51:09 | 4    | 4    | 1023403.880821892   | 861481.348915680    |
| 360131:8247 | 10/11/22 00:56:13 | 378  | 378  | 89937745.576218337  | 87370717.298568368  |
| 360141:8248 | 10/11/22 05:31:36 | 751  | 751  | 303972432.127648175 | 289861705.919057250 |
| 360224:8253 | 10/12/22 01:08:53 | 217  | 217  | 83711960.203484967  | 77493950.922192842  |
| 360225:8253 | 10/12/22 02:42:17 | 355  | 355  | 147689431.651810467 | 137616834.968485355 |
| 360295:8260 | 10/13/22 02:45:03 | 1434 | 1434 | 538526190.849931002 | 516225429.112945735 |
| 360296:8260 | 10/13/22 12:07:36 | 519  | 519  | 136027219.057961673 | 131649125.024320707 |
| 360327:8263 | 10/14/22 00:26:23 | 352  | 352  | 138034397.683672428 | 131807125.546233967 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 23    | 51   | 21673 | 21673 | 6040704037.576452255 | 5806151738.387883186 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
