#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 360390:8267 | 10/14/22 20:29:39 | 71   | 71   | 27213612.656780306  | 26124683.007839330  |
| 360391:8267 | 10/14/22 21:01:37 | 4    | 4    | 1716141.892918251   | 1518743.619084441   |
| 360392:8267 | 10/14/22 21:10:16 | 61   | 61   | 25356813.351509016  | 23957241.660735916  |
| 360393:8267 | 10/14/22 21:36:29 | 124  | 124  | 52177631.994898222  | 48985636.866099857  |
| 360400:8269 | 10/15/22 02:47:39 | 80   | 80   | 24828348.244481329  | 23714825.602210667  |
| 360413:8272 | 10/15/22 09:30:38 | 90   | 90   | 37295904.953785002  | 35547348.186175264  |
| 360428:8273 | 10/15/22 13:03:02 | 74   | 74   | 29381282.209689412  | 27455929.286931083  |
| 360432:8273 | 10/15/22 13:53:32 | 28   | 28   | 11865408.725877512  | 11139026.833251873  |
| 360435:8273 | 10/15/22 14:15:34 | 48   | 48   | 19968837.569622938  | 18668999.974527359  |
| 360437:8273 | 10/15/22 14:45:40 | 40   | 40   | 16873562.708055917  | 16219057.414975788  |
| 360438:8273 | 10/15/22 15:05:14 | 6    | 6    | 2509526.317722796   | 2350540.961640399   |
| 360458:8274 | 10/15/22 20:24:36 | 184  | 184  | 68130151.580226332  | 64280677.047156118  |
| 360459:8274 | 10/15/22 21:47:03 | 1332 | 1332 | 474696724.540508687 | 455182587.920756578 |
| 360460:8274 | 10/16/22 06:28:58 | 1077 | 1077 | 239835273.846916676 | 232248838.437690794 |
| 360486:8276 | 10/16/22 17:01:39 | 278  | 278  | 114044111.256417915 | 107828934.650893152 |
| 360490:8276 | 10/16/22 19:58:50 | 1177 | 1177 | 381801624.509740889 | 364986921.931140006 |
| 360491:8276 | 10/17/22 03:43:58 | 176  | 176  | 41058394.392586425  | 39674829.853975758  |
| 360737:8289 | 10/19/22 10:35:46 | 18   | 18   | 864103.253605871    | 848257.036755033    |
| 360761:8293 | 10/19/22 15:02:58 | 157  | 157  | 9215753.417068277   | 9040480.645804385   |
| 360794:8295 | 10/19/22 23:57:32 | 677  | 677  | 278749913.993004084 | 265807247.111898780 |
| 360795:8295 | 10/20/22 04:25:12 | 395  | 395  | 148347163.472363353 | 142314078.709047496 |
| 360797:8295 | 10/20/22 10:44:41 | 5    | 5    | 1364345.862499405   | 1331782.053180648   |
| 360820:8297 | 10/20/22 13:48:59 | 885  | 885  | 363540030.707702398 | 345197319.452313721 |
| 360825:8297 | 10/20/22 20:18:00 | 357  | 357  | 118561009.709739536 | 113198387.975166947 |
| 360826:8297 | 10/20/22 22:40:05 | 117  | 117  | 35193935.532640234  | 33545050.757937554  |
| 360856:8299 | 10/21/22 11:12:55 | 56   | 56   | 3141093.585407217   | 3046684.365443249   |
| 360874:8301 | 10/21/22 16:54:00 | 52   | 52   | 3118038.479357410   | 3015739.496361243   |
| 360876:8301 | 10/21/22 17:32:24 | 341  | 341  | 21504259.626855955  | 20961668.363352694  |
| 360887:8302 | 10/21/22 22:37:33 | 122  | 122  | 45570706.617313661  | 42669328.961557746  |
| 360888:8302 | 10/21/22 23:28:39 | 289  | 289  | 127508243.112092778 | 121034558.998110056 |
| 360889:8302 | 10/22/22 01:26:51 | 23   | 23   | 10125069.290851137  | 8549120.729232838   |
| 360890:8302 | 10/22/22 01:43:25 | 504  | 504  | 196489578.637109131 | 188094872.107267231 |
| 360892:8302 | 10/22/22 05:12:51 | 296  | 296  | 95857832.665447369  | 92324484.247999862  |
| 360895:8302 | 10/22/22 07:34:19 | 700  | 700  | 180557543.749933392 | 175331545.233164489 |
| 360919:8304 | 10/22/22 16:02:11 | 796  | 796  | 337151071.861667037 | 320455647.855859339 |
| 360920:8304 | 10/22/22 21:13:18 | 4    | 4    | 1597802.673826460   | 1361330.714135957   |
| 360921:8304 | 10/22/22 21:17:35 | 218  | 218  | 82272680.982277751  | 78626577.483438507  |
| 360927:8305 | 10/23/22 01:07:11 | 1887 | 1887 | 683526418.793019891 | 653570576.392914295 |
| 360941:8306 | 10/23/22 15:40:28 | 72   | 72   | 26202596.524736006  | 24774095.560485106  |
| 360942:8306 | 10/23/22 16:14:08 | 344  | 344  | 148741878.365204364 | 140452648.294440717 |
| 360945:8306 | 10/23/22 18:45:57 | 91   | 91   | 39214998.316502631  | 37027296.790415168  |
| 360946:8306 | 10/23/22 19:27:46 | 364  | 364  | 147489584.032625645 | 140509218.223587960 |
| 360948:8306 | 10/23/22 22:02:16 | 119  | 119  | 42838873.114305466  | 41029673.771114573  |
| 360950:8306 | 10/23/22 22:53:44 | 716  | 716  | 217123984.188153505 | 208551052.620031178 |
| 360951:8306 | 10/24/22 03:37:03 | 190  | 190  | 45961027.687711477  | 44294341.488368750  |
| 360991:8307 | 10/24/22 10:26:00 | 230  | 230  | 27536143.468925983  | 26559006.350226369  |
| 360992:8307 | 10/24/22 11:58:16 | 99   | 99   | 10985449.253715739  | 10715993.399614360  |
| 361020:8309 | 10/24/22 17:05:24 | 397  | 397  | 26741650.822315615  | 25566229.307581060  |
| 361044:8311 | 10/25/22 00:03:59 | 125  | 125  | 48625967.087116010  | 45717847.655579090  |
| 361045:8311 | 10/25/22 00:55:10 | 945  | 945  | 393792985.885173202 | 374202713.099417627 |
| 361050:8311 | 10/25/22 07:24:54 | 10   | 10   | 3490902.581159413   | 3135027.840709300   |
| 361052:8311 | 10/25/22 07:34:36 | 65   | 65   | 21734933.314602494  | 20606208.964542367  |
| 361054:8311 | 10/25/22 08:06:43 | 461  | 461  | 136341685.242643803 | 130587943.051778272 |
| 361083:8312 | 10/25/22 14:24:52 | 54   | 54   | 7544231.562295591   | 7088489.971777559   |
| 361091:8313 | 10/25/22 16:40:42 | 381  | 381  | 50899230.354735844  | 49382578.975918733  |
| 361105:8314 | 10/25/22 23:35:51 | 408  | 408  | 147798786.877916485 | 140271038.194441259 |
| 361106:8314 | 10/26/22 02:21:10 | 31   | 31   | 11296438.070480116  | 10513598.914961100  |
| 361107:8314 | 10/26/22 02:35:30 | 156  | 156  | 57795900.616740391  | 54759989.066626035  |
| 361108:8314 | 10/26/22 03:38:10 | 6    | 6    | 2274179.541043926   | 2061991.960309959   |
| 361110:8314 | 10/26/22 03:43:42 | 197  | 197  | 68884368.093471706  | 64906896.081933081  |
| 361188:8315 | 10/26/22 18:31:47 | 141  | 141  | 60622642.550771460  | 54129123.951114021  |
| 361193:8315 | 10/26/22 19:27:43 | 29   | 29   | 12391055.234298104  | 10965603.147352863  |
| 361195:8315 | 10/26/22 19:41:33 | 20   | 20   | 8696332.457945623   | 7869449.788640262   |
| 361197:8315 | 10/26/22 19:58:35 | 2147 | 2147 | 733479008.961119652 | 677599669.936901927 |
| 361223:8316 | 10/27/22 13:21:52 | 695  | 695  | 294711132.078934729 | 270603821.284051657 |
| 361239:8317 | 10/27/22 20:30:03 | 1050 | 1050 | 439834464.318824947 | 420169975.566998065 |
| 361240:8317 | 10/28/22 03:22:51 | 1015 | 1015 | 300482565.586019814 | 289529036.329830050 |
| 361272:8319 | 10/28/22 12:59:35 | 125  | 125  | 52070028.502350040  | 49691618.189799629  |
| 361280:8319 | 10/28/22 13:56:59 | 267  | 267  | 115310631.583957165 | 109395166.083304137 |
| 361283:8319 | 10/28/22 15:46:07 | 26   | 26   | 11233001.942331942  | 10569162.795678360  |
| 361284:8319 | 10/28/22 16:01:19 | 36   | 36   | 15342109.761292309  | 14654333.324836090  |
| 361297:8320 | 10/28/22 20:09:25 | 930  | 930  | 394951903.461195230 | 376030136.763809025 |
