#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 362437:8456 | 11/21/22 11:53:12 | 31   | 31   | 11505451.980460050  | 9766000.299703781   |
| 362439:8456 | 11/21/22 13:08:41 | 1374 | 1374 | 528865965.174430072 | 506073916.957375646 |
| 362597:8471 | 11/23/22 21:16:30 | 139  | 139  | 59784039.737109914  | 57671469.227985434  |
| 362614:8474 | 11/24/22 06:40:41 | 153  | 153  | 69212131.488839507  | 64255070.362901382  |
| 362615:8474 | 11/24/22 07:43:24 | 149  | 149  | 71404259.102976203  | 66283169.027472168  |
| 362616:8474 | 11/24/22 08:45:49 | 350  | 350  | 169143371.273186624 | 158203139.226534784 |
| 362617:8474 | 11/24/22 11:07:16 | 244  | 244  | 113832506.618747979 | 107721529.379828647 |
| 362618:8474 | 11/24/22 12:44:46 | 270  | 270  | 106631626.258769929 | 100029976.087673992 |
| 362653:8484 | 11/25/22 07:53:12 | 266  | 266  | 107975154.326433420 | 102033855.761859536 |
| 362654:8484 | 11/25/22 09:39:59 | 26   | 26   | 11470235.028502751  | 10606216.148673872  |
| 362655:8484 | 11/25/22 10:00:15 | 333  | 333  | 147807042.454533905 | 140460920.020168513 |
| 362657:8484 | 11/25/22 12:32:35 | 198  | 198  | 83689220.443070441  | 80388441.968035355  |
| 362695:8489 | 11/26/22 00:41:34 | 334  | 334  | 136457490.537750930 | 128510058.961431682 |
| 362696:8489 | 11/26/22 02:52:11 | 1711 | 1711 | 609427589.091777086 | 585028573.877723932 |
| 362698:8489 | 11/26/22 14:10:14 | 374  | 374  | 83703240.760184631  | 80857402.073345780  |
| 362720:8491 | 11/26/22 22:59:02 | 898  | 898  | 372627843.162231207 | 355541624.560360909 |
| 362727:8491 | 11/27/22 05:16:11 | 4    | 4    | 1603379.911202991   | 1411171.657521809   |
| 362728:8491 | 11/27/22 05:21:34 | 388  | 388  | 150607017.473506421 | 143542102.135189325 |
| 362757:8496 | 11/27/22 22:14:46 | 62   | 62   | 21364207.649528760  | 19510114.922662683  |
| 362758:8496 | 11/27/22 22:43:07 | 205  | 205  | 87135713.172047615  | 82564201.724485695  |
| 362760:8496 | 11/28/22 00:16:05 | 728  | 728  | 295604737.545407772 | 282294081.235707402 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+------+------+----------------------+----------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+------+------+----------------------+----------------------+
| 7     | 21   | 8237 | 8237 | 3239852223.190697670 | 3082753035.616641521 |
+-------+------+------+------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
