#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 367516:8773 | 05/15/23 09:48:43 | 1135 | 1135 | 404636506.112027228 | 382094434.598807752 |
| 367552:8775 | 05/15/23 22:21:36 | 10   | 10   | 1086267.053294471   | 876913.909806429    |
| 367553:8775 | 05/15/23 22:27:38 | 644  | 644  | 278594759.840303898 | 264099378.577584207 |
| 367554:8775 | 05/16/23 02:39:52 | 312  | 312  | 131358797.568438560 | 124351412.728857070 |
| 367615:8782 | 05/17/23 02:49:10 | 432  | 432  | 174117786.662941366 | 164991683.244256973 |
| 367618:8782 | 05/17/23 06:11:09 | 324  | 324  | 143047078.014155477 | 135950113.993785918 |
| 367619:8782 | 05/17/23 08:19:46 | 577  | 577  | 187358055.142036438 | 180614102.856998533 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+------+------+----------------------+----------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+------+------+----------------------+----------------------+
| 3     | 7    | 3434 | 3434 | 1320199250.393197536 | 1252978039.910096884 |
+-------+------+------+------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
