#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 367516:8773 | 05/15/23 09:48:44 | 1235 | 1235 | 434395991.851557016 | 411132099.128649890 |
| 367552:8775 | 05/15/23 22:21:36 | 10   | 10   | 1251541.166238666   | 1040690.395546417   |
| 367553:8775 | 05/15/23 22:27:38 | 594  | 594  | 251530871.989179552 | 238224664.766931027 |
| 367554:8775 | 05/16/23 02:39:53 | 312  | 312  | 129895459.180037543 | 122968952.896239653 |
| 367615:8782 | 05/17/23 02:49:11 | 386  | 386  | 150219952.491629064 | 142484316.010310769 |
| 367618:8782 | 05/17/23 06:11:09 | 320  | 320  | 138772072.663779527 | 131914047.085892990 |
| 367619:8782 | 05/17/23 08:19:47 | 577  | 577  | 188531656.721133202 | 181856847.323612571 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+------+------+----------------------+----------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+------+------+----------------------+----------------------+
| 3     | 7    | 3434 | 3434 | 1294597546.063554525 | 1229621617.607183218 |
+-------+------+------+------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
