#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 369927:9016 | 07/01/23 12:26:50 | 340  | 340  | 3217990.436692959   | 3170612.375910499   |
| 369943:9017 | 07/01/23 19:31:56 | 384  | 384  | 29640153.201074913  | 28981563.756817877  |
| 369956:9019 | 07/02/23 03:24:03 | 1040 | 1040 | 89404401.955855995  | 87203620.455016613  |
| 369978:9022 | 07/02/23 16:21:51 | 782  | 782  | 171272847.650901645 | 164876616.886780679 |
| 369998:9023 | 07/03/23 00:31:00 | 178  | 178  | 58593275.254981674  | 54461765.187189013  |
| 369999:9023 | 07/03/23 01:42:37 | 41   | 41   | 16107397.164031880  | 14624214.355589155  |
| 370093:9029 | 07/03/23 23:52:20 | 450  | 450  | 156682206.137451023 | 149639451.163044780 |
| 370097:9029 | 07/04/23 05:14:27 | 335  | 335  | 126600661.809720755 | 120216904.573899209 |
| 370102:9029 | 07/04/23 07:48:16 | 762  | 762  | 208313027.442079037 | 200884204.797017485 |
| 370129:9031 | 07/04/23 16:57:20 | 510  | 510  | 211389498.341086388 | 202286399.716582775 |
| 370144:9031 | 07/04/23 21:36:04 | 1328 | 1328 | 398763625.033157885 | 384440086.391733050 |
| 370169:9035 | 07/05/23 11:04:39 | 1321 | 1321 | 528046622.167062283 | 502088436.134517968 |
| 370172:9035 | 07/05/23 21:11:03 | 290  | 290  | 75882004.948240742  | 73038752.245875806  |
| 370175:9036 | 07/06/23 01:38:21 | 1689 | 1689 | 704789323.148147106 | 672617083.768400073 |
| 370293:9043 | 07/07/23 11:09:51 | 1575 | 1575 | 670867629.243865967 | 640253286.078930378 |
| 370294:9043 | 07/07/23 21:26:41 | 668  | 668  | 179110582.105217665 | 172616801.893564016 |
| 370300:9044 | 07/08/23 04:08:21 | 960  | 960  | 436237062.207991302 | 415891662.540205717 |
| 370304:9044 | 07/08/23 10:50:37 | 325  | 325  | 123670929.178871825 | 118428209.081710353 |
| 370307:9044 | 07/08/23 13:04:05 | 708  | 708  | 207115839.235086828 | 199869802.088334352 |
| 370321:9045 | 07/08/23 19:41:07 | 14   | 14   | 1836070.089198339   | 1666772.678021198   |
| 370332:9045 | 07/08/23 20:20:37 | 1965 | 1965 | 740368863.368142366 | 704970753.661896706 |
| 370340:9046 | 07/09/23 10:57:12 | 756  | 756  | 346936195.788348556 | 328448740.735432208 |
| 370354:9049 | 07/09/23 19:08:46 | 278  | 278  | 116069256.894399628 | 111498684.173108175 |
| 370357:9049 | 07/09/23 22:29:46 | 801  | 801  | 330898091.110906720 | 317647048.422527015 |
| 370406:9050 | 07/10/23 12:29:29 | 825  | 825  | 366001147.550782084 | 348224243.210930645 |
| 370436:9050 | 07/10/23 17:55:30 | 27   | 27   | 11461258.453051871  | 10640975.835821491  |
| 370460:9055 | 07/11/23 03:20:19 | 106  | 106  | 33921932.779298022  | 32635921.462351594  |
| 370472:9056 | 07/11/23 07:22:18 | 42   | 42   | 9777307.957511967   | 9639487.496501969   |
| 370497:9057 | 07/11/23 09:38:33 | 1428 | 1428 | 594794281.802156568 | 566908533.336155176 |
| 370522:9059 | 07/11/23 23:55:53 | 322  | 322  | 137510254.199215204 | 131067170.774594560 |
| 370560:9062 | 07/12/23 12:37:34 | 348  | 348  | 150245090.336293817 | 143761852.296357721 |
| 370579:9063 | 07/12/23 17:39:39 | 85   | 85   | 25173253.356664509  | 24127050.404455494  |
| 370580:9063 | 07/12/23 18:17:16 | 2866 | 2866 | 942214956.969978213 | 901271624.023341775 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 21    | 33   | 23549 | 23549 | 8202913037.317464828 | 7838098332.002615929 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: [(370169, 275), (370169, 383), (370169, 635), (370169, 671), (370169, 707), (370169, 743), (370169, 1284), (370169, 1320), (370169, 1428), (370172, 1), (370172, 2), (370172, 3), (370172, 4), (370172, 5), (370172, 6), (370172, 7), (370172, 8), (370172, 9), (370172, 264), (370436, 28), (370436, 29), (370436, 30), (370436, 31), (370460, 114), (370460, 115), (370460, 116), (370460, 117), (370460, 118), (370460, 119), (370460, 120), (370460, 121), (370460, 122), (370460, 123)]
