#Data tag : 24v1 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 369927:9016 | 07/01/23 12:26:50 | 340  | 340  | 3272373.774145446   | 3224222.017972528   |
| 369943:9017 | 07/01/23 19:31:57 | 384  | 384  | 30154533.042724032  | 29485232.071011990  |
| 369956:9019 | 07/02/23 03:24:03 | 1040 | 1040 | 90947196.000958353  | 88704176.529472128  |
| 369978:9022 | 07/02/23 16:21:51 | 782  | 782  | 173770720.227092981 | 167282514.744082004 |
| 369998:9023 | 07/03/23 00:31:01 | 178  | 178  | 59310250.175810270  | 55117900.251006275  |
| 369999:9023 | 07/03/23 01:42:38 | 41   | 41   | 16323354.993781867  | 14818970.480188126  |
| 370093:9029 | 07/03/23 23:52:21 | 450  | 450  | 159371557.861790687 | 152213224.154437423 |
| 370097:9029 | 07/04/23 05:14:28 | 354  | 354  | 136090379.784422487 | 129367278.517998531 |
| 370102:9029 | 07/04/23 07:48:17 | 762  | 762  | 212771039.330866456 | 205161340.447998375 |
| 370129:9031 | 07/04/23 16:57:20 | 510  | 510  | 215369357.684015900 | 206112457.528061360 |
| 370144:9031 | 07/04/23 21:36:05 | 1328 | 1328 | 406854054.652611434 | 392247125.920562685 |
| 370169:9035 | 07/05/23 11:04:40 | 1330 | 1330 | 540761159.606291771 | 505289115.680110633 |
| 370172:9035 | 07/05/23 21:07:28 | 300  | 300  | 80284746.224582538  | 75670405.966706902  |
| 370175:9036 | 07/06/23 01:38:22 | 1689 | 1689 | 717157076.716183305 | 684426200.647664189 |
| 370293:9043 | 07/07/23 11:09:51 | 1575 | 1575 | 682985859.120591044 | 651829246.859523654 |
| 370294:9043 | 07/07/23 21:26:42 | 668  | 668  | 182689630.121747553 | 176065752.368025571 |
| 370300:9044 | 07/08/23 04:08:22 | 960  | 960  | 443571424.587295234 | 423090037.742014647 |
| 370304:9044 | 07/08/23 10:50:38 | 325  | 325  | 125938175.860876679 | 120599215.477613688 |
| 370307:9044 | 07/08/23 13:04:05 | 708  | 708  | 211226327.407507747 | 203836834.126251161 |
| 370321:9045 | 07/08/23 19:41:08 | 14   | 14   | 1756362.551024996   | 1586998.484154297   |
| 370332:9045 | 07/08/23 20:20:38 | 1965 | 1965 | 753565823.551219821 | 717558078.840401292 |
| 370340:9046 | 07/09/23 10:57:13 | 756  | 756  | 353222610.808576167 | 334432668.190186262 |
| 370354:9049 | 07/09/23 19:08:47 | 278  | 278  | 117890637.722386971 | 113101339.121872932 |
| 370357:9049 | 07/09/23 22:29:47 | 801  | 801  | 336717629.774445951 | 323233047.918773532 |
| 370406:9050 | 07/10/23 12:29:29 | 825  | 825  | 372377438.351064265 | 354315853.454033971 |
| 370436:9050 | 07/10/23 17:55:30 | 31   | 31   | 11841750.226631520  | 11014202.964757809  |
| 370460:9055 | 07/11/23 03:20:19 | 116  | 116  | 34500365.365231983  | 33211562.238574553  |
| 370472:9056 | 07/11/23 07:22:18 | 42   | 42   | 9925332.613707162   | 9793769.589709029   |
| 370497:9057 | 07/11/23 09:38:34 | 1428 | 1428 | 608060709.811166286 | 579544510.647592187 |
| 370522:9059 | 07/11/23 23:55:53 | 322  | 322  | 139939103.863148719 | 133363239.442563474 |
| 370560:9062 | 07/12/23 12:37:34 | 348  | 348  | 153063787.466298223 | 146459676.496301413 |
| 370579:9063 | 07/12/23 17:39:39 | 85   | 85   | 25191410.443207841  | 24298495.201291718  |
| 370580:9063 | 07/12/23 18:17:16 | 2866 | 2866 | 961564640.612964630 | 919935408.638435602 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 21    | 33   | 23601 | 23601 | 8368466820.334371567 | 7986390102.759350777 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
