#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 380306:9585 | 05/02/24 19:54:33 | 242  | 242  | 97162730.934616953  | 91630897.815626368  |
| 380308:9585 | 05/02/24 21:44:38 | 35   | 35   | 16105719.300269339  | 13512556.336136423  |
| 380309:9585 | 05/02/24 22:01:23 | 345  | 345  | 158409587.251335710 | 149907123.882661462 |
| 380310:9585 | 05/03/24 00:19:19 | 1130 | 1130 | 382363036.825962663 | 369739147.243127525 |
| 380346:9593 | 05/03/24 16:31:34 | 566  | 566  | 242352693.447395176 | 227595310.645686865 |
| 380348:9593 | 05/03/24 20:21:15 | 341  | 341  | 137391316.516647220 | 130333029.971707314 |
| 380349:9593 | 05/03/24 22:39:04 | 693  | 693  | 211482519.841606468 | 205558274.942723542 |
| 380360:9594 | 05/04/24 06:56:16 | 1927 | 1927 | 680623945.123396516 | 655327189.974479795 |
| 380377:9602 | 05/04/24 23:50:36 | 420  | 420  | 179815127.994530499 | 170021948.129319072 |
| 380384:9603 | 05/05/24 06:57:47 | 751  | 751  | 328775267.916674495 | 311374382.855205357 |
| 380385:9603 | 05/05/24 11:54:10 | 1247 | 1247 | 395580991.180421591 | 381880030.628710747 |
| 380399:9604 | 05/05/24 23:17:17 | 494  | 494  | 208244994.007787049 | 198066744.016653717 |
| 380403:9604 | 05/06/24 03:21:24 | 251  | 251  | 106418495.945062250 | 101433754.763555512 |
| 380444:9605 | 05/06/24 15:21:13 | 322  | 322  | 143260342.008501679 | 134492539.575330883 |
| 380446:9605 | 05/06/24 17:33:05 | 1028 | 1028 | 410434101.733937383 | 393104930.146130621 |
| 380447:9605 | 05/07/24 00:20:05 | 810  | 810  | 208137319.321783334 | 203316370.470825553 |
| 380466:9606 | 05/07/24 09:21:16 | 503  | 503  | 218014767.981403351 | 202863811.999205917 |
| 380470:9606 | 05/07/24 13:06:57 | 1632 | 1632 | 523144291.309791923 | 508126546.617433369 |
| 380481:9608 | 05/08/24 05:37:58 | 860  | 860  | 375790030.636197627 | 354526675.083647966 |
| 380513:9609 | 05/08/24 20:35:34 | 1157 | 1157 | 487652901.175391138 | 463659291.827844441 |
| 380517:9609 | 05/09/24 04:20:58 | 39   | 39   | 13272157.544067353  | 12564356.990321394  |
| 380531:9610 | 05/09/24 07:02:24 | 1016 | 1016 | 436007115.355783463 | 412962984.558421314 |
| 380534:9610 | 05/09/24 13:56:20 | 744  | 744  | 225701843.415692687 | 219694280.671416432 |
| 380537:9610 | 05/09/24 19:09:12 | 58   | 58   | 14321157.655465944  | 13808229.571242167  |
| 380538:9610 | 05/09/24 19:36:56 | 144  | 144  | 32444748.899390966  | 31779333.240220308  |
| 380564:9611 | 05/09/24 23:47:54 | 742  | 742  | 326378482.622047126 | 308264513.785157979 |
| 380567:9611 | 05/10/24 04:54:24 | 1079 | 1079 | 340436020.092721760 | 331445292.107073724 |
| 380623:9614 | 05/11/24 20:40:52 | 388  | 388  | 164093399.936668456 | 154038705.471009851 |
| 380624:9614 | 05/11/24 23:16:57 | 809  | 809  | 329971193.117104828 | 314444172.647798121 |
| 380625:9614 | 05/12/24 04:34:00 | 7    | 7    | 2301492.935081671   | 2141493.118818134   |
| 380626:9614 | 05/12/24 04:39:38 | 14   | 14   | 4557621.323116013   | 4222935.329936896   |
| 380627:9614 | 05/12/24 04:48:42 | 808  | 808  | 218495978.506854981 | 213490065.308293045 |
| 380647:9618 | 05/12/24 22:28:59 | 375  | 375  | 163991139.478500158 | 148849041.505234271 |
| 380649:9618 | 05/13/24 01:56:38 | 400  | 400  | 168446477.183849216 | 159359408.761414289 |
| 380933:9651 | 05/19/24 16:19:32 | 772  | 772  | 11997488.413488470  | 11886861.531794861  |
| 380945:9653 | 05/20/24 06:39:35 | 245  | 245  | 100661698.148498625 | 94984174.052479506  |
| 380947:9653 | 05/20/24 11:38:49 | 822  | 822  | 264123794.981824666 | 256442339.147882998 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 16    | 37   | 23216 | 23216 | 8328361990.062870026 | 7956848744.724529266 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
