#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 380306:9585 | 05/02/24 19:54:33 | 242  | 242  | 101460078.385121524 | 95684375.881972000  |
| 380308:9585 | 05/02/24 21:45:01 | 34   | 34   | 16336058.972535370  | 14110847.447124323  |
| 380309:9585 | 05/02/24 22:01:22 | 345  | 345  | 165418800.047927439 | 156540484.689095050 |
| 380310:9585 | 05/03/24 00:19:19 | 1130 | 1130 | 399281623.603813767 | 386098863.647595644 |
| 380346:9593 | 05/03/24 16:31:34 | 566  | 566  | 253074579.816716015 | 237659982.738215536 |
| 380348:9593 | 05/03/24 20:21:14 | 341  | 341  | 143470526.940562606 | 136094991.286133587 |
| 380349:9593 | 05/03/24 22:39:03 | 694  | 694  | 221152372.108641207 | 214653606.088476270 |
| 380360:9594 | 05/04/24 06:56:16 | 1927 | 1927 | 710738556.804632425 | 684320769.285722613 |
| 380377:9602 | 05/04/24 23:50:36 | 416  | 416  | 187999130.517734826 | 177767596.464990616 |
| 380384:9603 | 05/05/24 06:57:47 | 751  | 751  | 343321668.342178822 | 325147852.722769618 |
| 380385:9603 | 05/05/24 11:54:10 | 1247 | 1247 | 413084439.123368621 | 398777569.386256218 |
| 380399:9604 | 05/05/24 23:17:17 | 494  | 494  | 217455255.200063258 | 206823124.969588429 |
| 380403:9604 | 05/06/24 03:21:24 | 251  | 251  | 111127245.404778123 | 105922095.076477170 |
| 380444:9605 | 05/06/24 15:21:13 | 321  | 321  | 149120829.890669227 | 140439426.858253479 |
| 380446:9605 | 05/06/24 17:33:05 | 1027 | 1027 | 428203331.031033158 | 410498171.104453146 |
| 380447:9605 | 05/07/24 00:20:28 | 809  | 809  | 217021190.145857126 | 212308658.129271060 |
| 380466:9606 | 05/07/24 09:21:16 | 504  | 504  | 228136158.243361443 | 211845536.221106738 |
| 380470:9606 | 05/07/24 13:06:34 | 1633 | 1633 | 546772391.447086453 | 530609770.574135602 |
| 380481:9608 | 05/08/24 05:37:58 | 860  | 860  | 392413228.633673072 | 370216749.334153950 |
| 380513:9609 | 05/08/24 20:35:34 | 1157 | 1157 | 509229910.935480654 | 484174126.005909801 |
| 380517:9609 | 05/09/24 04:20:58 | 39   | 39   | 13859417.070222707  | 13120192.225176893  |
| 380531:9610 | 05/09/24 07:02:24 | 1016 | 1016 | 455295251.371154308 | 431243373.637668431 |
| 380534:9610 | 05/09/24 13:56:20 | 744  | 744  | 235688569.274246156 | 229415127.172950745 |
| 380537:9610 | 05/09/24 19:09:12 | 58   | 58   | 14954831.658682335  | 14419230.012634410  |
| 380538:9610 | 05/09/24 19:36:56 | 144  | 144  | 33875438.252631575  | 33179485.015600283  |
| 380564:9611 | 05/09/24 23:47:54 | 742  | 742  | 340817738.679192722 | 321896499.384125113 |
| 380567:9611 | 05/10/24 04:54:23 | 1078 | 1078 | 355126821.811185479 | 346110812.372860312 |
| 380623:9614 | 05/11/24 20:40:52 | 388  | 388  | 171353321.487592489 | 160839382.722834349 |
| 380624:9614 | 05/11/24 23:16:57 | 809  | 809  | 344571579.919854641 | 328358033.117567360 |
| 380625:9614 | 05/12/24 04:34:00 | 7    | 7    | 2403327.819141136   | 2236270.552248384   |
| 380626:9614 | 05/12/24 04:39:38 | 14   | 14   | 4758848.741040333   | 4409427.331045165   |
| 380627:9614 | 05/12/24 04:48:42 | 808  | 808  | 228165636.551975906 | 222938240.929807633 |
| 380647:9618 | 05/12/24 22:28:59 | 375  | 375  | 171245556.007653266 | 155440223.407815754 |
| 380649:9618 | 05/13/24 01:56:38 | 400  | 400  | 175899800.821369976 | 166410518.652331471 |
| 380933:9651 | 05/19/24 16:19:32 | 772  | 772  | 12142704.388956934  | 12031555.274376955  |
| 380945:9653 | 05/20/24 06:39:34 | 245  | 245  | 106117382.623644084 | 100132466.300805375 |
| 380947:9653 | 05/20/24 11:38:48 | 822  | 822  | 278569830.526328921 | 270468371.933752775 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 16    | 37   | 23210 | 23210 | 8699663432.600111008 | 8312343807.955301285 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: [(380377, 452), (380377, 453), (380377, 454), (380377, 455)]
