#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 380963:9654 | 05/20/24 20:42:43 | 922  | 922  | 371882883.047077715 | 354684763.251916170 |
| 381022:9659 | 05/21/24 23:53:15 | 585  | 585  | 213784875.479097873 | 202525361.735499978 |
| 381053:9661 | 05/22/24 09:14:55 | 107  | 107  | 33588765.590197593  | 32355940.213066153  |
| 381065:9662 | 05/22/24 12:16:48 | 785  | 785  | 348277597.528857827 | 328507047.315839946 |
| 381067:9662 | 05/22/24 17:33:10 | 313  | 313  | 123708741.358811378 | 118860760.387187600 |
| 381069:9662 | 05/22/24 20:20:02 | 307  | 307  | 98575097.551016986  | 93564541.025102034  |
| 381070:9662 | 05/22/24 22:21:18 | 425  | 425  | 115851656.450651184 | 113297764.383561701 |
| 381075:9663 | 05/23/24 03:44:42 | 426  | 426  | 184056377.609097570 | 173486013.581944466 |
| 381078:9663 | 05/23/24 06:53:58 | 328  | 328  | 141832929.710767895 | 134776653.824012309 |
| 381079:9663 | 05/23/24 09:06:56 | 392  | 392  | 137759098.058225065 | 132526351.298419729 |
| 381080:9663 | 05/23/24 11:44:26 | 334  | 334  | 97768063.000815690  | 94322169.843670681  |
| 381113:9664 | 05/23/24 18:23:22 | 238  | 234  | 94072637.402809158  | 87983609.488624021  |
| 381114:9664 | 05/23/24 20:11:10 | 453  | 453  | 208363997.417508245 | 196903115.622141182 |
| 381115:9664 | 05/23/24 23:12:32 | 1293 | 1293 | 407625345.445310414 | 395036439.616610944 |
| 381147:9666 | 05/24/24 11:18:29 | 186  | 186  | 75376924.453627914  | 70591424.355882853  |
| 381148:9666 | 05/24/24 12:38:03 | 264  | 264  | 124192746.696543738 | 116128225.301473126 |
| 381149:9666 | 05/24/24 14:31:15 | 133  | 133  | 62432824.376584068  | 58211305.467959657  |
| 381150:9666 | 05/24/24 15:25:36 | 41   | 41   | 18716957.749154255  | 17518064.532736953  |
| 381151:9666 | 05/24/24 15:45:41 | 846  | 846  | 303648062.772069216 | 290881522.815858960 |
| 381152:9666 | 05/24/24 21:19:14 | 193  | 193  | 52703734.830664814  | 51063314.932921827  |
| 381164:9667 | 05/25/24 00:51:30 | 1150 | 1150 | 518566662.382624567 | 485292799.424099803 |
| 381190:9670 | 05/25/24 13:16:44 | 1093 | 1093 | 491289684.229472160 | 461764142.237140179 |
| 381191:9670 | 05/25/24 20:25:58 | 1121 | 1121 | 335609512.322760880 | 325475207.003477514 |
| 381199:9672 | 05/26/24 09:25:18 | 150  | 150  | 56764610.634723902  | 52696453.261369139  |
| 381212:9674 | 05/27/24 04:02:15 | 372  | 372  | 167162648.591498435 | 156737285.628736556 |
| 381286:9677 | 05/27/24 16:09:15 | 711  | 711  | 325922761.452298939 | 301259101.281267285 |
| 381309:9680 | 05/28/24 06:47:14 | 425  | 425  | 192311088.829252422 | 180774982.043858171 |
| 381358:9683 | 05/28/24 18:58:02 | 3    | 3    | 643620.604231177    | 455268.870364819    |
| 381364:9684 | 05/28/24 21:34:05 | 427  | 427  | 188112318.796709150 | 174136276.785539597 |
| 381365:9684 | 05/29/24 00:22:44 | 593  | 593  | 271080077.322381258 | 254549533.392893612 |
| 381371:9686 | 05/29/24 06:46:06 | 194  | 194  | 79068585.385996789  | 74841392.878979400  |
| 381379:9687 | 05/29/24 10:50:00 | 829  | 829  | 373923417.790122628 | 350270413.740154505 |
| 381380:9687 | 05/29/24 16:17:57 | 1352 | 1352 | 410364024.023365617 | 398051278.118155241 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 17    | 33   | 16991 | 16987 | 6625038328.894327164 | 6279528523.660466194 |
+-------+------+-------+-------+----------------------+----------------------+

Warning: problems found in merging -i and --normtag selections:
  in run 381113 [[59, 211], [220, 337]] is not a superset of [[60, 305]]
  in run 381309 [[31, 456]] is not a superset of [[32, 457]]
#Check JSON:
#(run,ls) in json but not in results: []
