#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------------+----------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)       | recorded(/ub)        |
+-------------+-------------------+------+------+----------------------+----------------------+
| 381384:9691 | 05/30/24 05:24:04 | 3480 | 3480 | 1046504135.039108753 | 1003791141.074284911 |
| 381417:9694 | 05/31/24 13:50:23 | 1781 | 1781 | 710637118.035113931  | 675451093.721960783  |
| 381443:9696 | 06/01/24 12:16:15 | 1515 | 1515 | 619811699.585138440  | 587004382.775143623  |
| 381477:9700 | 06/02/24 11:50:04 | 278  | 278  | 116849585.072733521  | 110046666.365017608  |
| 381479:9700 | 06/02/24 13:58:03 | 434  | 434  | 204504525.875298768  | 191926418.245951504  |
| 381480:9700 | 06/02/24 16:48:38 | 1267 | 1267 | 418915434.578747988  | 403416422.653010488  |
| 381484:9701 | 06/03/24 03:15:04 | 820  | 820  | 374195443.988520086  | 349895652.553399265  |
| 381499:9705 | 06/03/24 16:18:24 | 195  | 195  | 78658216.604991704   | 73385100.869860455   |
| 381500:9705 | 06/03/24 17:37:39 | 92   | 92   | 43431845.892279744   | 39486603.903115831   |
| 381515:9707 | 06/03/24 22:01:00 | 507  | 507  | 229006605.523137987  | 213970719.222772688  |
| 381516:9707 | 06/04/24 01:22:53 | 1669 | 1669 | 582940645.247430563  | 556022684.161448002  |
| 381543:9708 | 06/04/24 14:37:55 | 512  | 512  | 235680805.537129492  | 221277705.518025309  |
| 381544:9708 | 06/04/24 18:12:43 | 1969 | 1969 | 638242230.425314307  | 614665462.052640676  |
+-------------+-------------------+------+------+----------------------+----------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 8     | 13   | 14519 | 14519 | 5299378291.404945374 | 5040340053.116631508 |
+-------+------+-------+-------+----------------------+----------------------+

Warning: problems found in merging -i and --normtag selections:
  in run 381417 [[34, 1822]] is not a superset of [[35, 160], [164, 1533], [1538, 1824]]
  in run 381443 [[31, 1550]] is not a superset of [[33, 396], [398, 828], [830, 1118], [1120, 1571]]
#Check JSON:
#(run,ls) in json but not in results: []
