#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 380963:9654 | 05/20/24 20:42:43 | 922  | 922  | 392892106.087687969 | 374724084.783964634 |
| 381022:9659 | 05/21/24 23:53:15 | 585  | 585  | 225110522.867264837 | 213253014.619748533 |
| 381053:9661 | 05/22/24 09:14:55 | 107  | 107  | 35459369.156111211  | 34158952.021836728  |
| 381065:9662 | 05/22/24 12:16:48 | 785  | 785  | 367728797.543390572 | 346850317.456198752 |
| 381067:9662 | 05/22/24 17:33:10 | 313  | 313  | 130747815.587687701 | 125623325.291206837 |
| 381069:9662 | 05/22/24 20:20:01 | 307  | 307  | 104142033.486304402 | 98847953.427422687  |
| 381070:9662 | 05/22/24 22:21:18 | 425  | 425  | 122234840.380817771 | 119540277.784390584 |
| 381075:9663 | 05/23/24 03:44:43 | 426  | 426  | 194283598.633188993 | 183117038.972269118 |
| 381078:9663 | 05/23/24 06:53:58 | 328  | 328  | 149807435.684558749 | 142363607.025714785 |
| 381079:9663 | 05/23/24 09:06:56 | 392  | 392  | 145586070.126557380 | 140055741.787199527 |
| 381080:9663 | 05/23/24 11:44:25 | 335  | 335  | 103554186.964167953 | 99586015.581403643  |
| 381113:9664 | 05/23/24 18:23:22 | 238  | 236  | 99268074.469021097  | 93104519.879152209  |
| 381114:9664 | 05/23/24 20:11:09 | 453  | 453  | 219708937.822297484 | 207625498.350634962 |
| 381115:9664 | 05/23/24 23:12:31 | 1293 | 1293 | 429894846.873120487 | 416615306.876685321 |
| 381147:9666 | 05/24/24 11:18:30 | 186  | 186  | 79449770.692439884  | 74394360.990014061  |
| 381148:9666 | 05/24/24 12:38:03 | 264  | 264  | 130907401.766210258 | 122407250.842942104 |
| 381149:9666 | 05/24/24 14:31:14 | 133  | 133  | 65816810.162275508  | 61366554.087962441  |
| 381150:9666 | 05/24/24 15:25:36 | 41   | 41   | 19740739.801477008  | 18476291.350573931  |
| 381151:9666 | 05/24/24 15:45:41 | 847  | 847  | 320776078.849878848 | 307000776.606852949 |
| 381152:9666 | 05/24/24 21:19:14 | 193  | 193  | 55548035.362541176  | 53818776.039215825  |
| 381164:9667 | 05/25/24 00:51:30 | 1151 | 1151 | 547360535.680787086 | 511836758.813011229 |
| 381190:9670 | 05/25/24 13:16:43 | 1093 | 1093 | 513026412.476529300 | 482200538.853111386 |
| 381191:9670 | 05/25/24 20:25:58 | 1121 | 1121 | 350459374.660467744 | 339876058.576671243 |
| 381199:9672 | 05/26/24 09:25:18 | 147  | 147  | 59611914.060034215  | 55346207.322395898  |
| 381212:9674 | 05/27/24 04:02:15 | 372  | 372  | 174550781.198768765 | 163659456.243446797 |
| 381286:9677 | 05/27/24 16:09:15 | 711  | 711  | 340340371.706152618 | 314583713.029703021 |
| 381309:9680 | 05/28/24 06:47:14 | 425  | 425  | 200817055.630143136 | 188728860.408469290 |
| 381358:9683 | 05/28/24 18:58:02 | 3    | 3    | 643626.328912752    | 415712.231902755    |
| 381364:9684 | 05/28/24 21:34:05 | 427  | 427  | 188112121.677955508 | 174122688.916990638 |
| 381365:9684 | 05/29/24 00:22:44 | 594  | 594  | 271555085.212139547 | 254553124.521042794 |
| 381371:9686 | 05/29/24 06:46:06 | 194  | 194  | 79067495.195318088  | 74841797.825595215  |
| 381379:9687 | 05/29/24 10:50:00 | 829  | 829  | 373925900.896249592 | 350256720.332882404 |
| 381380:9687 | 05/29/24 16:17:33 | 1354 | 1354 | 411028482.881099403 | 398054755.659428179 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 17    | 33   | 16994 | 16992 | 6903156629.921556473 | 6541406056.510040283 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: [(381113, 142), (381113, 178), (381113, 213), (381113, 214), (381113, 215), (381113, 216), (381113, 217), (381113, 218), (381309, 457), (381199, 183), (381199, 184), (381199, 185)]
