#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------------+----------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)       | recorded(/ub)        |
+-------------+-------------------+------+------+----------------------+----------------------+
| 381384:9691 | 05/30/24 05:24:04 | 3480 | 3480 | 1046505883.419529557 | 1003787410.568838716 |
| 381417:9694 | 05/31/24 13:50:23 | 1780 | 1780 | 712046540.324839711  | 675480123.091090202  |
| 381443:9696 | 06/01/24 12:16:15 | 1505 | 1505 | 618952632.960763931  | 586990419.166068792  |
| 381477:9700 | 06/02/24 11:50:04 | 278  | 278  | 116848056.407246605  | 110054056.201165259  |
| 381479:9700 | 06/02/24 13:58:03 | 434  | 434  | 204506344.911961883  | 191928177.999809176  |
| 381480:9700 | 06/02/24 16:48:38 | 1267 | 1267 | 418919157.884492755  | 403419817.738316953  |
| 381484:9701 | 06/03/24 03:15:04 | 820  | 820  | 374197822.026888967  | 349857922.571568429  |
| 381499:9705 | 06/03/24 16:18:24 | 195  | 195  | 78659348.851805314   | 73387408.879387319   |
| 381500:9705 | 06/03/24 17:37:39 | 92   | 92   | 43432232.175431132   | 39487098.952035777   |
| 381515:9707 | 06/03/24 22:01:00 | 506  | 506  | 228537261.342468292  | 213969771.248275787  |
| 381516:9707 | 06/04/24 01:22:52 | 1669 | 1669 | 582940336.339036345  | 556018837.675868392  |
| 381543:9708 | 06/04/24 14:37:55 | 512  | 512  | 235680766.777136296  | 221300756.637381166  |
| 381544:9708 | 06/04/24 18:12:43 | 1969 | 1969 | 638246300.906209469  | 614677120.940336943  |
+-------------+-------------------+------+------+----------------------+----------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 8     | 13   | 14507 | 14507 | 5299472684.327810287 | 5040358921.670142174 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: [(381443, 1543), (381443, 1544), (381443, 1545), (381443, 1546), (381443, 1547), (381443, 1548), (381443, 1549), (381443, 1550), (381443, 1551), (381443, 1552), (381443, 1553), (381443, 1554), (381443, 1555), (381443, 1556), (381443, 1557), (381443, 1558), (381443, 1559), (381443, 1560), (381443, 1561), (381443, 1562), (381443, 1563), (381443, 1564), (381443, 1565), (381443, 1566), (381443, 1567), (381443, 1568), (381443, 1569), (381443, 1570), (381443, 1571), (381417, 1818), (381417, 1819), (381417, 1820), (381417, 1821), (381417, 1822), (381417, 1823), (381417, 1824)]
