#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 382229:9806 | 06/20/24 09:39:20 | 305  | 305  | 23394504.105991453  | 22098140.969335496  |
| 382250:9808 | 06/20/24 16:24:45 | 889  | 889  | 224598400.610773474 | 215259687.061601907 |
| 382255:9810 | 06/21/24 04:47:31 | 95   | 95   | 29922912.158706181  | 28318494.695207682  |
| 382256:9810 | 06/21/24 05:26:51 | 67   | 67   | 31184020.024265364  | 27662523.601335891  |
| 382257:9810 | 06/21/24 06:11:04 | 70   | 70   | 32581296.736291450  | 29028121.962829120  |
| 382258:9810 | 06/21/24 06:41:16 | 1147 | 1147 | 500142997.286188364 | 479563172.863729358 |
| 382262:9810 | 06/21/24 14:31:56 | 252  | 252  | 79216677.367970288  | 76706920.579850748  |
| 382298:9812 | 06/21/24 19:39:36 | 53   | 53   | 14819054.359115699  | 14301651.612500677  |
| 382299:9812 | 06/21/24 20:38:11 | 806  | 806  | 384820998.776336789 | 356402351.678583086 |
| 382300:9812 | 06/22/24 01:55:26 | 1185 | 1185 | 383584823.470320284 | 371886154.059877753 |
| 382313:9813 | 06/22/24 11:50:52 | 389  | 389  | 174823067.920186907 | 166462369.248360515 |
| 382314:9813 | 06/22/24 14:26:01 | 295  | 295  | 141770816.334921420 | 134388474.598638862 |
| 382328:9816 | 06/22/24 22:38:19 | 88   | 88   | 33091411.028734896  | 31049599.442715444  |
| 382329:9816 | 06/22/24 23:16:38 | 150  | 150  | 72058046.381278977  | 67790751.690129414  |
| 382343:9819 | 06/23/24 13:01:16 | 2202 | 2202 | 985058505.462977409 | 930649241.857073307 |
| 382344:9819 | 06/24/24 03:22:08 | 355  | 355  | 129242765.585845351 | 124753402.352179274 |
| 382504:9832 | 06/27/24 14:22:09 | 349  | 349  | 152199033.782072484 | 144103335.864347428 |
| 382568:9838 | 06/28/24 23:55:16 | 405  | 405  | 179797320.466585994 | 169846585.562915713 |
| 382580:9840 | 06/29/24 07:43:50 | 1709 | 1709 | 714982689.336614609 | 682358277.540880084 |
| 382594:9842 | 06/30/24 02:29:05 | 1405 | 1405 | 621030503.391189694 | 591226943.274871945 |
| 382595:9842 | 06/30/24 11:37:12 | 853  | 853  | 256373891.549959958 | 248816035.818627089 |
| 382617:9843 | 06/30/24 19:33:03 | 701  | 701  | 305486275.435721934 | 291525750.257712126 |
| 382626:9846 | 07/01/24 07:24:48 | 358  | 358  | 160610144.342722356 | 151890989.363858551 |
| 382649:9848 | 07/01/24 14:36:50 | 478  | 478  | 215627968.145770937 | 198637608.399696380 |
| 382650:9848 | 07/01/24 17:47:17 | 234  | 234  | 113407986.997881666 | 107561021.884411186 |
| 382654:9849 | 07/01/24 21:54:59 | 1638 | 1638 | 743509603.337575912 | 700965442.536990881 |
| 382655:9849 | 07/02/24 08:36:08 | 394  | 394  | 127167075.544097915 | 122715377.207082495 |
| 382656:9849 | 07/02/24 11:12:31 | 294  | 294  | 79482821.440335304  | 76842128.223298386  |
| 382679:9851 | 07/02/24 21:51:44 | 71   | 71   | 20696544.563439041  | 20178978.539923012  |
| 382684:9852 | 07/03/24 00:51:55 | 1160 | 1160 | 543793397.234718323 | 510838734.859165549 |
| 382685:9852 | 07/03/24 08:26:34 | 483  | 482  | 180507623.763968349 | 173266444.560862780 |
| 382686:9852 | 07/03/24 11:40:25 | 141  | 141  | 43916510.156286314  | 42603429.845543660  |
| 382725:9857 | 07/03/24 21:33:58 | 369  | 369  | 164112534.809194446 | 154024645.285661936 |
| 382729:9859 | 07/04/24 06:43:25 | 54   | 54   | 15427711.157870103  | 14847128.076025957  |
| 382730:9859 | 07/04/24 07:13:29 | 52   | 52   | 23610874.319741819  | 21894199.727296889  |
| 382750:9860 | 07/04/24 11:35:32 | 528  | 528  | 247326734.133499146 | 231928138.411203802 |
| 382752:9860 | 07/04/24 15:08:42 | 709  | 709  | 332578266.332377076 | 315012442.184352279 |
| 382769:9861 | 07/05/24 00:19:42 | 1533 | 1533 | 667061435.043733716 | 631211958.209722281 |
| 382770:9861 | 07/05/24 10:19:22 | 585  | 585  | 164828658.696138561 | 160030453.446640313 |
| 382791:9862 | 07/05/24 17:32:53 | 105  | 105  | 31593997.519435991  | 29852899.883813996  |
| 382792:9862 | 07/05/24 18:18:12 | 80   | 80   | 38603059.367160350  | 30994190.902639259  |
| 382794:9862 | 07/05/24 18:54:44 | 13   | 13   | 6278360.979737461   | 5171173.886730392   |
| 382795:9862 | 07/05/24 19:03:19 | 474  | 474  | 229170152.056675196 | 214774624.821582466 |
