#Data tag : 24v2 , Norm tag: onlineresult
+--------------+-------------------+------+------+---------------------+---------------------+
| run:fill     | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+--------------+-------------------+------+------+---------------------+---------------------+
| 383811:9945  | 07/29/24 16:52:13 | 40   | 40   | 12629547.656542480  | 11219375.863153310  |
| 383812:9945  | 07/29/24 17:11:17 | 330  | 330  | 160977588.161936164 | 148483059.513614029 |
| 383813:9945  | 07/29/24 19:25:59 | 104  | 104  | 50649341.537539475  | 46170117.788882300  |
| 383814:9945  | 07/29/24 20:12:38 | 1243 | 1243 | 551821501.101556540 | 516301375.230391979 |
| 383830:9947  | 07/30/24 08:01:55 | 120  | 120  | 50711755.769756809  | 46375947.359085478  |
| 383832:9947  | 07/30/24 08:59:00 | 395  | 395  | 192924223.810298324 | 176923288.288276047 |
| 383833:9947  | 07/30/24 11:39:37 | 171  | 171  | 83501921.053540871  | 77341787.970766544  |
| 383834:9947  | 07/30/24 12:49:56 | 438  | 438  | 211340763.799461871 | 195642028.842597276 |
| 383854:9951  | 07/30/24 20:32:23 | 1043 | 1043 | 500359678.209904134 | 458186416.373250961 |
| 383855:9951  | 07/31/24 03:37:50 | 904  | 904  | 353198048.969418764 | 334600260.748157084 |
| 383900:9960  | 07/31/24 15:53:42 | 29   | 29   | 7609367.130715673   | 7212807.837266218   |
| 383907:9962  | 08/01/24 01:35:28 | 620  | 620  | 294285957.507387161 | 266008971.939390361 |
| 383908:9962  | 08/01/24 05:40:02 | 16   | 16   | 7796413.166726191   | 6824966.856118985   |
| 383948:9967  | 08/01/24 21:31:59 | 880  | 880  | 414911389.985486150 | 381107513.394082129 |
| 383949:9967  | 08/02/24 03:17:57 | 904  | 904  | 384630996.231823146 | 363976570.543174565 |
| 383996:9969  | 08/02/24 14:25:58 | 2194 | 2194 | 911080376.643556595 | 861790672.889105201 |
| 384014:9970  | 08/03/24 07:49:48 | 378  | 378  | 168051112.149380624 | 157863133.480983615 |
| 384029:9971  | 08/03/24 12:39:06 | 443  | 443  | 199435985.362803280 | 186764210.011854947 |
