#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+---------------------+---------------------+
| run:fill     | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+--------------+-------------------+------+------+---------------------+---------------------+
| 383811:9945  | 07/29/24 16:52:12 | 40   | 40   | 12627720.315954121  | 11277489.845920529  |
| 383812:9945  | 07/29/24 17:11:17 | 330  | 330  | 160975436.628385127 | 148482458.097106665 |
| 383813:9945  | 07/29/24 19:26:00 | 104  | 104  | 50648665.865117304  | 46168966.562349848  |
| 383814:9945  | 07/29/24 20:12:38 | 1243 | 1243 | 551814117.019549012 | 516293948.078059852 |
| 383830:9947  | 07/30/24 08:01:55 | 120  | 120  | 50709765.993601590  | 46428709.532804355  |
| 383832:9947  | 07/30/24 08:59:00 | 395  | 395  | 192921647.413410246 | 176920073.929103523 |
| 383833:9947  | 07/30/24 11:39:37 | 171  | 171  | 83500806.845579162  | 77340668.782635957  |
| 383834:9947  | 07/30/24 12:49:56 | 438  | 438  | 211337940.525741905 | 195640061.468817651 |
| 383854:9951  | 07/30/24 20:32:22 | 1043 | 1043 | 500351554.609886050 | 458209799.485639393 |
| 383855:9951  | 07/31/24 03:37:50 | 905  | 905  | 353678279.082947314 | 334599355.875717282 |
| 383900:9960  | 07/31/24 15:53:42 | 29   | 29   | 7608002.395589402   | 7254338.696142366   |
| 383907:9962  | 08/01/24 01:35:28 | 620  | 620  | 294280637.326708496 | 266086261.900986999 |
| 383908:9962  | 08/01/24 05:40:03 | 16   | 16   | 7796308.756044809   | 6825117.507792745   |
| 383948:9967  | 08/01/24 21:31:59 | 879  | 879  | 414425418.062838256 | 381120353.097724617 |
| 383949:9967  | 08/02/24 03:17:58 | 904  | 904  | 384625853.069920421 | 363972112.791172445 |
| 383996:9969  | 08/02/24 14:25:58 | 2194 | 2194 | 911065499.737165928 | 861802981.800796509 |
| 384014:9970  | 08/03/24 07:49:48 | 378  | 378  | 168047476.698884040 | 157862884.305918276 |
| 384029:9971  | 08/03/24 12:39:06 | 443  | 443  | 199430494.484079242 | 186765612.059796125 |
| 384052:9973  | 08/04/24 01:26:33 | 2140 | 2140 | 894796369.667706490 | 840207775.125159383 |
| 384069:9974  | 08/04/24 17:15:47 | 1191 | 1191 | 553029528.763768911 | 514999844.331925154 |
| 384070:9974  | 08/05/24 01:14:33 | 678  | 678  | 252832403.888921559 | 239685193.884931296 |
| 384124:9978  | 08/05/24 19:07:55 | 69   | 69   | 22908398.872475088  | 20280979.997898061  |
