#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+---------------------+---------------------+
| run:fill     | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+--------------+-------------------+------+------+---------------------+---------------------+
| 385836:10122 | 09/16/24 18:09:49 | 133  | 133  | 55084961.379106894  | 51838928.164911844  |
| 385842:10122 | 09/16/24 20:25:56 | 1945 | 1945 | 820106394.756384254 | 775502421.956164002 |
| 385863:10123 | 09/17/24 11:30:08 | 18   | 18   | 3415166.306372858   | 3182061.234499619   |
| 385882:10125 | 09/17/24 16:05:07 | 103  | 103  | 40211167.970742211  | 37882408.100947432  |
| 385887:10125 | 09/17/24 17:28:59 | 2    | 2    | 956551.944721852    | 670514.267277977    |
| 385888:10125 | 09/17/24 17:32:38 | 168  | 168  | 79325787.986401051  | 74568445.805333436  |
| 385889:10125 | 09/17/24 19:03:22 | 1635 | 1635 | 703396488.418933153 | 662574767.183730483 |
| 385908:10126 | 09/18/24 07:53:51 | 860  | 860  | 399746114.519218802 | 374010923.741027355 |
| 385915:10126 | 09/18/24 13:31:00 | 625  | 625  | 291410676.848098457 | 271180003.828743160 |
| 385933:10127 | 09/18/24 20:18:21 | 168  | 168  | 70899864.969418213  | 66001786.644666962  |
| 385934:10127 | 09/18/24 21:29:03 | 1227 | 1227 | 573318068.126761198 | 535336689.453687072 |
| 385986:10130 | 09/19/24 22:32:34 | 1990 | 1990 | 879836740.779095650 | 822546948.609845519 |
| 386006:10132 | 09/20/24 16:00:56 | 17   | 17   | 6286953.070042728   | 5508777.200291033   |
| 386008:10132 | 09/20/24 16:13:06 | 47   | 47   | 22094363.817883544  | 18711290.444960944  |
| 386010:10132 | 09/20/24 16:39:00 | 901  | 901  | 426554048.916360021 | 399767100.626704276 |
| 386025:10134 | 09/21/24 03:26:38 | 1855 | 1855 | 838099811.488117695 | 786410765.738639355 |
| 386279:10139 | 09/25/24 19:45:30 | 213  | 213  | 90608983.611010730  | 85630688.489626959  |
| 386285:10141 | 09/26/24 05:07:10 | 206  | 206  | 88821029.264828384  | 77891053.435579225  |
| 386308:10142 | 09/26/24 10:25:39 | 144  | 144  | 60664512.178065859  | 57026500.826247506  |
| 386313:10143 | 09/26/24 13:48:04 | 85   | 85   | 32404883.320741616  | 30763649.065916315  |
| 386319:10144 | 09/26/24 16:26:23 | 702  | 702  | 321985863.017845988 | 304880021.387918115 |
+--------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 13    | 21   | 13044 | 13044 | 5805228432.690152168 | 5441885746.206718445 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
