#Data tag : 24v2 , Norm tag: onlineresult
+--------------+-------------------+------+------+---------------------+---------------------+
| run:fill     | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+--------------+-------------------+------+------+---------------------+---------------------+
| 385836:10122 | 09/16/24 18:09:50 | 133  | 133  | 55086825.038039282  | 51907562.671142004  |
| 385842:10122 | 09/16/24 20:25:55 | 1945 | 1945 | 820143548.544377804 | 775533887.497579575 |
| 385863:10123 | 09/17/24 11:30:08 | 18   | 18   | 3417488.301508708   | 3195604.503547029   |
| 385882:10125 | 09/17/24 16:05:07 | 103  | 103  | 40212706.052370958  | 37840977.866679519  |
| 385887:10125 | 09/17/24 17:28:59 | 2    | 2    | 956560.869972104    | 670980.786153676    |
| 385888:10125 | 09/17/24 17:32:38 | 168  | 168  | 79326528.634029284  | 74569161.717254147  |
| 385889:10125 | 09/17/24 19:03:21 | 1635 | 1635 | 703403069.160283923 | 662574272.569047451 |
| 385908:10126 | 09/18/24 07:53:51 | 860  | 860  | 399750873.308652699 | 373962521.669573426 |
| 385915:10126 | 09/18/24 13:31:00 | 625  | 625  | 291413405.963176906 | 271180674.275099099 |
| 385933:10127 | 09/18/24 20:18:21 | 168  | 168  | 70901548.441328838  | 66005092.814484932  |
| 385934:10127 | 09/18/24 21:29:03 | 1227 | 1227 | 573376290.390448570 | 535382008.549764335 |
| 385986:10130 | 09/19/24 22:32:34 | 1990 | 1990 | 879837425.377114534 | 822260738.385833979 |
| 386006:10132 | 09/20/24 16:00:56 | 17   | 17   | 6287012.175276387   | 5499043.510305454   |
| 386008:10132 | 09/20/24 16:13:06 | 47   | 47   | 22094569.850375470  | 18708011.769710481  |
| 386010:10132 | 09/20/24 16:39:00 | 901  | 901  | 426526516.085135698 | 399745060.423529446 |
| 386025:10134 | 09/21/24 03:26:38 | 1855 | 1855 | 838109173.453048110 | 786420990.310543776 |
| 386279:10139 | 09/25/24 19:45:30 | 213  | 213  | 90639716.670040250  | 85656303.002459764  |
| 386285:10141 | 09/26/24 05:07:10 | 206  | 206  | 88832583.417249396  | 77880256.030560866  |
| 386308:10142 | 09/26/24 10:25:40 | 144  | 144  | 60680427.891439989  | 56995962.160362013  |
| 386313:10143 | 09/26/24 13:48:04 | 85   | 85   | 32406168.509528864  | 30800464.467939164  |
| 386319:10144 | 09/26/24 16:26:23 | 702  | 702  | 322012668.004120290 | 304852639.524630308 |
+--------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+----------------------+----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+-------+-------+----------------------+----------------------+
| 13    | 21   | 13044 | 13044 | 5805415106.137518883 | 5441642214.506200790 |
+-------+------+-------+-------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
