#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,hltpath,delivered(/ub),recorded(/ub),avgpu,source
385986:10130,34:34,09/19/24 22:32:34,HLT_Mu0_L1DoubleMu_v12,10111.962430911,4741.270400704,1.3,HFET
385986:10130,35:35,09/19/24 22:32:57,HLT_Mu0_L1DoubleMu_v12,42350.809774198,42149.508147426,5.5,HFET
385986:10130,36:36,09/19/24 22:33:20,HLT_Mu0_L1DoubleMu_v12,154277.997972405,152443.517531410,20.1,HFET
385986:10130,37:37,09/19/24 22:33:43,HLT_Mu0_L1DoubleMu_v12,294918.880038246,288845.089111418,38.5,HFET
385986:10130,38:38,09/19/24 22:34:07,HLT_Mu0_L1DoubleMu_v12,369152.319398959,359533.783836336,48.1,HFET
385986:10130,39:39,09/19/24 22:34:30,HLT_Mu0_L1DoubleMu_v12,289124.040577729,280369.075562820,37.7,HFET
385986:10130,40:40,09/19/24 22:34:53,HLT_Mu0_L1DoubleMu_v12,141221.855056079,107681.553338660,18.4,HFET
385986:10130,41:41,09/19/24 22:35:17,HLT_Mu0_L1DoubleMu_v12,43179.946064150,42912.382381599,5.6,HFET
385986:10130,42:42,09/19/24 22:35:40,HLT_Mu0_L1DoubleMu_v12,9472.614763444,9433.032513771,1.2,HFET
385986:10130,43:43,09/19/24 22:36:03,HLT_Mu0_L1DoubleMu_v12,77586.629408898,75701.825668126,10.1,HFET
385986:10130,44:44,09/19/24 22:36:27,HLT_Mu0_L1DoubleMu_v12,154927.451266758,152909.421115382,20.2,HFET
385986:10130,45:45,09/19/24 22:36:50,HLT_Mu0_L1DoubleMu_v12,13574.581047790,10271.544159596,1.8,HFET
385986:10130,46:46,09/19/24 22:37:13,HLT_Mu0_L1DoubleMu_v12,51281.650920289,50981.454972158,6.7,HFET
385986:10130,47:47,09/19/24 22:37:37,HLT_Mu0_L1DoubleMu_v12,129917.054036324,128527.709212024,16.9,HFET
385986:10130,48:48,09/19/24 22:38:00,HLT_Mu0_L1DoubleMu_v12,278340.594256538,272667.009332909,36.3,HFET
385986:10130,49:49,09/19/24 22:38:23,HLT_Mu0_L1DoubleMu_v12,363653.896969618,353594.198166044,47.4,HFET
385986:10130,50:50,09/19/24 22:38:47,HLT_Mu0_L1DoubleMu_v12,331735.153084987,292592.285627542,43.3,HFET
385986:10130,51:51,09/19/24 22:39:10,HLT_Mu0_L1DoubleMu_v12,212233.528553757,179732.792516452,27.7,HFET
385986:10130,52:52,09/19/24 22:39:33,HLT_Mu0_L1DoubleMu_v12,94296.349042214,93654.675349901,12.3,HFET
385986:10130,53:53,09/19/24 22:39:56,HLT_Mu0_L1DoubleMu_v12,30855.620647700,30675.456259471,4.0,HFET
385986:10130,54:54,09/19/24 22:40:20,HLT_Mu0_L1DoubleMu_v12,10578.598831089,10533.573602217,1.4,HFET
385986:10130,55:55,09/19/24 22:40:43,HLT_Mu0_L1DoubleMu_v12,328560.086046240,320831.520415455,42.8,HFET
385986:10130,56:56,09/19/24 22:41:06,HLT_Mu0_L1DoubleMu_v12,378233.304154535,363261.131179036,49.3,HFET
385986:10130,57:57,09/19/24 22:41:30,HLT_Mu0_L1DoubleMu_v12,378477.260988388,368375.443219359,49.4,HFET
385986:10130,58:58,09/19/24 22:41:53,HLT_Mu0_L1DoubleMu_v12,378201.904548617,368602.798354472,49.3,HFET
385986:10130,59:59,09/19/24 22:42:16,HLT_Mu0_L1DoubleMu_v12,376184.285310433,366116.395350011,49.1,HFET
385986:10130,60:60,09/19/24 22:42:40,HLT_Mu0_L1DoubleMu_v12,373421.674582222,364607.524672595,48.7,HFET
385986:10130,61:61,09/19/24 22:43:03,HLT_Mu0_L1DoubleMu_v12,372852.320183446,363727.642039257,48.6,HFET
385986:10130,62:62,09/19/24 22:43:26,HLT_Mu0_L1DoubleMu_v12,374806.660163640,365383.293789609,48.9,HFET
385986:10130,63:63,09/19/24 22:43:50,HLT_Mu0_L1DoubleMu_v12,375908.648707208,367019.107302825,49.0,HFET
385986:10130,64:64,09/19/24 22:44:13,HLT_Mu0_L1DoubleMu_v12,375769.010162330,366854.517817745,49.0,HFET
385986:10130,65:65,09/19/24 22:44:36,HLT_Mu0_L1DoubleMu_v12,374953.978627785,365590.396301914,48.9,HFET
385986:10130,66:66,09/19/24 22:45:00,HLT_Mu0_L1DoubleMu_v12,371752.291964871,363196.831930133,48.5,HFET
385986:10130,67:67,09/19/24 22:45:23,HLT_Mu0_L1DoubleMu_v12,371950.610008093,363373.709689626,48.5,HFET
385986:10130,68:68,09/19/24 22:45:46,HLT_Mu0_L1DoubleMu_v12,370746.262681351,361678.598748630,48.4,HFET
385986:10130,69:69,09/19/24 22:46:09,HLT_Mu0_L1DoubleMu_v12,369746.913084413,354303.080392462,48.2,HFET
385986:10130,70:70,09/19/24 22:46:33,HLT_Mu0_L1DoubleMu_v12,369441.316194539,360820.667822786,48.2,HFET
385986:10130,71:71,09/19/24 22:46:56,HLT_Mu0_L1DoubleMu_v12,369528.435560314,361013.789949634,48.2,HFET
385986:10130,72:72,09/19/24 22:47:19,HLT_Mu0_L1DoubleMu_v12,368723.924081579,360424.762582310,48.1,HFET
385986:10130,73:73,09/19/24 22:47:43,HLT_Mu0_L1DoubleMu_v12,368426.727180201,359549.176115613,48.0,HFET
385986:10130,74:74,09/19/24 22:48:06,HLT_Mu0_L1DoubleMu_v12,369077.680413987,360666.061891473,48.1,HFET
385986:10130,75:75,09/19/24 22:48:29,HLT_Mu0_L1DoubleMu_v12,369721.393634281,360701.505064855,48.2,HFET
385986:10130,76:76,09/19/24 22:48:53,HLT_Mu0_L1DoubleMu_v12,369681.594039866,361312.364558180,48.2,HFET
385986:10130,77:77,09/19/24 22:49:16,HLT_Mu0_L1DoubleMu_v12,369257.637920620,360930.691156516,48.2,HFET
385986:10130,78:78,09/19/24 22:49:39,HLT_Mu0_L1DoubleMu_v12,368957.321538435,359968.351812424,48.1,HFET
385986:10130,79:79,09/19/24 22:50:03,HLT_Mu0_L1DoubleMu_v12,368721.963756586,359717.829484261,48.1,HFET
385986:10130,80:80,09/19/24 22:50:26,HLT_Mu0_L1DoubleMu_v12,368121.210571083,359115.037983359,48.0,HFET
385986:10130,81:81,09/19/24 22:50:49,HLT_Mu0_L1DoubleMu_v12,367765.853538703,358912.336015983,48.0,HFET
385986:10130,82:82,09/19/24 22:51:12,HLT_Mu0_L1DoubleMu_v12,367157.100130100,353058.924696314,47.9,HFET
385986:10130,83:83,09/19/24 22:51:36,HLT_Mu0_L1DoubleMu_v12,366443.107661402,358050.143423814,47.8,HFET
385986:10130,84:84,09/19/24 22:51:59,HLT_Mu0_L1DoubleMu_v12,366692.865189477,357931.817949514,47.8,HFET
