#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
369802:8999,1000:1000,06/29/23 02:15:14,STABLE BEAMS,6800,236.000390680,232.126588888,0.5,HFET
369802:8999,1001:1001,06/29/23 02:15:37,STABLE BEAMS,6800,236.215374782,232.943955562,0.5,HFET
369802:8999,1002:1002,06/29/23 02:16:01,STABLE BEAMS,6800,236.299524111,232.688816129,0.5,HFET
369802:8999,1003:1003,06/29/23 02:16:24,STABLE BEAMS,6800,236.154993847,232.607932473,0.5,HFET
369802:8999,1004:1004,06/29/23 02:16:47,STABLE BEAMS,6800,236.185724958,232.308525132,0.5,HFET
369802:8999,1005:1005,06/29/23 02:17:11,STABLE BEAMS,6800,236.199667894,232.902733407,0.5,HFET
369802:8999,1006:1006,06/29/23 02:17:34,STABLE BEAMS,6800,236.213193115,232.612759014,0.5,HFET
369802:8999,1007:1007,06/29/23 02:17:57,STABLE BEAMS,6800,236.056313598,232.508871663,0.5,HFET
369802:8999,1008:1008,06/29/23 02:18:20,STABLE BEAMS,6800,236.444092566,232.866504243,0.5,HFET
369802:8999,1009:1009,06/29/23 02:18:44,STABLE BEAMS,6800,236.080803645,232.551171637,0.5,HFET
369802:8999,1010:1010,06/29/23 02:19:07,STABLE BEAMS,6800,235.790737419,232.243972156,0.5,HFET
369802:8999,1011:1011,06/29/23 02:19:30,STABLE BEAMS,6800,235.848746527,232.259666882,0.5,HFET
369802:8999,1012:1012,06/29/23 02:19:54,STABLE BEAMS,6800,236.136877737,232.240324154,0.5,HFET
369802:8999,1013:1013,06/29/23 02:20:17,STABLE BEAMS,6800,236.090383248,232.814368584,0.5,HFET
369802:8999,1014:1014,06/29/23 02:20:40,STABLE BEAMS,6800,236.213458862,232.380269644,0.5,HFET
369802:8999,1015:1015,06/29/23 02:21:04,STABLE BEAMS,6800,236.005170933,232.716776104,0.5,HFET
369802:8999,1016:1016,06/29/23 02:21:27,STABLE BEAMS,6800,235.085404972,231.488433622,0.5,HFET
369802:8999,1017:1017,06/29/23 02:21:50,STABLE BEAMS,6800,235.393055816,231.872948443,0.5,HFET
369802:8999,1018:1018,06/29/23 02:22:14,STABLE BEAMS,6800,235.292535233,231.435127387,0.5,HFET
369802:8999,1019:1019,06/29/23 02:22:37,STABLE BEAMS,6800,235.347414261,232.095041661,0.5,HFET
369802:8999,1020:1020,06/29/23 02:23:00,STABLE BEAMS,6800,235.073776576,231.448630900,0.5,HFET
369802:8999,1021:1021,06/29/23 02:23:23,STABLE BEAMS,6800,235.229366347,231.635902245,0.5,HFET
369802:8999,1022:1022,06/29/23 02:23:47,STABLE BEAMS,6800,235.255373695,231.388333965,0.5,HFET
369802:8999,1023:1023,06/29/23 02:24:10,STABLE BEAMS,6800,235.256341203,232.008317580,0.5,HFET
369802:8999,1024:1024,06/29/23 02:24:33,STABLE BEAMS,6800,235.375375721,231.590455179,0.5,HFET
369802:8999,1025:1025,06/29/23 02:24:57,STABLE BEAMS,6800,235.788328197,232.529330987,0.5,HFET
369802:8999,1026:1026,06/29/23 02:25:20,STABLE BEAMS,6800,235.753689659,232.120226116,0.5,HFET
369802:8999,1027:1027,06/29/23 02:25:43,STABLE BEAMS,6800,235.461896876,231.604440043,0.5,HFET
369802:8999,1028:1028,06/29/23 02:26:07,STABLE BEAMS,6800,234.867897870,231.607825921,0.5,HFET
369802:8999,1029:1029,06/29/23 02:26:30,STABLE BEAMS,6800,235.048110561,231.460500853,0.5,HFET
369802:8999,1030:1030,06/29/23 02:26:53,STABLE BEAMS,6800,235.337038215,231.807161121,0.5,HFET
369802:8999,1031:1031,06/29/23 02:27:17,STABLE BEAMS,6800,235.654838345,232.125746448,0.5,HFET
369802:8999,1032:1032,06/29/23 02:27:40,STABLE BEAMS,6800,235.786298498,232.245268804,0.5,HFET
369802:8999,1033:1033,06/29/23 02:28:03,STABLE BEAMS,6800,235.575354697,232.047687000,0.5,HFET
369802:8999,1034:1034,06/29/23 02:28:27,STABLE BEAMS,6800,235.400302578,231.805125587,0.5,HFET
369802:8999,1035:1035,06/29/23 02:28:50,STABLE BEAMS,6800,235.763686181,232.204996015,0.5,HFET
369802:8999,1036:1036,06/29/23 02:29:13,STABLE BEAMS,6800,236.484441469,232.865117494,0.5,HFET
369802:8999,1037:1037,06/29/23 02:29:36,STABLE BEAMS,6800,236.305594906,232.437063612,0.5,HFET
369802:8999,1038:1038,06/29/23 02:30:00,STABLE BEAMS,6800,236.461962025,233.185036733,0.5,HFET
369802:8999,1039:1039,06/29/23 02:30:23,STABLE BEAMS,6800,236.622844447,232.743206459,0.5,HFET
369802:8999,1040:1040,06/29/23 02:30:46,STABLE BEAMS,6800,236.193236671,232.918292144,0.5,HFET
