#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
275657:5038,1:1,06/24/16 03:32:32,STABLE BEAMS,6500,205136.367205886,167691.190547540,33.2,RAMSES
275657:5038,2:2,06/24/16 03:32:55,STABLE BEAMS,6500,205090.341721410,179732.661569288,33.2,RAMSES
275657:5038,3:3,06/24/16 03:33:18,STABLE BEAMS,6500,205151.940538170,180289.103783974,33.2,RAMSES
275657:5038,4:4,06/24/16 03:33:42,STABLE BEAMS,6500,204428.767856084,179555.922737466,33.1,RAMSES
275657:5038,5:5,06/24/16 03:34:05,STABLE BEAMS,6500,205109.571018026,179959.437024336,33.2,RAMSES
275657:5038,6:6,06/24/16 03:34:28,STABLE BEAMS,6500,204921.650802253,176187.735085997,33.2,RAMSES
275657:5038,7:7,06/24/16 03:34:52,STABLE BEAMS,6500,204567.862738101,180406.312579371,33.2,RAMSES
275657:5038,8:8,06/24/16 03:35:15,STABLE BEAMS,6500,204173.394162410,180249.542898573,33.1,RAMSES
275657:5038,9:9,06/24/16 03:35:38,STABLE BEAMS,6500,204637.699263074,193003.724860635,33.2,RAMSES
275657:5038,10:10,06/24/16 03:36:02,STABLE BEAMS,6500,203766.893059090,191904.826606287,33.0,RAMSES
275657:5038,11:11,06/24/16 03:36:25,STABLE BEAMS,6500,204333.268731518,193437.234998498,33.1,RAMSES
275657:5038,12:12,06/24/16 03:36:48,STABLE BEAMS,6500,204508.901694038,189736.072544070,33.1,RAMSES
275657:5038,13:13,06/24/16 03:37:12,STABLE BEAMS,6500,203524.709413674,193119.609247163,33.0,RAMSES
275657:5038,14:14,06/24/16 03:37:35,STABLE BEAMS,6500,204112.605254658,193192.889512204,33.1,RAMSES
275657:5038,15:15,06/24/16 03:37:58,STABLE BEAMS,6500,203692.150637070,193257.381482840,33.0,RAMSES
275657:5038,16:16,06/24/16 03:38:21,STABLE BEAMS,6500,203504.994124261,193266.711534137,33.0,RAMSES
275657:5038,17:17,06/24/16 03:38:45,STABLE BEAMS,6500,203580.685073420,193308.438349378,33.0,RAMSES
275657:5038,18:18,06/24/16 03:39:08,STABLE BEAMS,6500,204211.158717175,193103.000414889,33.1,RAMSES
275657:5038,19:19,06/24/16 03:39:31,STABLE BEAMS,6500,203575.362848073,193018.316707251,33.0,RAMSES
275657:5038,20:20,06/24/16 03:39:55,STABLE BEAMS,6500,202824.075091779,190645.052381585,32.9,RAMSES
275657:5038,21:21,06/24/16 03:40:18,STABLE BEAMS,6500,203309.229307076,193310.104027162,33.0,RAMSES
275657:5038,22:22,06/24/16 03:40:41,STABLE BEAMS,6500,202420.582120366,192806.151288609,32.8,RAMSES
275657:5038,23:23,06/24/16 03:41:05,STABLE BEAMS,6500,202892.384447777,193501.456829443,32.9,RAMSES
275657:5038,24:24,06/24/16 03:41:28,STABLE BEAMS,6500,202886.506802092,193128.378889828,32.9,RAMSES
275657:5038,25:25,06/24/16 03:41:51,STABLE BEAMS,6500,203560.229302541,190606.778944392,33.0,RAMSES
275657:5038,26:26,06/24/16 03:42:15,STABLE BEAMS,6500,202505.228274659,192712.198133214,32.8,RAMSES
275657:5038,27:27,06/24/16 03:42:38,STABLE BEAMS,6500,202330.081304934,191640.138280340,32.8,RAMSES
275657:5038,28:28,06/24/16 03:43:01,STABLE BEAMS,6500,202462.720136384,192474.997351659,32.8,RAMSES
275657:5038,29:29,06/24/16 03:43:25,STABLE BEAMS,6500,202434.072626383,192909.890529750,32.8,RAMSES
275657:5038,30:30,06/24/16 03:43:48,STABLE BEAMS,6500,202562.152935452,190632.356199138,32.8,RAMSES
275657:5038,31:31,06/24/16 03:44:11,STABLE BEAMS,6500,202976.128280974,192680.406527418,32.9,RAMSES
275657:5038,32:32,06/24/16 03:44:34,STABLE BEAMS,6500,202669.962297816,192308.244307558,32.8,RAMSES
275657:5038,33:33,06/24/16 03:44:58,STABLE BEAMS,6500,202328.646785000,192554.987924304,32.8,RAMSES
