#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
277981:5151,82:82,08/01/16 11:52:59,STABLE BEAMS,6500,65834.070967170,12782.514848409,34.8,HFOC
277981:5151,84:84,08/01/16 11:53:46,STABLE BEAMS,6500,65770.281954502,39843.195949837,34.7,HFOC
277981:5151,85:85,08/01/16 11:54:09,STABLE BEAMS,6500,65751.786098011,62784.979479631,34.7,HFOC
277981:5151,86:86,08/01/16 11:54:33,STABLE BEAMS,6500,65707.698411699,62737.895890327,34.7,HFOC
277981:5151,87:87,08/01/16 11:54:56,STABLE BEAMS,6500,65653.130912731,62693.096537612,34.7,HFOC
277981:5151,88:88,08/01/16 11:55:19,STABLE BEAMS,6500,65614.913793135,61777.115043925,34.6,HFOC
277981:5151,89:89,08/01/16 11:55:43,STABLE BEAMS,6500,65575.165832858,61667.667952744,34.6,HFOC
277981:5151,90:90,08/01/16 11:56:06,STABLE BEAMS,6500,65556.557593232,62615.770411712,34.6,HFOC
277981:5151,91:91,08/01/16 11:56:29,STABLE BEAMS,6500,65543.656443323,62605.909221489,34.6,HFOC
277981:5151,92:92,08/01/16 11:56:53,STABLE BEAMS,6500,65516.096139060,62586.765128403,34.6,HFOC
277981:5151,93:93,08/01/16 11:57:16,STABLE BEAMS,6500,65495.700691089,62153.790160828,34.6,HFOC
277981:5151,94:94,08/01/16 11:57:39,STABLE BEAMS,6500,65460.331218688,62532.092088275,34.6,HFOC
277981:5151,95:95,08/01/16 11:58:02,STABLE BEAMS,6500,65442.148831121,62289.270257282,34.6,HFOC
277981:5151,96:96,08/01/16 11:58:26,STABLE BEAMS,6500,65416.006023597,62510.331570807,34.5,HFOC
277981:5151,97:97,08/01/16 11:58:49,STABLE BEAMS,6500,65387.423495687,62494.279419791,34.5,HFOC
277981:5151,98:98,08/01/16 11:59:12,STABLE BEAMS,6500,65375.364813053,62473.543278142,34.5,HFOC
277981:5151,99:99,08/01/16 11:59:36,STABLE BEAMS,6500,65376.045617266,61359.314688039,34.5,HFOC
277981:5151,100:100,08/01/16 11:59:59,STABLE BEAMS,6500,65356.428656013,62459.005005298,34.5,HFOC
