#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
278167:5161,87:87,08/03/16 18:39:02,STABLE BEAMS,6500,213233.166035502,17676.887871757,31.5,HFOC
278167:5161,88:88,08/03/16 18:39:26,STABLE BEAMS,6500,213334.217330282,183341.382943511,31.5,HFOC
278167:5161,89:89,08/03/16 18:39:49,STABLE BEAMS,6500,213543.035522179,203144.993983769,31.6,HFOC
278167:5161,90:90,08/03/16 18:40:12,STABLE BEAMS,6500,213308.197605591,200421.935304628,31.5,HFOC
278167:5161,91:91,08/03/16 18:40:36,STABLE BEAMS,6500,213160.843411048,202379.061692669,31.5,HFOC
278167:5161,92:92,08/03/16 18:40:59,STABLE BEAMS,6500,213007.160806206,201805.375261311,31.5,HFOC
278167:5161,93:93,08/03/16 18:41:22,STABLE BEAMS,6500,212977.999487822,203576.652966706,31.5,HFOC
278167:5161,94:94,08/03/16 18:41:45,STABLE BEAMS,6500,212865.247347495,201774.028790498,31.5,HFOC
278167:5161,95:95,08/03/16 18:42:09,STABLE BEAMS,6500,212913.052626968,202118.932513235,31.5,HFOC
278167:5161,96:96,08/03/16 18:42:32,STABLE BEAMS,6500,163176.068102048,156244.924276814,31.5,HFOC
278167:5161,97:97,08/03/16 18:42:55,STABLE BEAMS,6500,81576.970405622,80131.127493404,7.4,HFOC
278167:5161,98:98,08/03/16 18:43:19,STABLE BEAMS,6500,165730.601504000,161329.280722486,16.6,HFOC
278167:5161,99:99,08/03/16 18:43:42,STABLE BEAMS,6500,205277.770821728,196668.717586209,30.6,HFOC
278167:5161,100:100,08/03/16 18:44:05,STABLE BEAMS,6500,145280.514959240,141814.732666842,25.9,HFOC
278167:5161,101:101,08/03/16 18:44:29,STABLE BEAMS,6500,63915.754463868,62928.102630201,15.3,HFOC
278167:5161,102:102,08/03/16 18:44:52,STABLE BEAMS,6500,97195.499842778,93683.101586853,6.4,HFOC
278167:5161,103:103,08/03/16 18:45:15,STABLE BEAMS,6500,20986.415238156,20735.891241921,1.0,HFOC
278167:5161,104:104,08/03/16 18:45:39,STABLE BEAMS,6500,107651.989196840,105473.637687856,4.9,HFOC
278167:5161,105:105,08/03/16 18:46:02,STABLE BEAMS,6500,195373.444124289,187119.004017200,30.7,HFOC
278167:5161,106:106,08/03/16 18:46:25,STABLE BEAMS,6500,91560.727883373,89784.089165010,20.7,HFOC
278167:5161,107:107,08/03/16 18:46:49,STABLE BEAMS,6500,16648.517421936,16451.885359384,5.9,HFOC
278167:5161,108:108,08/03/16 18:47:12,STABLE BEAMS,6500,182130.349275622,174242.632712899,1.7,HFOC
278167:5161,109:109,08/03/16 18:47:35,STABLE BEAMS,6500,211032.118685813,202916.074673984,31.2,HFOC
278167:5161,110:110,08/03/16 18:47:58,STABLE BEAMS,6500,211093.354936856,200620.281595250,31.2,HFOC
278167:5161,111:111,08/03/16 18:48:22,STABLE BEAMS,6500,211231.170826825,201545.724185956,31.2,HFOC
278167:5161,112:112,08/03/16 18:48:45,STABLE BEAMS,6500,210809.641776035,201727.816802773,31.2,HFOC
278167:5161,113:113,08/03/16 18:49:08,STABLE BEAMS,6500,210706.951500380,198571.277869527,31.2,HFOC
278167:5161,114:114,08/03/16 18:49:32,STABLE BEAMS,6500,210509.310593932,199651.063226337,31.2,HFOC
278167:5161,115:115,08/03/16 18:49:55,STABLE BEAMS,6500,210395.647701467,201680.216425047,31.1,HFOC
278167:5161,116:116,08/03/16 18:50:18,STABLE BEAMS,6500,210006.671920522,194539.583057479,31.1,HFOC
278167:5161,117:117,08/03/16 18:50:42,STABLE BEAMS,6500,209494.859290015,201775.485714189,31.0,HFOC
278167:5161,118:118,08/03/16 18:51:05,STABLE BEAMS,6500,210074.874131671,201444.786647778,31.0,HFOC
278167:5161,119:119,08/03/16 18:51:28,STABLE BEAMS,6500,210360.658921427,201610.853337101,31.1,HFOC
278167:5161,120:120,08/03/16 18:51:52,STABLE BEAMS,6500,209848.459098879,201136.533530521,31.1,HFOC
278167:5161,121:121,08/03/16 18:52:15,STABLE BEAMS,6500,209698.987819382,201322.769405207,31.0,HFOC
278167:5161,122:122,08/03/16 18:52:38,STABLE BEAMS,6500,209568.752594762,201431.127929898,31.0,HFOC
278167:5161,123:123,08/03/16 18:53:01,STABLE BEAMS,6500,209343.794485661,196130.498272078,31.0,HFOC
278167:5161,124:124,08/03/16 18:53:25,STABLE BEAMS,6500,209449.398608698,197785.290382772,31.0,HFOC
278167:5161,125:125,08/03/16 18:53:48,STABLE BEAMS,6500,205765.794802208,198539.885709587,31.0,HFOC
278167:5161,126:126,08/03/16 18:54:11,STABLE BEAMS,6500,203415.754043992,194299.850809719,30.9,HFOC
