#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
303824:6239,54:54,09/24/17 02:56:57,STABLE BEAMS,6500,206571.040955295,198783.395587582,46.8,AVG
303824:6239,55:55,09/24/17 02:57:20,STABLE BEAMS,6500,206334.700658997,198836.306612383,46.8,AVG
303824:6239,56:56,09/24/17 02:57:44,STABLE BEAMS,6500,206007.507533756,198877.722859538,46.7,AVG
303824:6239,57:57,09/24/17 02:58:07,STABLE BEAMS,6500,205708.473829615,198969.952784582,46.6,AVG
303824:6239,58:58,09/24/17 02:58:30,STABLE BEAMS,6500,205622.469875824,195739.605954379,46.6,AVG
303824:6239,59:59,09/24/17 02:58:54,STABLE BEAMS,6500,205224.388205257,198006.250450576,46.5,AVG
303824:6239,60:60,09/24/17 02:59:17,STABLE BEAMS,6500,205115.096083865,194865.132335202,46.5,AVG
303824:6239,61:61,09/24/17 02:59:40,STABLE BEAMS,6500,204786.491490952,198017.550947491,46.4,AVG
303824:6239,62:62,09/24/17 03:00:03,STABLE BEAMS,6500,204581.361297409,194840.826608467,46.4,AVG
303824:6239,63:63,09/24/17 03:00:27,STABLE BEAMS,6500,204278.503226857,197952.327932559,46.3,AVG
303824:6239,64:64,09/24/17 03:00:50,STABLE BEAMS,6500,204177.338175475,197625.939086652,46.3,AVG
303824:6239,65:65,09/24/17 03:01:13,STABLE BEAMS,6500,204021.492796553,197454.784520164,46.3,AVG
303824:6239,66:66,09/24/17 03:01:37,STABLE BEAMS,6500,84475.628250967,82994.912111118,19.2,AVG
303824:6239,67:67,09/24/17 03:02:00,STABLE BEAMS,6500,95406.761664546,93866.117191607,21.6,AVG
303824:6239,68:68,09/24/17 03:02:23,STABLE BEAMS,6500,186152.870130573,181004.880136449,42.2,AVG
303824:6239,69:69,09/24/17 03:02:47,STABLE BEAMS,6500,150545.723422067,147463.129226914,34.1,AVG
303824:6239,70:70,09/24/17 03:03:10,STABLE BEAMS,6500,47267.433365313,46771.289035186,10.7,AVG
303824:6239,71:71,09/24/17 03:03:33,STABLE BEAMS,6500,111046.313927794,108866.556282281,25.2,AVG
303824:6239,72:72,09/24/17 03:03:57,STABLE BEAMS,6500,35533.700038285,35180.475062604,8.1,AVG
303824:6239,73:73,09/24/17 03:04:20,STABLE BEAMS,6500,120742.084213383,95584.835501936,27.4,AVG
303824:6239,74:74,09/24/17 03:04:43,STABLE BEAMS,6500,189970.556605766,184812.842278045,43.1,AVG
303824:6239,75:75,09/24/17 03:05:07,STABLE BEAMS,6500,109020.859916613,107279.203110652,24.7,AVG
303824:6239,76:76,09/24/17 03:05:30,STABLE BEAMS,6500,76719.017803568,75629.459629350,17.4,AVG
303824:6239,77:77,09/24/17 03:05:53,STABLE BEAMS,6500,200657.934098013,192287.651371554,45.5,AVG
303824:6239,78:78,09/24/17 03:06:16,STABLE BEAMS,6500,198481.768207674,192616.155203930,45.0,AVG
303824:6239,79:79,09/24/17 03:06:40,STABLE BEAMS,6500,195654.197981709,187890.403896837,44.4,AVG
303824:6239,80:80,09/24/17 03:07:03,STABLE BEAMS,6500,190503.221427463,183159.902628549,43.2,AVG
303824:6239,81:81,09/24/17 03:07:26,STABLE BEAMS,6500,188692.174367459,183586.547532704,42.8,AVG
303824:6239,82:82,09/24/17 03:07:50,STABLE BEAMS,6500,197343.204954579,186683.783157463,44.7,AVG
303824:6239,83:83,09/24/17 03:08:13,STABLE BEAMS,6500,202496.275749215,196572.671735614,45.9,AVG
303824:6239,84:84,09/24/17 03:08:36,STABLE BEAMS,6500,202265.694847098,196319.347071927,45.9,AVG
303824:6239,85:85,09/24/17 03:09:00,STABLE BEAMS,6500,202079.003712897,190832.595090489,45.8,AVG
303824:6239,86:86,09/24/17 03:09:23,STABLE BEAMS,6500,201851.450414764,195910.603518844,45.8,AVG
303824:6239,87:87,09/24/17 03:09:46,STABLE BEAMS,6500,201623.441857115,195404.251222476,45.7,AVG
303824:6239,88:88,09/24/17 03:10:10,STABLE BEAMS,6500,201442.146002727,195576.765673711,45.7,AVG
303824:6239,89:89,09/24/17 03:10:33,STABLE BEAMS,6500,201329.553075020,195160.117579374,45.6,AVG
303824:6239,90:90,09/24/17 03:10:56,STABLE BEAMS,6500,201170.589180076,195023.519327464,45.6,AVG
303824:6239,91:91,09/24/17 03:11:20,STABLE BEAMS,6500,201028.129316703,195197.421443887,45.6,AVG
303824:6239,92:92,09/24/17 03:11:43,STABLE BEAMS,6500,200774.715506500,194962.791939060,45.5,AVG
303824:6239,93:93,09/24/17 03:12:06,STABLE BEAMS,6500,200693.241769511,194938.863008705,45.5,AVG
303824:6239,94:94,09/24/17 03:12:29,STABLE BEAMS,6500,200516.020639302,194156.586688815,45.5,AVG
303824:6239,95:95,09/24/17 03:12:53,STABLE BEAMS,6500,200370.442026799,191550.765734561,45.4,AVG
303824:6239,96:96,09/24/17 03:13:16,STABLE BEAMS,6500,200131.096737972,194055.041291650,45.4,AVG
303824:6239,97:97,09/24/17 03:13:39,STABLE BEAMS,6500,200030.614692417,194572.397412076,45.4,AVG
303824:6239,98:98,09/24/17 03:14:03,STABLE BEAMS,6500,199619.944268728,193984.440046003,45.3,AVG
303824:6239,99:99,09/24/17 03:14:26,STABLE BEAMS,6500,199755.461016558,193823.878031396,45.3,AVG
303824:6239,100:100,09/24/17 03:14:49,STABLE BEAMS,6500,199651.655087018,194012.809418909,45.3,AVG
303824:6239,101:101,09/24/17 03:15:13,STABLE BEAMS,6500,199454.537973775,193501.541382486,45.2,AVG
303824:6239,102:102,09/24/17 03:15:36,STABLE BEAMS,6500,199311.508861178,193591.139801628,45.2,AVG
303824:6239,103:103,09/24/17 03:15:59,STABLE BEAMS,6500,199079.926294885,193185.726902007,45.1,AVG
303824:6239,104:104,09/24/17 03:16:23,STABLE BEAMS,6500,199050.332561549,193374.147989715,45.1,AVG
303824:6239,105:105,09/24/17 03:16:46,STABLE BEAMS,6500,198738.345989918,193291.459014816,45.1,AVG
303824:6239,106:106,09/24/17 03:17:09,STABLE BEAMS,6500,198430.707577904,192593.406625773,45.0,AVG
303824:6239,107:107,09/24/17 03:17:32,STABLE BEAMS,6500,198598.572460724,192563.928314973,45.0,AVG
303824:6239,108:108,09/24/17 03:17:56,STABLE BEAMS,6500,198479.491676991,192907.588041842,45.0,AVG
303824:6239,109:109,09/24/17 03:18:19,STABLE BEAMS,6500,198229.014558733,192409.794191469,44.9,AVG
303824:6239,110:110,09/24/17 03:18:42,STABLE BEAMS,6500,198177.088865953,192742.366726651,44.9,AVG
303824:6239,111:111,09/24/17 03:19:06,STABLE BEAMS,6500,197848.484273041,192143.512090158,44.9,AVG
303824:6239,112:112,09/24/17 03:19:29,STABLE BEAMS,6500,197700.333549177,192579.507002429,44.8,AVG
303824:6239,113:113,09/24/17 03:19:52,STABLE BEAMS,6500,197706.912317242,191717.698214148,44.8,AVG
303824:6239,114:114,09/24/17 03:20:16,STABLE BEAMS,6500,197631.083984725,192238.649857272,44.8,AVG
