#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
304158:6258,165:165,09/30/17 06:34:03,STABLE BEAMS,6500,298531.746141789,238080.294435172,47.8,HFET
304158:6258,166:166,09/30/17 06:34:26,STABLE BEAMS,6500,298280.129592651,280944.900909537,47.7,HFET
304158:6258,167:167,09/30/17 06:34:49,STABLE BEAMS,6500,297987.856713760,285352.710479509,47.7,HFET
304158:6258,168:168,09/30/17 06:35:13,STABLE BEAMS,6500,297672.184474853,285103.303792225,47.6,HFET
304158:6258,169:169,09/30/17 06:35:36,STABLE BEAMS,6500,297441.466039139,284502.025557237,47.6,HFET
304158:6258,170:170,09/30/17 06:35:59,STABLE BEAMS,6500,297269.845090490,284790.473137285,47.6,HFET
304158:6258,171:171,09/30/17 06:36:23,STABLE BEAMS,6500,296988.703108599,284250.341406840,47.5,HFET
304158:6258,172:172,09/30/17 06:36:46,STABLE BEAMS,6500,296789.265407302,280608.990252252,47.5,HFET
304158:6258,173:173,09/30/17 06:37:09,STABLE BEAMS,6500,296566.833953543,284437.352131822,47.4,HFET
304158:6258,174:174,09/30/17 06:37:33,STABLE BEAMS,6500,296374.564316805,283908.351298377,47.4,HFET
304158:6258,175:175,09/30/17 06:37:56,STABLE BEAMS,6500,285159.962971801,271507.951602460,47.4,HFET
304158:6258,176:176,09/30/17 06:38:19,STABLE BEAMS,6500,291145.574277614,280805.173768793,47.3,HFET
304158:6258,177:177,09/30/17 06:38:42,STABLE BEAMS,6500,276582.029859431,267883.102148367,47.3,HFET
304158:6258,178:178,09/30/17 06:39:06,STABLE BEAMS,6500,284575.531436837,274905.451028414,47.3,HFET
304158:6258,179:179,09/30/17 06:39:29,STABLE BEAMS,6500,294914.113704891,283290.638964154,46.1,HFET
304158:6258,180:180,09/30/17 06:39:52,STABLE BEAMS,6500,296173.828205114,279837.319546671,47.3,HFET
304158:6258,181:181,09/30/17 06:40:16,STABLE BEAMS,6500,133305.808784791,129023.682310505,47.4,HFET
304158:6258,182:182,09/30/17 06:40:39,STABLE BEAMS,6500,112007.781229562,110426.040205168,4.7,HFET
304158:6258,183:183,09/30/17 06:41:02,STABLE BEAMS,6500,259158.313459017,251164.014652967,36.4,HFET
304158:6258,184:184,09/30/17 06:41:26,STABLE BEAMS,6500,243810.214467668,237515.553515278,47.3,HFET
304158:6258,185:185,09/30/17 06:41:49,STABLE BEAMS,6500,79101.879206265,78169.026818220,18.0,HFET
304158:6258,186:186,09/30/17 06:42:12,STABLE BEAMS,6500,168753.285747962,163285.781216110,4.5,HFET
304158:6258,187:187,09/30/17 06:42:36,STABLE BEAMS,6500,56340.001628212,55715.647353712,5.4,HFET
