#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
315257:6615,1:1,04/26/18 21:09:40,STABLE BEAMS,6500,94733.037024866,91254.264838661,49.0,AVG
315257:6615,2:2,04/26/18 21:10:03,STABLE BEAMS,6500,94803.646540168,92909.100583259,49.0,AVG
315257:6615,3:3,04/26/18 21:10:27,STABLE BEAMS,6500,94564.124788744,92674.589809626,48.9,AVG
315257:6615,4:4,04/26/18 21:10:50,STABLE BEAMS,6500,94604.770861754,92677.631406049,48.9,AVG
315257:6615,5:5,04/26/18 21:11:13,STABLE BEAMS,6500,94493.452800554,92600.984324150,48.9,AVG
315257:6615,6:6,04/26/18 21:11:37,STABLE BEAMS,6500,94524.850555081,92637.627005722,48.9,AVG
315257:6615,7:7,04/26/18 21:12:00,STABLE BEAMS,6500,94437.634207672,92558.232256426,48.8,AVG
315257:6615,8:8,04/26/18 21:12:23,STABLE BEAMS,6500,94509.791791811,92633.425035102,48.9,AVG
315257:6615,9:9,04/26/18 21:12:46,STABLE BEAMS,6500,94389.328212664,92519.114808125,48.8,AVG
315257:6615,10:10,04/26/18 21:13:10,STABLE BEAMS,6500,94325.030090792,89678.950022835,48.8,AVG
315257:6615,11:11,04/26/18 21:13:33,STABLE BEAMS,6500,94221.821849626,92358.764212101,48.7,AVG
315257:6615,12:12,04/26/18 21:13:56,STABLE BEAMS,6500,94223.768066570,92367.993330948,48.7,AVG
315257:6615,13:13,04/26/18 21:14:20,STABLE BEAMS,6500,94181.938505307,90982.419969898,48.7,AVG
315257:6615,14:14,04/26/18 21:14:43,STABLE BEAMS,6500,94057.951968121,92178.452609539,48.7,AVG
315257:6615,15:15,04/26/18 21:15:06,STABLE BEAMS,6500,94022.655718905,92143.065337611,48.6,AVG
315257:6615,16:16,04/26/18 21:15:30,STABLE BEAMS,6500,94086.925401626,92209.498276411,48.7,AVG
315257:6615,17:17,04/26/18 21:15:53,STABLE BEAMS,6500,93996.140873267,92126.362664502,48.6,AVG
315257:6615,18:18,04/26/18 21:16:16,STABLE BEAMS,6500,93919.868703517,92052.114685863,48.6,AVG
315257:6615,19:19,04/26/18 21:16:40,STABLE BEAMS,6500,93866.861623696,92008.668781704,48.6,AVG
315257:6615,20:20,04/26/18 21:17:03,STABLE BEAMS,6500,93762.042840806,91906.817264136,48.5,AVG
315257:6615,21:21,04/26/18 21:17:26,STABLE BEAMS,6500,93675.020205970,91820.620185308,48.5,AVG
315257:6615,22:22,04/26/18 21:17:50,STABLE BEAMS,6500,93722.705901147,91870.622549519,48.5,AVG
315257:6615,23:23,04/26/18 21:18:13,STABLE BEAMS,6500,93590.330747010,91731.220830315,48.4,AVG
315257:6615,24:24,04/26/18 21:18:36,STABLE BEAMS,6500,93580.234615493,91736.193092277,48.4,AVG
315257:6615,25:25,04/26/18 21:19:00,STABLE BEAMS,6500,93518.696722969,91669.696729794,48.4,AVG
315257:6615,26:26,04/26/18 21:19:23,STABLE BEAMS,6500,93506.432455892,91655.699864760,48.4,AVG
315257:6615,27:27,04/26/18 21:19:46,STABLE BEAMS,6500,93427.542252546,91587.569229660,48.3,AVG
315257:6615,28:28,04/26/18 21:20:09,STABLE BEAMS,6500,93370.676772576,91521.419464009,48.3,AVG
315257:6615,29:29,04/26/18 21:20:33,STABLE BEAMS,6500,93307.789885268,91470.967276131,48.3,AVG
315257:6615,30:30,04/26/18 21:20:56,STABLE BEAMS,6500,93215.821635548,91376.310436340,48.2,AVG
315257:6615,31:31,04/26/18 21:21:19,STABLE BEAMS,6500,93182.807511601,91353.533366633,48.2,AVG
315257:6615,32:32,04/26/18 21:21:43,STABLE BEAMS,6500,93132.486765959,91293.109833252,48.2,AVG
315257:6615,33:33,04/26/18 21:22:06,STABLE BEAMS,6500,93065.473870758,91238.670381462,48.1,AVG
315257:6615,34:34,04/26/18 21:22:29,STABLE BEAMS,6500,92985.206699693,91167.033338942,48.1,AVG
315257:6615,35:35,04/26/18 21:22:53,STABLE BEAMS,6500,92905.041629841,91088.098148759,48.1,AVG
315257:6615,36:36,04/26/18 21:23:16,STABLE BEAMS,6500,92895.742260752,89784.577830982,48.1,AVG
315257:6615,37:37,04/26/18 21:23:39,STABLE BEAMS,6500,92779.973938723,90962.479946763,48.0,AVG
315257:6615,38:38,04/26/18 21:24:03,STABLE BEAMS,6500,92718.145593892,90896.774487042,48.0,AVG
315257:6615,39:39,04/26/18 21:24:26,STABLE BEAMS,6500,92698.186904863,90883.180998095,47.9,AVG
315257:6615,40:40,04/26/18 21:24:49,STABLE BEAMS,6500,92604.158448490,90784.653431723,47.9,AVG
315257:6615,41:41,04/26/18 21:25:12,STABLE BEAMS,6500,92609.798258375,90802.798162220,47.9,AVG
315257:6615,42:42,04/26/18 21:25:36,STABLE BEAMS,6500,92461.345659923,90659.213766706,47.8,AVG
315257:6615,43:43,04/26/18 21:25:59,STABLE BEAMS,6500,92390.218412218,90595.124964094,47.8,AVG
315257:6615,44:44,04/26/18 21:26:22,STABLE BEAMS,6500,92397.912601061,90597.582765727,47.8,AVG
315257:6615,45:45,04/26/18 21:26:46,STABLE BEAMS,6500,92303.343567722,90520.346767988,47.7,AVG
315257:6615,46:46,04/26/18 21:27:09,STABLE BEAMS,6500,92305.341068379,90518.196683558,47.7,AVG
315257:6615,47:47,04/26/18 21:27:32,STABLE BEAMS,6500,92180.062647818,90401.947512504,47.7,AVG
315257:6615,48:48,04/26/18 21:27:56,STABLE BEAMS,6500,92074.862500582,90294.561601751,47.6,AVG
315257:6615,49:49,04/26/18 21:28:19,STABLE BEAMS,6500,92086.961960452,90314.639411021,47.6,AVG
315257:6615,50:50,04/26/18 21:28:42,STABLE BEAMS,6500,92136.855885729,90363.040020100,47.7,AVG
315257:6615,51:51,04/26/18 21:29:06,STABLE BEAMS,6500,92112.782377982,90340.770473670,47.6,AVG
315257:6615,52:52,04/26/18 21:29:29,STABLE BEAMS,6500,91937.991396489,90168.927259123,47.6,AVG
315257:6615,53:53,04/26/18 21:29:52,STABLE BEAMS,6500,92126.998922805,90358.229095187,47.7,AVG
315257:6615,54:54,04/26/18 21:30:16,STABLE BEAMS,6500,92039.606112798,90262.995803401,47.6,AVG
315257:6615,55:55,04/26/18 21:30:39,STABLE BEAMS,6500,92035.150024273,90264.551854194,47.6,AVG
315257:6615,56:56,04/26/18 21:31:02,STABLE BEAMS,6500,92178.503389807,90408.642212252,47.7,AVG
315257:6615,57:57,04/26/18 21:31:25,STABLE BEAMS,6500,91983.452077805,90213.824157776,47.6,AVG
315257:6615,58:58,04/26/18 21:31:49,STABLE BEAMS,6500,91925.772585430,90160.450768769,47.5,AVG
315257:6615,59:59,04/26/18 21:32:12,STABLE BEAMS,6500,91841.788976861,37818.617283557,47.5,AVG
315257:6615,60:60,04/26/18 21:32:35,STABLE BEAMS,6500,91826.582423251,44131.543485887,47.5,AVG
315257:6615,61:61,04/26/18 21:32:59,STABLE BEAMS,6500,91895.689558842,70493.159383917,47.5,AVG
315257:6615,62:62,04/26/18 21:33:22,STABLE BEAMS,6500,91817.624557075,90030.594813583,47.5,AVG
315257:6615,63:63,04/26/18 21:33:45,STABLE BEAMS,6500,91812.969161389,90038.444515643,47.5,AVG
315257:6615,64:64,04/26/18 21:34:09,STABLE BEAMS,6500,91720.511385309,89938.672419673,47.4,AVG
315257:6615,65:65,04/26/18 21:34:32,STABLE BEAMS,6500,91702.982844997,89930.608914354,47.4,AVG
315257:6615,66:66,04/26/18 21:34:55,STABLE BEAMS,6500,91584.004628692,89806.965439910,47.4,AVG
315257:6615,67:67,04/26/18 21:35:19,STABLE BEAMS,6500,91577.585073248,89807.721058757,47.4,AVG
315257:6615,68:68,04/26/18 21:35:42,STABLE BEAMS,6500,91611.976398021,89835.349874527,47.4,AVG
315257:6615,69:69,04/26/18 21:36:05,STABLE BEAMS,6500,91499.559932913,89738.815994660,47.3,AVG
315257:6615,70:70,04/26/18 21:36:29,STABLE BEAMS,6500,91429.940659505,89658.347088582,47.3,AVG
315257:6615,71:71,04/26/18 21:36:52,STABLE BEAMS,6500,91368.909077102,89612.731579861,47.3,AVG
315257:6615,72:72,04/26/18 21:37:15,STABLE BEAMS,6500,91341.694208769,89594.602637531,47.2,AVG
315257:6615,73:73,04/26/18 21:37:38,STABLE BEAMS,6500,91401.849305880,89643.492126552,47.3,AVG
315257:6615,74:74,04/26/18 21:38:02,STABLE BEAMS,6500,91242.526658045,89499.505716646,47.2,AVG
315257:6615,75:75,04/26/18 21:38:25,STABLE BEAMS,6500,91179.622753869,89430.588879293,47.2,AVG
315257:6615,76:76,04/26/18 21:38:48,STABLE BEAMS,6500,91188.040043078,89444.237639267,47.2,AVG
315257:6615,77:77,04/26/18 21:39:12,STABLE BEAMS,6500,91114.209211219,89378.235212191,47.1,AVG
315257:6615,78:78,04/26/18 21:39:35,STABLE BEAMS,6500,91046.177634973,89310.214696977,47.1,AVG
315257:6615,79:79,04/26/18 21:39:58,STABLE BEAMS,6500,90991.816198889,85202.257116153,47.1,AVG
315257:6615,80:80,04/26/18 21:40:22,STABLE BEAMS,6500,90928.223927407,89173.287801104,47.0,AVG
315257:6615,81:81,04/26/18 21:40:45,STABLE BEAMS,6500,90909.039156243,89160.227679082,47.0,AVG
315257:6615,82:82,04/26/18 21:41:08,STABLE BEAMS,6500,90868.603812676,89122.686562897,47.0,AVG
315257:6615,83:83,04/26/18 21:41:32,STABLE BEAMS,6500,90781.353431529,89041.539278260,47.0,AVG
315257:6615,84:84,04/26/18 21:41:55,STABLE BEAMS,6500,90706.008797678,88971.597361451,46.9,AVG
315257:6615,85:85,04/26/18 21:42:18,STABLE BEAMS,6500,90685.224907071,88813.765573715,46.9,AVG
315257:6615,86:86,04/26/18 21:42:41,STABLE BEAMS,6500,90620.750322601,88884.826859689,46.9,AVG
315257:6615,87:87,04/26/18 21:43:05,STABLE BEAMS,6500,90595.959775290,88864.780188354,46.9,AVG
315257:6615,88:88,04/26/18 21:43:28,STABLE BEAMS,6500,90558.500985101,88827.395538234,46.8,AVG
315257:6615,91:91,04/26/18 21:44:38,STABLE BEAMS,6500,90427.889990723,88705.494515943,46.8,AVG
