#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
316199:6675,33:33,05/12/18 18:55:11,STABLE BEAMS,6500,475414.916676645,203305.710849299,57.1,HFET
316199:6675,34:34,05/12/18 18:55:35,STABLE BEAMS,6500,474995.868125855,455533.143894886,57.0,HFET
316199:6675,35:35,05/12/18 18:55:58,STABLE BEAMS,6500,474517.269858886,455737.157502112,57.0,HFET
316199:6675,36:36,05/12/18 18:56:21,STABLE BEAMS,6500,473810.978895326,455047.349590423,56.9,HFET
316199:6675,37:37,05/12/18 18:56:45,STABLE BEAMS,6500,473364.705685675,454109.820360775,56.8,HFET
316199:6675,38:38,05/12/18 18:57:08,STABLE BEAMS,6500,472627.593210046,453848.576459887,56.8,HFET
316199:6675,39:39,05/12/18 18:57:31,STABLE BEAMS,6500,471762.910164951,459889.891203334,56.7,HFET
316199:6675,40:40,05/12/18 18:57:54,STABLE BEAMS,6500,471145.127898390,439733.533761832,56.6,HFET
316199:6675,41:41,05/12/18 18:58:18,STABLE BEAMS,6500,470538.411258648,432218.949809068,56.5,HFET
316199:6675,42:42,05/12/18 18:58:41,STABLE BEAMS,6500,469740.017075957,457865.405988131,56.4,HFET
316199:6675,43:43,05/12/18 18:59:04,STABLE BEAMS,6500,355292.901051032,340529.573932021,56.3,HFET
316199:6675,44:44,05/12/18 18:59:28,STABLE BEAMS,6500,100552.900765922,99472.557815276,6.8,HFET
316199:6675,45:45,05/12/18 18:59:51,STABLE BEAMS,6500,272386.271453304,267803.973708859,16.9,HFET
316199:6675,46:46,05/12/18 19:00:14,STABLE BEAMS,6500,436128.787523597,425959.049890406,49.0,HFET
316199:6675,47:47,05/12/18 19:00:38,STABLE BEAMS,6500,407706.390531348,392401.087799269,55.8,HFET
316199:6675,48:48,05/12/18 19:01:01,STABLE BEAMS,6500,216858.584039497,213756.178796023,32.5,HFET
316199:6675,49:49,05/12/18 19:01:24,STABLE BEAMS,6500,79556.649894205,78741.740024552,16.7,HFET
316199:6675,50:50,05/12/18 19:01:48,STABLE BEAMS,6500,250800.103087880,245347.268961719,32.2,HFET
316199:6675,51:51,05/12/18 19:02:11,STABLE BEAMS,6500,76133.653138119,75358.643862761,3.9,HFET
316199:6675,52:52,05/12/18 19:02:34,STABLE BEAMS,6500,259520.700499155,255242.808894099,23.8,HFET
316199:6675,53:53,05/12/18 19:02:58,STABLE BEAMS,6500,432728.236716665,421959.747736935,42.6,HFET
316199:6675,54:54,05/12/18 19:03:21,STABLE BEAMS,6500,374247.841919654,366545.382412004,51.6,HFET
316199:6675,55:55,05/12/18 19:03:44,STABLE BEAMS,6500,173548.545175282,171081.711586298,34.1,HFET
316199:6675,56:56,05/12/18 19:04:07,STABLE BEAMS,6500,194643.252152746,183819.618261649,6.6,HFET
316199:6675,57:57,05/12/18 19:04:31,STABLE BEAMS,6500,462882.867024928,451488.040722725,55.7,HFET
316199:6675,58:58,05/12/18 19:04:54,STABLE BEAMS,6500,462230.941460283,450853.323175180,55.5,HFET
316199:6675,59:59,05/12/18 19:05:17,STABLE BEAMS,6500,461605.965487306,450338.754045049,55.4,HFET
316199:6675,60:60,05/12/18 19:05:41,STABLE BEAMS,6500,461006.214108346,443347.434143003,55.4,HFET
316199:6675,61:61,05/12/18 19:06:04,STABLE BEAMS,6500,460501.573039015,442810.102037123,55.3,HFET
316199:6675,62:62,05/12/18 19:06:27,STABLE BEAMS,6500,459871.314843504,448643.897232174,55.2,HFET
316199:6675,63:63,05/12/18 19:06:51,STABLE BEAMS,6500,459336.442024814,448250.436923554,55.1,HFET
316199:6675,64:64,05/12/18 19:07:14,STABLE BEAMS,6500,458917.987898890,447695.167173190,55.1,HFET
316199:6675,65:65,05/12/18 19:07:37,STABLE BEAMS,6500,457151.877027673,433360.858625172,55.0,HFET
316199:6675,66:66,05/12/18 19:08:01,STABLE BEAMS,6500,456600.066596921,445287.601939281,54.7,HFET
316199:6675,67:67,05/12/18 19:08:24,STABLE BEAMS,6500,456961.430293858,445869.187228122,54.8,HFET
316199:6675,68:68,05/12/18 19:08:47,STABLE BEAMS,6500,456622.922815786,418429.348897423,54.9,HFET
316199:6675,69:69,05/12/18 19:09:10,STABLE BEAMS,6500,455992.711241833,444706.424589073,54.8,HFET
316199:6675,70:70,05/12/18 19:09:34,STABLE BEAMS,6500,454925.970363874,437668.981979586,54.6,HFET
316199:6675,71:71,05/12/18 19:09:57,STABLE BEAMS,6500,454506.968434642,443602.715146609,54.5,HFET
316199:6675,72:72,05/12/18 19:10:20,STABLE BEAMS,6500,453683.032631338,434650.464537380,54.5,HFET
316199:6675,73:73,05/12/18 19:10:44,STABLE BEAMS,6500,453028.372712310,431427.066326967,54.4,HFET
316199:6675,74:74,05/12/18 19:11:07,STABLE BEAMS,6500,452460.902100188,435320.194875068,54.3,HFET
316199:6675,75:75,05/12/18 19:11:30,STABLE BEAMS,6500,451878.950832116,440914.189754885,54.3,HFET
316199:6675,76:76,05/12/18 19:11:54,STABLE BEAMS,6500,449105.923866311,256451.328261358,53.9,HFET
316199:6675,77:77,05/12/18 19:12:17,STABLE BEAMS,6500,450563.621475219,433148.012563762,54.0,HFET
316199:6675,78:78,05/12/18 19:12:40,STABLE BEAMS,6500,450535.667188974,433445.908002561,54.2,HFET
316199:6675,79:79,05/12/18 19:13:04,STABLE BEAMS,6500,449764.318172144,432589.735722899,54.0,HFET
316199:6675,80:80,05/12/18 19:13:27,STABLE BEAMS,6500,450770.961530617,433771.256545855,53.9,HFET
316199:6675,81:81,05/12/18 19:13:50,STABLE BEAMS,6500,453677.887942400,442823.214350343,54.4,HFET
316199:6675,82:82,05/12/18 19:14:14,STABLE BEAMS,6500,452584.010986542,441788.616705626,54.4,HFET
316199:6675,83:83,05/12/18 19:14:37,STABLE BEAMS,6500,449163.517808127,438502.890134171,54.1,HFET
316199:6675,84:84,05/12/18 19:15:00,STABLE BEAMS,6500,445845.876449065,429141.197346201,53.6,HFET
316199:6675,85:85,05/12/18 19:15:23,STABLE BEAMS,6500,444223.772577627,433779.543527810,53.4,HFET
316199:6675,86:86,05/12/18 19:15:47,STABLE BEAMS,6500,444011.108340292,433680.517007299,53.2,HFET
316199:6675,87:87,05/12/18 19:16:10,STABLE BEAMS,6500,444053.130681698,421280.229203121,53.3,HFET
316199:6675,88:88,05/12/18 19:16:33,STABLE BEAMS,6500,445316.148319314,428659.456786215,53.3,HFET
316199:6675,89:89,05/12/18 19:16:57,STABLE BEAMS,6500,444745.670616693,434341.459181283,53.3,HFET
316199:6675,90:90,05/12/18 19:17:20,STABLE BEAMS,6500,443833.363649985,433459.155518299,53.3,HFET
