#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
369927:9016,37:37,07/01/23 12:26:50,STABLE BEAMS,6800,5497.592288367,843.137999411,27.1,PXL
369927:9016,38:38,07/01/23 12:27:14,STABLE BEAMS,6800,5507.825857315,5434.952701258,27.1,DT
369927:9016,39:39,07/01/23 12:27:37,STABLE BEAMS,6800,5510.434527949,5425.411126863,27.1,DT
369927:9016,40:40,07/01/23 12:28:00,STABLE BEAMS,6800,5452.360604174,5376.447648650,26.8,DT
369927:9016,41:41,07/01/23 12:28:24,STABLE BEAMS,6800,5478.137078874,5407.942907511,27.0,DT
369927:9016,42:42,07/01/23 12:28:47,STABLE BEAMS,6800,5469.068895259,5321.424802236,26.9,DT
369927:9016,43:43,07/01/23 12:29:10,STABLE BEAMS,6800,5486.335681479,5407.239807596,27.0,DT
369927:9016,44:44,07/01/23 12:29:34,STABLE BEAMS,6800,5487.328967119,5401.370825847,27.0,DT
369927:9016,45:45,07/01/23 12:29:57,STABLE BEAMS,6800,5499.627240231,5429.330057260,27.1,DT
369927:9016,46:46,07/01/23 12:30:20,STABLE BEAMS,6800,5450.745914150,5367.521926199,26.8,DT
369927:9016,47:47,07/01/23 12:30:43,STABLE BEAMS,6800,5452.982023037,5377.288764603,26.8,DT
369927:9016,48:48,07/01/23 12:31:07,STABLE BEAMS,6800,5484.844710565,5414.819069033,27.0,DT
369927:9016,49:49,07/01/23 12:31:30,STABLE BEAMS,6800,5436.647017626,5351.783275867,26.8,DT
369927:9016,50:50,07/01/23 12:31:53,STABLE BEAMS,6800,5457.764617236,5380.742379077,26.9,DT
369927:9016,51:51,07/01/23 12:32:17,STABLE BEAMS,6800,5453.416813542,5383.884170950,26.8,DT
369927:9016,52:52,07/01/23 12:32:40,STABLE BEAMS,6800,5398.821126931,5316.546332789,26.6,DT
369927:9016,53:53,07/01/23 12:33:03,STABLE BEAMS,6800,5439.069059902,5368.196556312,26.8,DT
369927:9016,54:54,07/01/23 12:33:27,STABLE BEAMS,6800,5450.311138124,5368.673144773,26.8,DT
369927:9016,55:55,07/01/23 12:33:50,STABLE BEAMS,6800,5418.075888850,5347.960528136,26.7,DT
369927:9016,56:56,07/01/23 12:34:13,STABLE BEAMS,6800,5458.882316955,5374.558061636,26.9,DT
369927:9016,57:57,07/01/23 12:34:37,STABLE BEAMS,6800,5419.006945732,5350.207910925,26.7,DT
369927:9016,58:58,07/01/23 12:35:00,STABLE BEAMS,6800,5425.093868009,5383.914376286,26.7,DT
369927:9016,59:59,07/01/23 12:35:23,STABLE BEAMS,6800,919.572477761,915.443188641,4.5,DT
369927:9016,60:60,07/01/23 12:35:46,STABLE BEAMS,6800,691.874134099,685.243050430,3.4,DT
369927:9016,61:61,07/01/23 12:36:10,STABLE BEAMS,6800,2662.651688640,2631.491235351,13.1,DT
369927:9016,62:62,07/01/23 12:36:33,STABLE BEAMS,6800,4885.723433752,4824.505674319,24.0,DT
369927:9016,63:63,07/01/23 12:36:56,STABLE BEAMS,6800,4272.875460199,4253.380426387,21.0,DT
369927:9016,64:64,07/01/23 12:37:20,STABLE BEAMS,6800,1545.525710370,1537.491242247,7.6,DT
369927:9016,65:65,07/01/23 12:37:43,STABLE BEAMS,6800,374.984493745,372.426606641,1.8,DT
369927:9016,66:66,07/01/23 12:38:06,STABLE BEAMS,6800,3412.143328526,3393.679590207,16.8,DT
369927:9016,67:67,07/01/23 12:38:30,STABLE BEAMS,6800,707.588172378,703.279715093,3.5,DT
369927:9016,68:68,07/01/23 12:38:53,STABLE BEAMS,6800,1647.263242515,1631.563459336,8.1,DT
369927:9016,69:69,07/01/23 12:39:16,STABLE BEAMS,6800,3869.589849655,3838.996457367,19.0,DT
369927:9016,70:70,07/01/23 12:39:40,STABLE BEAMS,6800,5097.273048533,5063.971029580,25.1,DT
369927:9016,71:71,07/01/23 12:40:03,STABLE BEAMS,6800,3167.550764735,3153.570396066,15.6,DT
369927:9016,72:72,07/01/23 12:40:26,STABLE BEAMS,6800,1197.270200499,1188.767606723,5.9,DT
369927:9016,73:73,07/01/23 12:40:50,STABLE BEAMS,6800,712.681199468,707.059930912,3.5,DT
369927:9016,74:74,07/01/23 12:41:13,STABLE BEAMS,6800,5335.840889848,5291.748434806,26.3,DT
369927:9016,75:75,07/01/23 12:41:36,STABLE BEAMS,6800,5368.946053138,5325.945335502,26.4,DT
369927:9016,76:76,07/01/23 12:41:59,STABLE BEAMS,6800,5361.989578809,5318.090702028,26.4,DT
369927:9016,77:77,07/01/23 12:42:23,STABLE BEAMS,6800,5351.120062334,5307.652280334,26.3,DT
369927:9016,78:78,07/01/23 12:42:46,STABLE BEAMS,6800,5354.598313977,5318.520840338,26.4,DT
369927:9016,79:79,07/01/23 12:43:09,STABLE BEAMS,6800,5377.765741600,5333.709316758,26.5,DT
369927:9016,80:80,07/01/23 12:43:33,STABLE BEAMS,6800,5346.027120667,5300.956380726,26.3,DT
369927:9016,81:81,07/01/23 12:43:56,STABLE BEAMS,6800,5334.536561770,5291.226437513,26.3,DT
369927:9016,82:82,07/01/23 12:44:19,STABLE BEAMS,6800,5284.971950033,5243.678986932,26.0,DT
369927:9016,83:83,07/01/23 12:44:43,STABLE BEAMS,6800,5326.462011281,5276.894181113,26.2,DT
369927:9016,84:84,07/01/23 12:45:06,STABLE BEAMS,6800,5269.754991826,5226.929640445,25.9,DT
369927:9016,85:85,07/01/23 12:45:29,STABLE BEAMS,6800,5318.574103628,5282.457859844,26.2,DT
369927:9016,86:86,07/01/23 12:45:53,STABLE BEAMS,6800,5304.102283393,5256.605821031,26.1,DT
369927:9016,87:87,07/01/23 12:46:16,STABLE BEAMS,6800,5293.667557422,5258.302455792,26.1,DT
369927:9016,88:88,07/01/23 12:46:39,STABLE BEAMS,6800,5307.829030188,5258.979433560,26.1,DT
369927:9016,89:89,07/01/23 12:47:03,STABLE BEAMS,6800,5304.164497672,5268.558196480,26.1,DT
