#Data tag : 24v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
359569:8210,1:1,09/29/22 14:40:17,STABLE BEAMS,6800,16172.817120192,16146.431335317,35.3,HFET
359569:8210,2:2,09/29/22 14:40:40,STABLE BEAMS,6800,16173.234498010,16152.912719370,35.3,HFET
359569:8210,3:3,09/29/22 14:41:03,STABLE BEAMS,6800,16169.271968171,16148.998345769,35.2,HFET
359569:8210,4:4,09/29/22 14:41:27,STABLE BEAMS,6800,16166.514890868,16146.028026515,35.2,HFET
359569:8210,5:5,09/29/22 14:41:50,STABLE BEAMS,6800,16161.886756865,16141.750395969,35.2,HFET
359569:8210,6:6,09/29/22 14:42:13,STABLE BEAMS,6800,16162.811207093,16142.692425652,35.2,HFET
359569:8210,7:7,09/29/22 14:42:37,STABLE BEAMS,6800,16158.312419721,16137.818719294,35.2,HFET
359569:8210,8:8,09/29/22 14:43:00,STABLE BEAMS,6800,16157.450923790,16136.796655699,35.2,HFET
359569:8210,9:9,09/29/22 14:43:23,STABLE BEAMS,6800,16155.344399685,16124.925177962,35.2,HFET
359569:8210,10:10,09/29/22 14:43:47,STABLE BEAMS,6800,16150.842097874,16120.620966611,35.2,HFET
359569:8210,11:11,09/29/22 14:44:10,STABLE BEAMS,6800,16151.205842298,16121.090619803,35.2,HFET
359569:8210,12:12,09/29/22 14:44:33,STABLE BEAMS,6800,16147.095247621,16116.819884525,35.2,HFET
359569:8210,13:13,09/29/22 14:44:56,STABLE BEAMS,6800,16144.970081710,16114.705916976,35.2,HFET
359569:8210,14:14,09/29/22 14:45:20,STABLE BEAMS,6800,16143.248159460,16112.714064871,35.2,HFET
359569:8210,15:15,09/29/22 14:45:43,STABLE BEAMS,6800,16142.179158833,16112.450730564,35.2,HFET
359569:8210,16:16,09/29/22 14:46:06,STABLE BEAMS,6800,16138.589694321,16108.835073011,35.2,HFET
359569:8210,17:17,09/29/22 14:46:30,STABLE BEAMS,6800,16137.617417165,16107.828677880,35.2,HFET
359569:8210,18:18,09/29/22 14:46:53,STABLE BEAMS,6800,16135.411801163,16105.508308868,35.2,HFET
359569:8210,19:19,09/29/22 14:47:16,STABLE BEAMS,6800,16134.327596768,16104.233441382,35.2,HFET
359569:8210,20:20,09/29/22 14:47:40,STABLE BEAMS,6800,16134.651689154,16104.258094054,35.2,HFET
359569:8210,21:21,09/29/22 14:48:03,STABLE BEAMS,6800,16130.079480570,16099.807160021,35.2,HFET
359569:8210,22:22,09/29/22 14:48:26,STABLE BEAMS,6800,16127.792192065,16098.049275288,35.2,HFET
